ID	log2fc	sterr	pval	padj	method
d1400c3fb5f795bf73de3175e8668c0a	-0.071	0.496	0.886	0.995	DESeq2
167faa4d028c4ae6ad8faeec76faf937	0.125	0.497	0.800	NA	DESeq2
9460adb6fb7f2d993e506453e227a0d3	-0.278	0.373	0.221	NA	DESeq2
87e2f901c859229f799f1c5403e9c59c	-0.063	0.421	0.852	NA	DESeq2
09fd7da85590a86e26441ea95c42d8b4	-0.245	0.327	0.454	0.995	DESeq2
712a7e80735c23bc0b2d68ae87b4bebc	0.120	0.553	0.828	NA	DESeq2
ea17706e0995c1f8c41d3d86d04fbb52	-0.115	0.419	0.792	NA	DESeq2
5e2c10522c2473d7707abf416caf8c94	0.172	0.373	0.863	NA	DESeq2
44f0260c682d258eca77ebc5a852ecdb	0.286	0.551	0.602	NA	DESeq2
18e97ef638da0b125f1093f380d0c1d7	0.796	0.556	0.144	NA	DESeq2
37a3356f7a1c94ea89474feb9d17b60f	0.201	0.488	0.680	0.995	DESeq2
a82e8a6ad13638f161e9ba8888a32f91	-0.413	0.532	0.432	NA	DESeq2
e3648567ab771e6d7a13936124e01532	-0.356	0.553	0.518	NA	DESeq2
53777b50348ee275dfe0ddb4650726d3	-0.544	0.548	0.320	NA	DESeq2
cbef0c54da29479bd798fc14ea3042eb	-0.064	0.322	0.843	0.995	DESeq2
42be1811716b7a82c6a1c03a3c7640a3	-0.032	0.369	0.940	NA	DESeq2
c6e45636776b37bc3a1a965ca2620432	-0.207	0.369	0.915	NA	DESeq2
69f9300eb2228450c8d12e6b5c851a8e	0.306	0.555	0.581	NA	DESeq2
3fc57f822cf6dec2eebd774847638691	-0.325	0.522	0.533	0.995	DESeq2
57364e4fcbdc58c6bbbb8b8f93eec11a	0.192	0.372	0.824	NA	DESeq2
f4d8a531a207ea148cc88cb996b45493	-0.921	0.552	0.085	0.946	DESeq2
059e004eee8e9d0649abbf7bb734424e	0.413	0.543	0.446	0.995	DESeq2
4f1e396f477488d9764ff936aa93925d	-0.348	0.512	0.498	NA	DESeq2
428ff0bf895fc17a12d80144d162a5b9	-0.491	0.431	0.271	NA	DESeq2
41f90ca17950dc455a4cef66494e11c9	0.431	0.449	0.324	NA	DESeq2
5501da85fa53404c3853f5578de773c0	-0.941	0.524	0.071	0.888	DESeq2
ce24f58d53a7a67f0152f984b31ba21c	0.269	0.270	0.319	0.995	DESeq2
ad76ff1d2eb96f31f127fec6e9e2b14b	1.340	0.554	0.013	0.394	DESeq2
368bc08b520bebf6adbae7c3b40c99d9	0.053	0.482	0.912	NA	DESeq2
c76b0e2c78aa589a5e1f7f348dbf81aa	-0.090	0.550	0.871	0.995	DESeq2
ec35290c10bac8d142ed0e5b712e437c	0.009	0.371	0.406	NA	DESeq2
0799d5be8ccb16cfab14ec62701319ef	-0.355	0.556	0.522	NA	DESeq2
f2302232cb696b5c564ee297e2852618	-0.176	0.553	0.750	NA	DESeq2
a5ffa40027386a1c568a7a33bfa3fcbc	0.046	0.497	0.927	NA	DESeq2
3d37ff2e9d64496618472a49b42da30f	0.076	0.369	0.838	NA	DESeq2
4aff7fd80cce75eaa538a0b89faab886	0.053	0.462	0.891	NA	DESeq2
3343933138682c06ff97e82cbde5cbc1	0.176	0.445	0.681	NA	DESeq2
ffe863165e9817701a14e84ebe8993fe	0.544	0.532	0.306	NA	DESeq2
c01b5a0eba006dcbf25adb235229c53a	-0.064	0.548	0.908	NA	DESeq2
53471cd55f9db05905272e63e75c3d71	0.211	0.551	0.701	NA	DESeq2
8f18a057d65060625b3549c7b7e54efd	-0.337	0.424	0.011	0.347	DESeq2
648065772e3c508674681348644ecc5f	-0.210	0.511	0.680	NA	DESeq2
ee614c8f48f7bc1542d6ba9a64fabae0	-0.073	0.369	0.838	NA	DESeq2
17b88b807d9016fefbd9f21de2ab0f27	-0.381	0.323	0.238	0.995	DESeq2
ede98392baddb2ba8cbf6b6b2c14a28d	0.600	0.501	0.231	NA	DESeq2
c9d57e650fb5063b5131701513321d1b	-0.626	0.532	0.237	NA	DESeq2
62a36667f8b1decc89aedf70dd36c8ce	-0.329	0.547	0.547	NA	DESeq2
567f3d215c4eb8fc821a98f879953bbd	-0.125	0.546	0.818	NA	DESeq2
e1cb71968e5193ca554f725cc0f0762d	-0.035	0.369	0.925	NA	DESeq2
d0566d7177499d5cacdb330361254a8d	0.122	0.197	0.534	0.995	DESeq2
f947f451209616b697d1b41656cdbac3	0.072	0.369	0.835	NA	DESeq2
b61e7eee8694b816a9c94fe2b1eacd78	0.254	0.514	0.621	0.995	DESeq2
e023e49578f960840e4866b90663c61d	-0.207	0.380	0.611	NA	DESeq2
876512664baca0483e67b0365ec458b6	-0.098	0.369	0.815	NA	DESeq2
8a4542309837816057a4740c1b16387f	-0.325	0.371	0.505	NA	DESeq2
d832d1731732dae4e08a61619d67b246	0.064	0.369	0.863	NA	DESeq2
cb17cc9b35e5f6cca2fe5c797932b1cb	-0.522	0.555	0.343	NA	DESeq2
e46d53d06287f2ebcc2fa783ba3b27cf	-0.072	0.369	0.845	NA	DESeq2
c8b9b0235743763f8618574c37ff1ee1	-0.024	0.374	0.949	NA	DESeq2
62fda9c642dc083caaaba6c7b6964f70	-0.226	0.448	0.603	NA	DESeq2
82013ba6ec27c1a656ecdd7ae52f0a16	0.278	0.549	0.611	NA	DESeq2
bccbd5dfbc57b2d7eab47fa54945353b	-0.706	0.471	0.063	NA	DESeq2
6eba1782b4b76596400075ffb189c282	0.126	0.463	0.787	NA	DESeq2
0aeb3dd2d812995e72004d3d6bd959a4	0.377	0.552	0.494	0.995	DESeq2
7b4ea12915f5734d00d128c642afc641	-0.003	0.548	0.996	0.998	DESeq2
2642afdd0afd43f5aa41c1830c97727d	0.089	0.418	0.831	0.995	DESeq2
8b67e9a17f0191340a7965f40e1e455c	-0.075	0.262	0.773	0.995	DESeq2
c0fe7e81bcdb656c35e27fdd4101bf5e	0.317	0.441	0.473	0.995	DESeq2
0a737f4a6343f13a4473d3768f90304f	-0.337	0.552	0.541	NA	DESeq2
5ace0671215661bebf2156082132ec09	-0.072	0.369	0.845	NA	DESeq2
320308330d1c7b96c4722fb8c7c21048	0.031	0.545	0.954	NA	DESeq2
107b74f95d10fdd4436c7d496a435085	0.172	0.542	0.749	NA	DESeq2
99d363b06ebcae1d7cd799525f1ac0af	0	0	1	NA	DESeq2
6dd0ca2c67fd3ea2f9a82a329262b9d4	-0.367	0.555	0.507	0.995	DESeq2
184b2fa43c919d18bbd408e7f56793e5	-0.054	0.531	0.919	NA	DESeq2
b06f6e287a686f51c0ef4de1aa86358a	0.204	0.549	0.710	NA	DESeq2
ff1f20defb7debccf206645b23148f34	0.039	0.556	0.944	0.995	DESeq2
6cf45435b887d3e3db4816d19cba991e	0.436	0.544	0.417	NA	DESeq2
e68d33fd9600f8db320f93b0faa220aa	0.417	0.549	0.446	0.995	DESeq2
88b52c7e2874af5955c1ae3f1ce40ba6	0.076	0.369	0.838	NA	DESeq2
c77038ad3b0f7851eff80f0653a7d716	0.226	0.537	0.673	NA	DESeq2
a95aa7a89d9aecc62150151c82310d96	-0.218	0.533	0.682	NA	DESeq2
c7fb06ace1ac48610546a01fdebff034	-0.714	0.495	0.150	0.995	DESeq2
1c305ad4c3d6570f3ca6c116d6fdbc92	-0.047	0.369	0.899	NA	DESeq2
b808ed055cbba2b514ca9e8a99bf0f2d	-0.078	0.369	0.772	NA	DESeq2
f4089a99833694426658121b8cbfdda0	0.091	0.554	0.870	NA	DESeq2
f7e842e07e5957287feba3df99d18ac8	0.259	0.378	0.494	0.995	DESeq2
0dd63ca258236f7fc0a8fc0d990b6a5c	0.327	0.540	0.541	NA	DESeq2
472d2d18e930aec7fc41731afdd6559f	0.282	0.552	0.609	0.995	DESeq2
71cbe403d1a4b5ea0dcc84277087ccb0	0.464	0.554	0.398	NA	DESeq2
ae3d3ae3ec702cb4aa0a3ba552bc6fdd	0.153	0.544	0.779	NA	DESeq2
cbf3542717a2d0d943fc442f4cc8c1a2	-0.463	0.474	0.303	NA	DESeq2
b2c1126d746f984e745d6ccb29f4a5df	-0.232	0.391	0.516	NA	DESeq2
3cb5941aa4a74dc5288714ebe9e3e848	0.088	0.414	0.802	NA	DESeq2
f5bcbafc511fa1b4f8494bb491df53ba	0.295	0.372	0.402	NA	DESeq2
eeef6c021ae3f4c83e3b5698502109ad	-0.363	0.483	0.438	0.995	DESeq2
32a021e7bdb1b2a22d1e9afe4d49cc5c	0.366	0.556	0.509	NA	DESeq2
47c4cc4fab6388a1f5a690e728585f1b	-0.373	0.370	0.590	NA	DESeq2
81bb7e37b43d1cfdeb758ad5f46d39b2	0.266	0.549	0.627	0.995	DESeq2
23d0c8dfa14a50cd01d8fb066c87be8c	0.227	0.420	0.608	NA	DESeq2
c177fda73abe6814330cec38f452cd36	0.684	0.555	0.214	NA	DESeq2
b7a1f9d7aa905c184ee9efe7453926aa	0	0	1	NA	DESeq2
07ff497df71397a00e8dfcc8366b678f	-0.288	0.552	0.604	NA	DESeq2
780889284c4953d948cdb76d73e6dbc8	-0.138	0.368	0.708	0.995	DESeq2
9c7004d8d39cbdf9f9e8eb1e9aba60e2	-0.256	0.525	0.625	0.995	DESeq2
a44ee19eaeef12179ecc8fd9bc2a989a	-0.191	0.541	0.723	NA	DESeq2
610bbdde5d9f4e6573e853df3bcae462	-0.667	0.546	0.210	NA	DESeq2
a1b965e0f67291fa5aa9e2489a684160	-0.241	0.401	0.807	NA	DESeq2
4a6ed83b8e76369266d60ca5a744ec5b	-0.049	0.370	0.589	NA	DESeq2
ac0df9756f170411a7ef60c2adfe1523	-0.636	0.554	0.250	0.995	DESeq2
9160645ae731e3bdf0631e67eafad815	-0.964	0.510	0.063	NA	DESeq2
c9f61b02a9afdee5e0e0131fa9ca2e0d	0.017	0.443	0.971	NA	DESeq2
bfb344ecd970ff3ce3ba56f65ac73875	-0.006	0.369	0.670	NA	DESeq2
8eaac60fbd23ce35c823f529c304bb1f	0.289	0.468	0.531	NA	DESeq2
aa78e7b32ebae83f1f83f828c843feed	2.291	0.360	0.000	0.000	DESeq2
fa0f0d53737208ba9ae5e5a3316fb4b5	0.136	0.510	0.793	NA	DESeq2
d5de8a6ee72bb1a0820661a6c8f80ba0	-0.029	0.369	0.943	NA	DESeq2
16d8eb95027ef68c0bb91e2877ca6394	0	0	1	NA	DESeq2
0e40237a28fca23d4d76908d8a740607	0.158	0.446	0.726	NA	DESeq2
b54d8d9b321cf52590e4a2a9670a1a01	-0.761	0.468	0.104	0.982	DESeq2
0c700a088eb502eee665e2226f165b87	-0.111	0.387	0.772	NA	DESeq2
b15fb661f00febf70e114dadeb247ab5	0.254	0.372	0.495	0.995	DESeq2
dac54df03c413ab7dfe57b9b2d257593	-0.236	0.369	0.591	NA	DESeq2
e81d663066e43dfcc6ea3744a1ee82b2	-0.118	0.489	0.810	0.995	DESeq2
c5db564c856058f36a076b93c1b92fbe	-0.526	0.524	0.910	NA	DESeq2
27f094c641d066d596d9d84009f194b3	-0.378	0.397	0.340	0.995	DESeq2
50644a287539fecba3e56469bbaacbf9	-0.110	0.369	0.758	NA	DESeq2
5fea7ca8d4974598ff09f2ae6d10d4c2	-0.015	0.482	0.975	NA	DESeq2
d1a2486b14a0866a83715ecfa5e113b1	-0.167	0.444	0.716	NA	DESeq2
18e78d7cb360b36c47439f07abe88337	0.119	0.495	0.809	0.995	DESeq2
0564068f62952f801dd86d5075289e5f	-0.667	0.524	0.181	NA	DESeq2
97f6c29ae34cb91a50e23068f733b1e2	0.117	0.370	0.457	NA	DESeq2
fedc641aad182a0c85aa8bf63f7c0a61	0	0	1	NA	DESeq2
0b841e2a8bca7ec80b95d6695afe18ec	-0.287	0.371	0.707	NA	DESeq2
9ade08bc8a52b44bd978cd516ef70587	-0.482	0.556	0.386	NA	DESeq2
f1ae9de436f6111b0eba9ad6ae7422a1	-0.132	0.370	0.861	NA	DESeq2
a4a3f5bfdae4da1c7589244dc99fdf58	0.275	0.529	0.604	NA	DESeq2
0936fb4e71c0c3d0c1d734ce09d5fb77	-0.023	0.369	0.950	NA	DESeq2
5d0bf697bd9bde462e95a670dc42b560	0.319	0.490	0.515	0.995	DESeq2
bea450ac452905dd9b7543fdd658b6b9	-0.493	0.522	0.345	0.995	DESeq2
1be3768c4ce841d9fea4c21c51c52fa2	0.552	0.523	0.274	NA	DESeq2
7f841643b8c54db4b727de647155c5ec	-0.472	0.500	0.344	0.995	DESeq2
e77083514c15653bfaae427077e01424	-0.319	0.370	0.424	NA	DESeq2
20b88767861a3499d3a8570bf2be4163	0.071	0.414	0.863	0.995	DESeq2
f427c80ef3200e1d37e5cbf2bb290bc1	-0.204	0.421	0.647	NA	DESeq2
10e76fb01e2047c0c07af5f9f3f71c70	-0.168	0.386	0.997	NA	DESeq2
cf30b5e7a0d1f6b8c1dda0e94f6ede37	-0.220	0.371	0.894	NA	DESeq2
c6fa41863e087d1fe6e0a35a0f7d95f3	0.153	0.529	0.772	NA	DESeq2
8bdddf084d2b2a8e34a7e856c74e4eb2	0.034	0.369	0.788	NA	DESeq2
f15d30c515f23db6a2bd24bd6815dcf9	0	0	1	NA	DESeq2
1937e8154d0a28d0a346f59a0a15d679	0.041	0.369	0.913	NA	DESeq2
b692ba1ca13126ef834abad5007ba5fb	-0.027	0.369	0.937	NA	DESeq2
bfc09b3a1e6531db99e932b5e65c9ddb	0.021	0.371	0.457	NA	DESeq2
749e04e71c7f9252d14df488fa15e435	-0.144	0.465	0.761	NA	DESeq2
c68c864a1ee6f7630709b0740a1eef0f	-0.595	0.544	0.275	NA	DESeq2
1825df9879c501aee5772050881440f8	-0.037	0.369	0.916	NA	DESeq2
651f23534d159c37ccee418d5c6f914a	-0.110	0.369	0.758	NA	DESeq2
c25732fc697269490de001e6d928548d	-0.276	0.418	0.518	NA	DESeq2
f028fce5c60db6b5d448b0b694fae938	-0.311	0.542	0.564	NA	DESeq2
4fda7fee5e5d97c5bda0baa8b9afb3f9	0.377	0.536	0.481	0.995	DESeq2
3e2199d3327bc5c100ba67ea45aaff86	-0.200	0.466	0.926	NA	DESeq2
1b7eb0f5a912d5f5b8a0e57c5d13233f	-0.231	0.536	0.666	NA	DESeq2
