ID	meandiff	sterr	pval	qval	struczero	method
8eaac60fbd23ce35c823f529c304bb1f	NA	NA	NA	NA	NA	ANCOM
d5de8a6ee72bb1a0820661a6c8f80ba0	NA	NA	NA	NA	NA	ANCOM
16d8eb95027ef68c0bb91e2877ca6394	NA	NA	NA	NA	NA	ANCOM
0e40237a28fca23d4d76908d8a740607	NA	NA	NA	NA	NA	ANCOM
0c700a088eb502eee665e2226f165b87	NA	NA	NA	NA	NA	ANCOM
dac54df03c413ab7dfe57b9b2d257593	NA	NA	NA	NA	NA	ANCOM
50644a287539fecba3e56469bbaacbf9	NA	NA	NA	NA	NA	ANCOM
5fea7ca8d4974598ff09f2ae6d10d4c2	NA	NA	NA	NA	NA	ANCOM
d1a2486b14a0866a83715ecfa5e113b1	NA	NA	NA	NA	NA	ANCOM
97f6c29ae34cb91a50e23068f733b1e2	NA	NA	NA	NA	NA	ANCOM
fedc641aad182a0c85aa8bf63f7c0a61	NA	NA	NA	NA	NA	ANCOM
0b841e2a8bca7ec80b95d6695afe18ec	NA	NA	NA	NA	NA	ANCOM
f1ae9de436f6111b0eba9ad6ae7422a1	NA	NA	NA	NA	NA	ANCOM
0936fb4e71c0c3d0c1d734ce09d5fb77	NA	NA	NA	NA	NA	ANCOM
e77083514c15653bfaae427077e01424	NA	NA	NA	NA	NA	ANCOM
f427c80ef3200e1d37e5cbf2bb290bc1	NA	NA	NA	NA	NA	ANCOM
10e76fb01e2047c0c07af5f9f3f71c70	NA	NA	NA	NA	NA	ANCOM
cf30b5e7a0d1f6b8c1dda0e94f6ede37	NA	NA	NA	NA	NA	ANCOM
8bdddf084d2b2a8e34a7e856c74e4eb2	NA	NA	NA	NA	NA	ANCOM
f15d30c515f23db6a2bd24bd6815dcf9	NA	NA	NA	NA	NA	ANCOM
1937e8154d0a28d0a346f59a0a15d679	NA	NA	NA	NA	NA	ANCOM
b692ba1ca13126ef834abad5007ba5fb	NA	NA	NA	NA	NA	ANCOM
bfc09b3a1e6531db99e932b5e65c9ddb	NA	NA	NA	NA	NA	ANCOM
749e04e71c7f9252d14df488fa15e435	NA	NA	NA	NA	NA	ANCOM
1825df9879c501aee5772050881440f8	NA	NA	NA	NA	NA	ANCOM
651f23534d159c37ccee418d5c6f914a	NA	NA	NA	NA	NA	ANCOM
c25732fc697269490de001e6d928548d	NA	NA	NA	NA	NA	ANCOM
3e2199d3327bc5c100ba67ea45aaff86	NA	NA	NA	NA	NA	ANCOM
74b812415f134eb4980bbdfc764466c7	NA	NA	NA	NA	NA	ANCOM
af4ffd9d50da8941821aa1b504309ce4	NA	NA	NA	NA	NA	ANCOM
7803e147e2f136a8eef773de51902eec	NA	NA	NA	NA	NA	ANCOM
