"","pval","pseudo","padj"
"X2130ca17584e2024351e25847b07de48",0;838,0;8381,1
"X97e3be015d0ad3c9c56ccbd57f9c0feb",0;397,0;3971,1
"X1760e66b93ff7aa728b6898fa572bc2d",0;983,0;9831,1
"X4a8dbbec00787fa2cc2ee08274f8ce4c",0;961,0;9611,1
"b47360a961b32fd49a797faf00c4d3de",0;927,0;9271,1
"ee121b5310faf3d1c9e119e3ac6048ba",0;79,0;7901,1
"c0c4bc43d1ba371268726299b45b754a",0;794,0;7941,1
"X9b05f9d3b68356c051503c00d6b3d333",0;882,0;8821,1
"d6992915e0c28999e8d466f1592d8b7a",0;807,0;8071,1
"X2ffde79d725e60b058bde836132af683",0;748,0;7481,1
"X9e58e4736ae679b38ae8de9b3fc3d7ee",0;582,0;5821,1
"X8e6ecb2cb834391984e82c3a076e43c2",0;441,0;4411,1
"f9fd90420aaf24633adee0901df06f08",0;659,0;6591,1
"e0db0916d5f4bc79913c096d6f7f23e0",0;739,0;7391,1
"b6d488bfbf30ff5ee3e75bbefccb6032",0;896,0;8961,1
"X8512a0ed11476e591ffa9a713b8d9df3",0;721,0;7211,1
"X983cf9a4e7016105283f24743d919f25",0;974,0;9741,1
"fb4b6d91dda35da5c766e6747c71efdb",0;716,0;7161,1
"X7e3a3bdd9958e1b458ec4e0db97683ea",0;627,0;6271,1
"X175a157b503cdbac0149f491726d55a0",0;492,0;4921,1
"X5e317160f53054af730b0a3123e7e9b6",0;837,0;8371,1
"f159675a1296aa9d383e4ab3f9407619",0;766,0;7661,1
"adba26ac34bc5a82de3fd3fb5efbd33e",0;659,0;6591,1
"X60ae902a3e046edce4cc5f9cc1ac73ea",0;588,0;5881,1
"X325f464ad49685c1e5420d17aa147d15",0;99,0;9901,1
"X760b5cda1cd383fa43af2dd6f6b06672",1,1;0001,1
"X7d2ea1f51c60d58d0660446d4774a59a",0;962,0;9621,1
"b663b0cd551ba980221251a789b6e206",0;018,0;0181,1
"d75885b537a312c667e41d5afe3bee27",0;96,0;9601,1
"de3ca8116321fa3b3ecaa5fc40c08cc5",0;838,0;8381,1
"X08d77d3861ee0c24205b9a999144495f",0;815,0;8151,1
"c1c7dac2c6665e89f90cda95c53e086e",0;683,0;6831,1
"X2bf8231073721bfc54aa8ebeb6912a20",0;955,0;9551,1
"X18ff3ee57c402652b7156ed14071d0ab",0;944,0;9441,1
"X8dcb1c66dadcbfce80141ab20ccf1ea1",0;655,0;6551,1
"X22aea799615e8e1467f7b56605053545",0;618,0;6181,1
"X96e8d503a1148ba899683ec5ab9b05d9",0;731,0;7311,1
"X7f088cac1fcdba8c0195c47096264049",0;847,0;8471,1
"a4977746f215ec32e61883e81da46126",0;503,0;5031,1
"a4bbfb428c8d35739d668a60656037fc",0;467,0;4671,1
"ea4f3d7471d698fb962e28a5f213caf2",0;713,0;7131,1
"X53c621cb35a1c35186d82a7c60de1bf0",0;776,0;7761,1
"efef4e897400bf9054e9c2a7eda09a78",0;285,0;2851,1
"ee0d28cca895e4a213be07178c2fefba",0;994,0;9941,1
"a158cb84cd379842d99cf6726247efcd",0;383,0;3831,1
"X8e2824f6a1b188b220b9361c612674b6",0;992,0;9921,1
"X633743f58b6a9fabc8612a844746d9aa",0;867,0;8671,1
"X8888c9b2d3933081f63651b9bfdbe480",0;562,0;5621,1
"X8c6d27c2bc40b12979bd9d5544237b81",0;571,0;5711,1
"bdf8ede33b2c7001840621a6f72229dd",0;65,0;6501,1
"dfaaa901a526111d492d3d2f61435275",0;385,0;3851,1
"X59788ef0375e4756a83b5a60f29a3303",0;466,0;4661,1
"X319412737efae4ec36f93f4db011de0e",0;958,0;9581,1
"X223bd77c5c34f4e9e40c3dfd53dffafc",0;587,0;5871,1
"cca78c21045111a15b3ccadddf52b971",0;48,0;4801,1
"e74ee435c566d594cc9526383adf5792",0;421,0;4211,1
"X273881ea7601aa7c034c59b7f40b5736",0;125,0;1251,1
"X4a1a4c83702a6c44562e2daa13bf3514",0;401,0;4011,1
"X344a99c4890ae9d218c68b7173d0389c",0;992,0;9921,1
"f7b11f46a4c69e77e82476e16e9df760",0;475,0;4751,1
"X596153e78a4c251da43033285b61a7b3",0;55,0;5501,1
"X9e6878f45a5eb2ea642bc92e840afdf7",0;729,0;7291,1
"X54936af7fc659bb8a76615f1ae6f6993",0;523,0;5231,1
"X6915ce702b5bac12f5018e69a2bca72e",0;666,0;6661,1
"X481b5086d4014f57b2ff1517825ee7d1",0;783,0;7831,1
"e3eb7f52eef0ad7aec4db88af12eb3cd",0;908,0;9081,1
"X17211eba768f47a1041935f3ee102e20",0;364,0;3641,1
"c2cf452e2e4b142723e0654f167ee870",0;665,0;6651,1
"d61038bd0af574cc1fb1f9ecef204bbf",0;808,0;8081,1
"a4e3412f19bae543184b7ee353711e30",0;486,0;4861,1
"X21902ca1010f0f956e2e1b1e786ea973",0;567,0;5671,1
"X450fb80a8aa341cdf33eee2dac5fe23b",0;473,0;4731,1
"X3123b5aa3c0f158260f64b2832af8167",0;943,0;9431,1
"X75e58ea69a10ad870d4811cf0d4fdb61",0;779,0;7791,1
"X7ff01134216b54c40a3d44f59c565338",0;631,0;6311,1
"X45c35d69f417bd7d4cbe61dd5a0f083e",0;762,0;7621,1
"X41155fc81ea0571a02817ce0e39861e2",1,1;0001,1
"X9bfd7d6705ff77f170d74bd7d21e15c7",0;259,0;2591,1
"X4673065a2d04c05374a89d2cfdcf68c2",0;428,0;4281,1
"X5f3b8380fd0ae0e537a43b002c4e7a67",0;579,0;5791,1
"a7f842cf2e6b177dd52becebda1de83a",0;372,0;3721,1
"X0fa5da88bc26c3d497597b2ecbf33634",0;735,0;7351,1
"X99bf847cdf4b42889ec796b79dff8c25",0;512,0;5121,1
"X5efce6b21a9c05541f7e777341156e96",0;934,0;9341,1
"X4f39ef900d88365c3eac06f13c776b8f",0;468,0;4681,1
"b5f3ca43eee20152738a029642f31149",0;921,0;9211,1
"X6b6c4cf41b7f49acaa5081bc5f234029",0;905,0;9051,1
"X409649957a882957ee87339338a7c07f",0;675,0;6751,1
"c50d9f53af04313b5497bb9c55275c7c",0;818,0;8181,1
"f5dfda847d1a6546186467acbca7459a",0;871,0;8711,1
"fe1557e7eea603d3e9a1356de4c894f1",1,1;0001,1
"X872b2757f7ef15b1ef26b3f9936bcf31",0;596,0;5961,1
"X511bd796069111a3a3e99c2d13907211",0;585,0;5851,1
"X3a12705bdb700b87026ea27254e8fa89",0;938,0;9381,1
"X8cb3b318760da2e5f9815653cbc4bf83",0;696,0;6961,1
"X369977194325fa77afd733d37c92c63d",0;234,0;2341,1
"X78e3be9fa222d3a314799a1a883f6b66",0;779,0;7791,1
"X79211df1215da97e2f8277d6b2222fe2",0;577,0;5771,1
"X8886b2b13e2ddffa6f24c3ba02bde095",0;898,0;8981,1
"X79a7291065adc3f595551e420369acde",0;729,0;7291,1
"b7b6c3fd8f90372ec9ab4e7bd7df8507",0;926,0;9261,1
"X8d3e983e728259a88863f948e5dbe94b",0;852,0;8521,1
"b53ede99325c8616840fa8e938464d7e",0;438,0;4381,1
"X116156fee4dfb6a544121c9b98a23c74",0;299,0;2991,1
"abb48f98cc76cbfd884b85cb99cf2af1",0;559,0;5591,1
"X66784a97073d9affb5b9dd057c7d5195",0;828,0;8281,1
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",0;686,0;6861,1
"f342e124ffe9a9d3e0e492ff00ed674e",0;912,0;9121,1
"b77627ad049c7569beb5e5bb351b9a50",0;572,0;5721,1
"X7c4c61a0c83567367786e514df40a21b",0;673,0;6731,1
"d3ab276830b02edd6977f850f0ef8caa",0;934,0;9341,1
"d9b3a569d44a34c6a764a5a298219d08",0;992,0;9921,1
"X7be672ff862684f33384d4e038bb89c0",0;726,0;7261,1
"X543d211dd0ff4f6d0066ec3850ed5082",0;532,0;5321,1
"a767696bf9e2e1a5f9e63fd6d39e88f3",0;537,0;5371,1
"X461c2b20bd5c233dcac34fc89ce1a66f",0;992,0;9921,1
"X93dc6bb121df4cf4164c024ac00012b4",0;689,0;6891,1
"X5ae1f1acc18efc7823c3415d779b0385",0;992,0;9921,1
"f8549988d995f078ce28eccc60deff7b",0;917,0;9171,1
