"","pval","pseudo","padj"
"X4bdc300e2a73d2456d8f5f301cd79b24",0;639,0;6391,1
"X5d5ed43144a7e9922f567567cca6edb7",0;747,0;7471,1
"a418705a2b62c68553ceec65922142a4",0;995,0;9951,1
"X9d066026ffeef60c8c0e44158075b186",0;732,0;7321,1
"X135cd9f50ac1631b9e504edeb830d683",0;584,0;5841,1
"X0c0cca5bec99fb78e2bb61c3935b025d",0;798,0;7981,1
"X299a98fef4b37a7f125b41049760c6d7",0;686,0;6861,1
"X77d225e6605a71a9a33a9aeb33bdb890",0;609,0;6091,1
"de7864dafea9b68a565a62c31bc8339e",0;516,0;5161,1
"X2b59d468bbdb1f86c22fcebd61f5d5cb",0;938,0;9381,1
"X2ea15125b3c28f70f4e9b2011fb1b32e",0;149,0;1491,1
"a692aae1c416358d582103d64b3774f2",0;768,0;7681,1
"X1a3bb25b7d08acf0c021cca6623e477e",0;842,0;8421,1
"fd7880a6988b84aaaf0c433708c2efa6",0;832,0;8321,1
"X33be679a5c7b7bff076243989c33712f",0;683,0;6831,1
"cf16828665dee40dfa4b6bade4cf21ef",0;916,0;9161,1
"da513503b2ff56009fc8a578c819ebcb",0;964,0;9641,1
"X22c4ee4deafd2a50e123031f9e973ddd",0;346,0;3461,1
"ca8c1cc094272e70ff21f563a2af81c3",0;495,0;4951,1
"X643e1fe5e4374e56b15854c0ab8bd517",0;717,0;7171,1
"e5750ae962ff61732a057356b169fd21",0;574,0;5741,1
"X5cce1abb68c73f8fd159aaf92e2afde9",0;709,0;7091,1
"X31415f8d3595a43846a89317548511ce",0;931,0;9311,1
"d40cb52e5d7086fee99ae0907fd334f9",0;55,0;5501,1
"X22358af799b12718b2413db582b1a6af",0;76,0;7601,1
"X539265e101086f2e7d8aa51c05152c1b",0;805,0;8051,1
"X542b8274cc0abe38ef023b02b57dbf9b",0;702,0;7021,1
"c10027370c67bc9ee9b945c53d20ab5c",0;798,0;7981,1
"X30526a7a4d826edd9b043b56bd8e847a",0;732,0;7321,1
"X5bf5a35fbf5c2c129b31a4aaa02679bd",1,1;0001,1
"fd6ff46f1b85f9ed17f80fe98868119c",0;799,0;7991,1
"X99d56121b201885e2327e1aaefee27e0",0;09,0;0901,1
"db927f3e3abb74321d0262b8624b01c7",0;955,0;9551,1
"X939f95ffa67d45b18f810411c9e35571",0;994,0;9941,1
"X1b0539acdc7399feee3aaebdd5e61067",0;931,0;9311,1
"e71fb4db708f786a39f0bf2bd9b6e50b",0;664,0;6641,1
"X18922236506583e7320e776be6c2463a",0;755,0;7551,1
"X187ab8462b8b440e1def5212412d9e06",0;692,0;6921,1
"bb33b229f3d1ca9a24f2615fab635d38",0;077,0;0771,1
"ccba5d69de041201ee8e163c1c4b23bb",0;784,0;7841,1
"b2b2ae51b868a14c0e2efb9693ed8f75",0;752,0;7521,1
"bd26e97e57ceb47cf6ab7d5b5e947f62",0;933,0;9331,1
"X76dc3809d214159c017b2f987364f7e0",0;837,0;8371,1
"f5a2b8967fd8d135803af8c0601cd4e0",0;995,0;9951,1
"X92e7c471bf50233a39a459ff5b204b3e",0;447,0;4471,1
"X526fa77d5328b0a41df33317dfe135e2",0;986,0;9861,1
"b4b232f214f775bcc3308653d7741f1a",0;953,0;9531,1
"X4be810915c915c3f6f34bb4fedab9ad0",0;787,0;7871,1
"e87dc9cc994d0c5c48a42ee91aae6eae",0;751,0;7511,1
"X3d0a205de99f5295bc4b374649c57575",0;349,0;3491,1
"c1f96ac17ac6c32cbf88341fce4c8d9d",0;991,0;9911,1
"a135d244d0364d5d06535e56882a84a5",0;79,0;7901,1
"c8d5fdc244ae17e9558f5025b812d6eb",0;701,0;7011,1
"e36a239a30b387e78c09e274444e016c",0;701,0;7011,1
"X2e3c54c72de596f4c4009971b90895d7",0;983,0;9831,1
"X5ae8bbf464d292ab3b75086ef4ff2fb1",0;678,0;6781,1
