"","average","sd","ratio","ava","avb","cumsum","p","padj"
"fe1557e7eea603d3e9a1356de4c894f1",7;29919729384903e-06,2;51030553291212e-05,0;290769278804938,9;61778906265028e-06,5;39565598546844e-06,0;99993894651042,0;715,1
"97e3be015d0ad3c9c56ccbd57f9c0feb",6;79245596469595e-06,1;59983533190677e-05,0;424572193726983,7;11217224409784e-06,7;46980614110555e-06,0;99994609233155,0;67,1
"bd26e97e57ceb47cf6ab7d5b5e947f62",6;49519355676799e-06,3;11748438683859e-05,0;208347268207322,0,1;2990387113536e-05,0;999952925425736,0;486,1
"f9fd90420aaf24633adee0901df06f08",5;91573206078681e-06,1;92133375180183e-05,0;307897160253341,8;50617857761647e-06,3;73524577917227e-06,0;999959148912995,1,1
"7c4c61a0c83567367786e514df40a21b",5;666767993511e-06,2;16523055746282e-05,0;2617166090687,2;79447944995702e-06,8;7719298245614e-06,0;999965110484285,0;495,1
"4a8dbbec00787fa2cc2ee08274f8ce4c",3;98162083821082e-06,1;91105017717285e-05,0;208347268207322,0,7;96324167642164e-06,0;999969299241704,0;485,1
"b4b232f214f775bcc3308653d7741f1a",3;93180674383493e-06,1;88714101109426e-05,0;208347268207322,0,7;86361348766985e-06,0;999973435593541,0;482,1
"7be672ff862684f33384d4e038bb89c0",3;88390540670704e-06,1;94351062795495e-05,0;199839679332953,7;76781081341408e-06,0,0;999977521552061,1,1
"e5750ae962ff61732a057356b169fd21",3;24369210009601e-06,1;62314717023324e-05,0;199839679332953,6;48738420019203e-06,0,0;999980933991342,1,1
"3123b5aa3c0f158260f64b2832af8167",2;76374178634446e-06,9;574863671681e-06,0;288645549546425,2;91695714698255e-06,2;82807029451524e-06,0;999983841511767,1,1
"92e7c471bf50233a39a459ff5b204b3e",2;46911293998438e-06,9;37805353572453e-06,0;263286291827894,4;93822587996876e-06,0,0;999986439075816,1,1
"b7b6c3fd8f90372ec9ab4e7bd7df8507",2;46672389466102e-06,1;18394827822097e-05,0;208347268207322,0,4;93344778932205e-06,0;999989034126534,0;477,1
"db927f3e3abb74321d0262b8624b01c7",2;35294750372438e-06,1;12933926322615e-05,0;208347268207322,0,4;70589500744876e-06,0;999991509481851,0;469,1
"596153e78a4c251da43033285b61a7b3",2;34598821938556e-06,1;17393514001637e-05,0;199839679332953,4;69197643877111e-06,0,0;99999397751584,1,1
"54936af7fc659bb8a76615f1ae6f6993",1;93462015667844e-06,9;68086099385281e-06,0;199839679332953,3;86924031335688e-06,0,0;999996012781091,1,1
"7e3a3bdd9958e1b458ec4e0db97683ea",1;15841029039029e-06,5;79669810448537e-06,0;199839679332953,2;31682058078058e-06,0,0;999997231455569,1,1
"f5dfda847d1a6546186467acbca7459a",1;07849735121051e-06,5;17644104715266e-06,0;208347268207322,0,2;15699470242101e-06,0;999998366059783,0;458,1
"223bd77c5c34f4e9e40c3dfd53dffafc",8;06091731949349e-07,4;03369208077201e-06,0;199839679332953,1;6121834638987e-06,0,0;999999214086971,1,1
"633743f58b6a9fabc8612a844746d9aa",7;47049155834454e-07,3;58559611682108e-06,0;208347268207322,0,1;49409831166891e-06,1,0;482,1
