"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"08d77d3861ee0c24205b9a999144495f",2,24,1,23,1,1
"0c0cca5bec99fb78e2bb61c3935b025d",0,26,1,23,0;48,1
"0fa5da88bc26c3d497597b2ecbf33634",1,25,1,23,1,1
"116156fee4dfb6a544121c9b98a23c74",14,12,18,6,0;148530550698036,1
"135cd9f50ac1631b9e504edeb830d683",4,22,3,21,1,1
"17211eba768f47a1041935f3ee102e20",14,12,12,12,1,1
"175a157b503cdbac0149f491726d55a0",1,25,0,24,1,1
"1760e66b93ff7aa728b6898fa572bc2d",1,25,1,23,1,1
"187ab8462b8b440e1def5212412d9e06",1,25,0,24,1,1
"18922236506583e7320e776be6c2463a",2,24,0,24,0;490612244897959,1
"18ff3ee57c402652b7156ed14071d0ab",0,26,1,23,0;48,1
"1a3bb25b7d08acf0c021cca6623e477e",0,26,1,23,0;48,1
"1b0539acdc7399feee3aaebdd5e61067",0,26,2,22,0;22530612244898,1
"2130ca17584e2024351e25847b07de48",0,26,1,23,0;48,1
"21902ca1010f0f956e2e1b1e786ea973",4,22,0,24,0;11105514546244,1
"22358af799b12718b2413db582b1a6af",3,23,4,20,0;697061803444782,1
"223bd77c5c34f4e9e40c3dfd53dffafc",1,25,0,24,1,1
"22aea799615e8e1467f7b56605053545",2,24,2,22,1,1
"22c4ee4deafd2a50e123031f9e973ddd",3,23,0,24,0;235918367346939,1
"273881ea7601aa7c034c59b7f40b5736",4,22,0,24,0;11105514546244,1
"299a98fef4b37a7f125b41049760c6d7",1,25,0,24,1,1
"2b59d468bbdb1f86c22fcebd61f5d5cb",1,25,1,23,1,1
"2bf8231073721bfc54aa8ebeb6912a20",0,26,1,23,0;48,1
"2e3c54c72de596f4c4009971b90895d7",0,26,1,23,0;48,1
"2ea15125b3c28f70f4e9b2011fb1b32e",11,15,4,20,0;0666274979401783,1
"2ffde79d725e60b058bde836132af683",2,24,3,21,0;661311333043856,1
"30526a7a4d826edd9b043b56bd8e847a",2,24,1,23,1,1
"3123b5aa3c0f158260f64b2832af8167",1,25,1,23,1,1
"31415f8d3595a43846a89317548511ce",1,25,1,23,1,1
"319412737efae4ec36f93f4db011de0e",2,24,3,21,0;661311333043856,1
"325f464ad49685c1e5420d17aa147d15",0,26,1,23,0;48,1
"33be679a5c7b7bff076243989c33712f",2,24,1,23,1,1
"344a99c4890ae9d218c68b7173d0389c",0,26,1,23,0;48,1
"369977194325fa77afd733d37c92c63d",5,21,0,24,0;0511072514112028,1
"3a12705bdb700b87026ea27254e8fa89",3,23,4,20,0;697061803444782,1
"3d0a205de99f5295bc4b374649c57575",3,23,0,24,0;235918367346939,1
"409649957a882957ee87339338a7c07f",2,24,1,23,1,1
