"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"77d225e6605a71a9a33a9aeb33bdb890","77d225e6605a71a9a33a9aeb33bdb890"," 1;37352917","0;7854396"," 1;74873930","0;08033609","0;8033609","FALSE"
"2ea15125b3c28f70f4e9b2011fb1b32e","2ea15125b3c28f70f4e9b2011fb1b32e","-0;74929145","0;4201346","-1;78345553","0;07451218","0;8033609","FALSE"
"ca8c1cc094272e70ff21f563a2af81c3","ca8c1cc094272e70ff21f563a2af81c3","-0;15270804","0;4333157","-0;35241749","0;72452519","0;9806832","FALSE"
"643e1fe5e4374e56b15854c0ab8bd517","643e1fe5e4374e56b15854c0ab8bd517"," 0;18745988","0;4993739"," 0;37538984","0;70737056","0;9806832","FALSE"
"d40cb52e5d7086fee99ae0907fd334f9","d40cb52e5d7086fee99ae0907fd334f9"," 0;12250130","0;9215141"," 0;13293481","0;89424494","0;9806832","FALSE"
"76dc3809d214159c017b2f987364f7e0","76dc3809d214159c017b2f987364f7e0"," 0;13266800","0;3767228"," 0;35216342","0;72471571","0;9806832","FALSE"
"4be810915c915c3f6f34bb4fedab9ad0","4be810915c915c3f6f34bb4fedab9ad0"," 0;41839882","1;1193387"," 0;37379108","0;70855975","0;9806832","FALSE"
"8888c9b2d3933081f63651b9bfdbe480","8888c9b2d3933081f63651b9bfdbe480"," 1;04771985","0;9135752"," 1;14683487","0;25144987","0;9806832","FALSE"
"bdf8ede33b2c7001840621a6f72229dd","bdf8ede33b2c7001840621a6f72229dd","-0;10755975","0;3626584","-0;29658696","0;76678187","0;9806832","FALSE"
"f7b11f46a4c69e77e82476e16e9df760","f7b11f46a4c69e77e82476e16e9df760","-0;48434134","0;6813803","-0;71082380","0;47719343","0;9806832","FALSE"
"e3eb7f52eef0ad7aec4db88af12eb3cd","e3eb7f52eef0ad7aec4db88af12eb3cd","-0;01247736","0;5153296","-0;02421240","0;98068319","0;9806832","FALSE"
"17211eba768f47a1041935f3ee102e20","17211eba768f47a1041935f3ee102e20","-0;05227446","0;3777585","-0;13838065","0;88993959","0;9806832","FALSE"
"4673065a2d04c05374a89d2cfdcf68c2","4673065a2d04c05374a89d2cfdcf68c2","-0;20767647","0;3570477","-0;58164906","0;56080309","0;9806832","FALSE"
"872b2757f7ef15b1ef26b3f9936bcf31","872b2757f7ef15b1ef26b3f9936bcf31"," 0;03259130","0;4457706"," 0;07311226","0;94171678","0;9806832","FALSE"
"78e3be9fa222d3a314799a1a883f6b66","78e3be9fa222d3a314799a1a883f6b66"," 0;09966818","0;8256309"," 0;12071760","0;90391472","0;9806832","FALSE"
"8886b2b13e2ddffa6f24c3ba02bde095","8886b2b13e2ddffa6f24c3ba02bde095"," 0;21178703","0;3605089"," 0;58746685","0;55689021","0;9806832","FALSE"
"8d3e983e728259a88863f948e5dbe94b","8d3e983e728259a88863f948e5dbe94b"," 0;13687233","0;4912030"," 0;27864719","0;78051560","0;9806832","FALSE"
"b53ede99325c8616840fa8e938464d7e","b53ede99325c8616840fa8e938464d7e"," 0;42791311","0;4360157"," 0;98141665","0;32638732","0;9806832","FALSE"
"116156fee4dfb6a544121c9b98a23c74","116156fee4dfb6a544121c9b98a23c74"," 1;19012878","0;9404331"," 1;26551143","0;20568806","0;9806832","FALSE"
"abb48f98cc76cbfd884b85cb99cf2af1","abb48f98cc76cbfd884b85cb99cf2af1","-0;28319380","0;4216837","-0;67157873","0;50185192","0;9806832","FALSE"
"a418705a2b62c68553ceec65922142a4","a418705a2b62c68553ceec65922142a4"," 0;43498728","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"22358af799b12718b2413db582b1a6af","22358af799b12718b2413db582b1a6af"," 1;17430042","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"99d56121b201885e2327e1aaefee27e0","99d56121b201885e2327e1aaefee27e0","-1;50750483","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"bb33b229f3d1ca9a24f2615fab635d38","bb33b229f3d1ca9a24f2615fab635d38","-1;16530214","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"760b5cda1cd383fa43af2dd6f6b06672","760b5cda1cd383fa43af2dd6f6b06672"," 0;52244170","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"b663b0cd551ba980221251a789b6e206","b663b0cd551ba980221251a789b6e206"," 3;83142357","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"96e8d503a1148ba899683ec5ab9b05d9","96e8d503a1148ba899683ec5ab9b05d9","-0;23621699","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"a158cb84cd379842d99cf6726247efcd","a158cb84cd379842d99cf6726247efcd","-0;85067186","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"e74ee435c566d594cc9526383adf5792","e74ee435c566d594cc9526383adf5792","-1;53501207","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
"9bfd7d6705ff77f170d74bd7d21e15c7","9bfd7d6705ff77f170d74bd7d21e15c7","-0;55762637","0;0000000","        Inf","0;00000000","0;0000000"," TRUE"
