"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4bdc300e2a73d2456d8f5f301cd79b24",1;78136588077778,-0;881955906946974,0;390816023914043,-2;2423575830298,0;0249382709018731,0;0806826411531188
"5d5ed43144a7e9922f567567cca6edb7",1;68944994958661,-0;775292525080682,0;399765280566713,-1;92953791907658,0;0536641173568745,0;141638813942278
"a418705a2b62c68553ceec65922142a4",3;15294534491467,0;769652471555697,0;411154324784044,1;86916364921837,0;0616000499225333,0;15421770153169
"9d066026ffeef60c8c0e44158075b186",1;12312810358644,5;3250124533392,0;11917280618438,-0;275010478309586,0;783308188065852,NA
"135cd9f50ac1631b9e504edeb830d683",1;56314015160901,-1;06228329638387,0;24184192249778,0;662407981502831,0;507709789897671,0;657036198691103
"0c0cca5bec99fb78e2bb61c3935b025d",1;14661471712287,3;51451393068264,0;277007475346587,-0;126246525288229,0;89953678410052,NA
"299a98fef4b37a7f125b41049760c6d7",1;14721159647949,-4;8641387999402,0;272824674300508,0;153272739753778,0;878183197166719,NA
"77d225e6605a71a9a33a9aeb33bdb890",246;58143861717,4;67237375742954,0;581047117222289,7;86994569766163,3;54795217620406e-15,1;30091579794149e-13
"de7864dafea9b68a565a62c31bc8339e",27;6105953825413,-1;74445381290216,0;541376661230011,-6;96625642793117,3;25485652070988e-12,8;57337530465675e-11
"2b59d468bbdb1f86c22fcebd61f5d5cb",1;66260737928093,0;661379923719855,0;385370036663522,1;71185297994094,0;0869237656910895,0;195134984204487
"2ea15125b3c28f70f4e9b2011fb1b32e",6;33644080931713,-1;67320311611133,0;434904404612959,-3;82916445369564,0;000128579066235139,0;000744405120308697
"a692aae1c416358d582103d64b3774f2",1;1467052720028,2;16618088716224,0;195724719057009,-0;126221654987377,0;899556470253207,NA
"1a3bb25b7d08acf0c021cca6623e477e",1;62079092759905,0;757394256464363,0;38874781330532,1;94138588917613,0;0522114885713521,0;141638813942278
"fd7880a6988b84aaaf0c433708c2efa6",1;14694645382734,0;901252180036131,0;333255736246062,-0;126154500569713,0;899609626819535,NA
"33be679a5c7b7bff076243989c33712f",1;17063867751592,1;12933196101513,0;093947931269705,0;0193459931877674,0;984565093525276,NA
"cf16828665dee40dfa4b6bade4cf21ef",1;3357149913566,0;341918790741416,0;362297821726535,0;943010430725244,0;345675567676891,0;513842060060243
"da513503b2ff56009fc8a578c819ebcb",1;17063867751592,6;94299846298551,0;256661279874866,0;0193459931877674,0;984565093525276,NA
"22c4ee4deafd2a50e123031f9e973ddd",5;13948519351959,-6;91401488029828,0;46431507009159,-4;7758414750459,1;78957332062467e-06,1;96853065268713e-05
"ca8c1cc094272e70ff21f563a2af81c3",5;81516746785402,-0;485842564637617,0;452728784425066,-1;07285694749767,0;283335305178855,0;460562888224974
