"","V1"
"fb4b6d91dda35da5c766e6747c71efdb",0;0962250448649376
"X175a157b503cdbac0149f491726d55a0",0;109971479845643
"X5e317160f53054af730b0a3123e7e9b6",0;050403594929253
"X0ef57e8afd9085d240cb5ca96d3578ad",0;0756053923938796
"adba26ac34bc5a82de3fd3fb5efbd33e",0;029783942458195
"X60ae902a3e046edce4cc5f9cc1ac73ea",0;105389334852075
"af7a6845c73f4a26d0abf34aef9a2a64",0;0572768124196057
"X325f464ad49685c1e5420d17aa147d15",0;0778964648906638
"X760b5cda1cd383fa43af2dd6f6b06672",0;176412582252386
"X7d2ea1f51c60d58d0660446d4774a59a",0;0847696823810165
"d75885b537a312c667e41d5afe3bee27",0;080187537387448
"faef5307d71a48c6d6d40336c90c8d60",0;0481125224324688
"f9714344beb252703d97bed4752ae788",0;0778964648906638
"X399dce84cd757a93a8527510b06e307a",0;0893518273745849
"de3ca8116321fa3b3ecaa5fc40c08cc5",0;132882204813485
"X08d77d3861ee0c24205b9a999144495f",-0;00458214499356846
"c1c7dac2c6665e89f90cda95c53e086e",0;105389334852075
"X2bf8231073721bfc54aa8ebeb6912a20",0;0114553624839211
"X18ff3ee57c402652b7156ed14071d0ab",0;0893518273745849
"X8dcb1c66dadcbfce80141ab20ccf1ea1",0;0664411024067426
"a294a6334e4208490c478e9073d7270c",0;192450089729875
"X22aea799615e8e1467f7b56605053545",0;050403594929253
"X96e8d503a1148ba899683ec5ab9b05d9",0;0572768124196057
"X7f088cac1fcdba8c0195c47096264049",0;0366571599485477
"a4977746f215ec32e61883e81da46126",0;0526946674260373
"b0155a887805143545218ffe760eda06",0;0756053923938796
"a4bbfb428c8d35739d668a60656037fc",0;0389482324453319
"ea4f3d7471d698fb962e28a5f213caf2",0;0412393049421161
"X53c621cb35a1c35186d82a7c60de1bf0",0;0549857399228215
"efef4e897400bf9054e9c2a7eda09a78",0;107680407348859
"ee0d28cca895e4a213be07178c2fefba",0;0870607548778007
"X3d6595ba0dd3b1779363e84e947fc1c4",0;080187537387448
"a158cb84cd379842d99cf6726247efcd",0;05956788491639
"X3f3d70d8216a76f49f3a361d0d9ab15f",0;0481125224324688
"X211d2dbbc4c623c2e960bb29d37d40fa",0;123717914826348
"X8888c9b2d3933081f63651b9bfdbe480",0;256600119639834
"X8c6d27c2bc40b12979bd9d5544237b81",0;0435303774389003
"bdf8ede33b2c7001840621a6f72229dd",0;0824786098842322
"dfaaa901a526111d492d3d2f61435275",0;0137464349807054
"X59788ef0375e4756a83b5a60f29a3303",0;148919712290975
"X319412737efae4ec36f93f4db011de0e",0;00687321749035269
"X223bd77c5c34f4e9e40c3dfd53dffafc",0;153501857284543
"e74ee435c566d594cc9526383adf5792",0;206196524710581
"X1c9a25f511df933eb3476dbbbb46a199",0;0939339723681534
"X3afe92f292286577802cddba507f140e",0;107680407348859
"db7d937668dd436e5a4c657b8cd5329f",0;121426842329564
"X4a1a4c83702a6c44562e2daa13bf3514",0;185576872239523
"X344a99c4890ae9d218c68b7173d0389c",0;0412393049421161
"f7b11f46a4c69e77e82476e16e9df760",0;00916428998713692
"b84ffd3d3404ece823346fd8ed2df099",0;121426842329564
"X348be596f79f125aafbe95efa903cbd9",0;0824786098842322
"X9e6878f45a5eb2ea642bc92e840afdf7",0;0962250448649376
"X6915ce702b5bac12f5018e69a2bca72e",0;121426842329564
"X481b5086d4014f57b2ff1517825ee7d1",0;132882204813485
"ee297847e00487e7f148dc495efc4ebe",0;0526946674260373
"X68c4c822540f83dfe06bbc19f708d882",0;0137464349807054
"e3eb7f52eef0ad7aec4db88af12eb3cd",-0;0229107249678423
"X1eff341aa2b49ec383d0a118f73f9cb6",0;0343660874517634
"X17211eba768f47a1041935f3ee102e20",0;13517327731027
"c2cf452e2e4b142723e0654f167ee870",0;0458214499356846
"d61038bd0af574cc1fb1f9ecef204bbf",0;0274928699614107
"a4e3412f19bae543184b7ee353711e30",0;0183285799742738
"X3e0f023636975b57382d70fe0a52bf1e",0;050403594929253
