"","V1"
"ea4f3d7471d698fb962e28a5f213caf2",-0;0554811169557584
"X53c621cb35a1c35186d82a7c60de1bf0",-0;0471589494123946
"efef4e897400bf9054e9c2a7eda09a78",-0;155347127476123
"ee0d28cca895e4a213be07178c2fefba",0;00277405584778792
"a158cb84cd379842d99cf6726247efcd",-0;119284401454881
"X8e2824f6a1b188b220b9361c612674b6",0;00277405584778792
"X633743f58b6a9fabc8612a844746d9aa",-0;0249665026300913
"X8888c9b2d3933081f63651b9bfdbe480",0;0832216754336376
"X8c6d27c2bc40b12979bd9d5544237b81",-0;0832216754336376
"bdf8ede33b2c7001840621a6f72229dd",-0;0665773403469101
"dfaaa901a526111d492d3d2f61435275",-0;127606568998244
"X59788ef0375e4756a83b5a60f29a3303",-0;102640066368153
"X319412737efae4ec36f93f4db011de0e",0;0110962233911517
"X223bd77c5c34f4e9e40c3dfd53dffafc",-0;0804476195858497
"cca78c21045111a15b3ccadddf52b971",-0;105414122215941
"e74ee435c566d594cc9526383adf5792",-0;124832513150456
"X273881ea7601aa7c034c59b7f40b5736",-0;216376356127458
"X4a1a4c83702a6c44562e2daa13bf3514",-0;122058457302668
"X344a99c4890ae9d218c68b7173d0389c",0;00277405584778792
"f7b11f46a4c69e77e82476e16e9df760",-0;108188178063729
"X596153e78a4c251da43033285b61a7b3",-0;0832216754336376
"X9e6878f45a5eb2ea642bc92e840afdf7",-0;0527070611079705
"X54936af7fc659bb8a76615f1ae6f6993",-0;0887697871292134
"X6915ce702b5bac12f5018e69a2bca72e",-0;0638032844991221
"X481b5086d4014f57b2ff1517825ee7d1",0;0388367818690309
"e3eb7f52eef0ad7aec4db88af12eb3cd",0;0221924467823034
"X17211eba768f47a1041935f3ee102e20",-0;130380624846032
"c2cf452e2e4b142723e0654f167ee870",-0;0610292286513342
"d61038bd0af574cc1fb1f9ecef204bbf",-0;0388367818690309
"a4e3412f19bae543184b7ee353711e30",-0;0998660105203651
"X21902ca1010f0f956e2e1b1e786ea973",-0;0804476195858497
"X450fb80a8aa341cdf33eee2dac5fe23b",-0;105414122215941
"X3123b5aa3c0f158260f64b2832af8167",-0;0110962233911517
"X75e58ea69a10ad870d4811cf0d4fdb61",-0;0443848935646067
"X7ff01134216b54c40a3d44f59c565338",-0;0748995078902738
"X45c35d69f417bd7d4cbe61dd5a0f083e",-0;0443848935646067
"X41155fc81ea0571a02817ce0e39861e2",0
"X9bfd7d6705ff77f170d74bd7d21e15c7",-0;163669295019487
"X4673065a2d04c05374a89d2cfdcf68c2",-0;110962233911517
"X5f3b8380fd0ae0e537a43b002c4e7a67",0;0804476195858497
"a7f842cf2e6b177dd52becebda1de83a",-0;127606568998244
"X0fa5da88bc26c3d497597b2ecbf33634",-0;0499330052601826
"X99bf847cdf4b42889ec796b79dff8c25",-0;0887697871292134
"X5efce6b21a9c05541f7e777341156e96",-0;0138702792389396
"X4f39ef900d88365c3eac06f13c776b8f",-0;108188178063729
"b5f3ca43eee20152738a029642f31149",-0;0166443350867275
"X6b6c4cf41b7f49acaa5081bc5f234029",-0;0194183909345154
"X409649957a882957ee87339338a7c07f",-0;0665773403469101
"c50d9f53af04313b5497bb9c55275c7c",-0;0360627260212429
"f5dfda847d1a6546186467acbca7459a",-0;0249665026300913
"fe1557e7eea603d3e9a1356de4c894f1",0
"X872b2757f7ef15b1ef26b3f9936bcf31",-0;0804476195858497
"X511bd796069111a3a3e99c2d13907211",-0;0859957312814255
"X3a12705bdb700b87026ea27254e8fa89",-0;0138702792389396
"X8cb3b318760da2e5f9815653cbc4bf83",0;0582551728035463
"X369977194325fa77afd733d37c92c63d",-0;171991462562851
"X78e3be9fa222d3a314799a1a883f6b66",-0;0443848935646067
"X79211df1215da97e2f8277d6b2222fe2",-0;0776735637380617
"X8886b2b13e2ddffa6f24c3ba02bde095",-0;0221924467823034
"X79a7291065adc3f595551e420369acde",-0;0499330052601826
"b7b6c3fd8f90372ec9ab4e7bd7df8507",-0;0138702792389396
"X8d3e983e728259a88863f948e5dbe94b",0;0249665026300913
"b53ede99325c8616840fa8e938464d7e",0;113736289759305
"X116156fee4dfb6a544121c9b98a23c74",0;155347127476123
"abb48f98cc76cbfd884b85cb99cf2af1",-0;0915438429770013
"X66784a97073d9affb5b9dd057c7d5195",-0;0277405584778792
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",-0;0527070611079705
"f342e124ffe9a9d3e0e492ff00ed674e",-0;0194183909345154
"b77627ad049c7569beb5e5bb351b9a50",-0;0804476195858497
"X7c4c61a0c83567367786e514df40a21b",-0;0610292286513342
"d3ab276830b02edd6977f850f0ef8caa",0;0138702792389396
"d9b3a569d44a34c6a764a5a298219d08",0;00277405584778792
"X7be672ff862684f33384d4e038bb89c0",-0;0527070611079705
"X543d211dd0ff4f6d0066ec3850ed5082",-0;0943178988247892
"a767696bf9e2e1a5f9e63fd6d39e88f3",-0;0859957312814255
"X461c2b20bd5c233dcac34fc89ce1a66f",0;00277405584778792
"X93dc6bb121df4cf4164c024ac00012b4",-0;0582551728035463
"X5ae1f1acc18efc7823c3415d779b0385",0;00277405584778792
"f8549988d995f078ce28eccc60deff7b",-0;0166443350867275
