"","ID","structural.zero..Healthy.","structural.zero..Infected."
"135cd9f50ac1631b9e504edeb830d683","135cd9f50ac1631b9e504edeb830d683",0,0
"2ea15125b3c28f70f4e9b2011fb1b32e","2ea15125b3c28f70f4e9b2011fb1b32e",1,0
"fd7880a6988b84aaaf0c433708c2efa6","fd7880a6988b84aaaf0c433708c2efa6",0,1
"ca8c1cc094272e70ff21f563a2af81c3","ca8c1cc094272e70ff21f563a2af81c3",0,1
"643e1fe5e4374e56b15854c0ab8bd517","643e1fe5e4374e56b15854c0ab8bd517",0,0
"5bf5a35fbf5c2c129b31a4aaa02679bd","5bf5a35fbf5c2c129b31a4aaa02679bd",0,1
"4be810915c915c3f6f34bb4fedab9ad0","4be810915c915c3f6f34bb4fedab9ad0",0,0
"97e3be015d0ad3c9c56ccbd57f9c0feb","97e3be015d0ad3c9c56ccbd57f9c0feb",1,1
"2ffde79d725e60b058bde836132af683","2ffde79d725e60b058bde836132af683",1,0
"08d77d3861ee0c24205b9a999144495f","08d77d3861ee0c24205b9a999144495f",1,1
"a158cb84cd379842d99cf6726247efcd","a158cb84cd379842d99cf6726247efcd",1,1
"8888c9b2d3933081f63651b9bfdbe480","8888c9b2d3933081f63651b9bfdbe480",0,0
"8c6d27c2bc40b12979bd9d5544237b81","8c6d27c2bc40b12979bd9d5544237b81",1,1
"bdf8ede33b2c7001840621a6f72229dd","bdf8ede33b2c7001840621a6f72229dd",0,0
"f7b11f46a4c69e77e82476e16e9df760","f7b11f46a4c69e77e82476e16e9df760",0,0
"e3eb7f52eef0ad7aec4db88af12eb3cd","e3eb7f52eef0ad7aec4db88af12eb3cd",0,0
"17211eba768f47a1041935f3ee102e20","17211eba768f47a1041935f3ee102e20",0,0
"3123b5aa3c0f158260f64b2832af8167","3123b5aa3c0f158260f64b2832af8167",1,0
"579e5bbf5706c28209744c33484c4b8c","579e5bbf5706c28209744c33484c4b8c",1,1
"4673065a2d04c05374a89d2cfdcf68c2","4673065a2d04c05374a89d2cfdcf68c2",0,0
"872b2757f7ef15b1ef26b3f9936bcf31","872b2757f7ef15b1ef26b3f9936bcf31",0,0
"78e3be9fa222d3a314799a1a883f6b66","78e3be9fa222d3a314799a1a883f6b66",1,0
"8d3e983e728259a88863f948e5dbe94b","8d3e983e728259a88863f948e5dbe94b",0,0
"b53ede99325c8616840fa8e938464d7e","b53ede99325c8616840fa8e938464d7e",0,0
"116156fee4dfb6a544121c9b98a23c74","116156fee4dfb6a544121c9b98a23c74",0,0
"abb48f98cc76cbfd884b85cb99cf2af1","abb48f98cc76cbfd884b85cb99cf2af1",1,0
