"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"79a7291065adc3f595551e420369acde",0,22,2,18,0.220673635307782,0.960043624826492
"7c4c61a0c83567367786e514df40a21b",2,20,2,18,1,1
"7d2ea1f51c60d58d0660446d4774a59a",0,22,1,19,0.476190476190476,0.960043624826492
"7f6f04cff14b6c730f64324e546e2d6b",0,22,1,19,0.476190476190476,0.960043624826492
"7ff01134216b54c40a3d44f59c565338",1,21,0,20,1,1
"8512a0ed11476e591ffa9a713b8d9df3",1,21,3,17,0.33270794246404,0.960043624826492
"86a9b8a55479938e1b6b804cd653155b",0,22,1,19,0.476190476190476,0.960043624826492
"872b2757f7ef15b1ef26b3f9936bcf31",19,3,14,6,0.268749049236854,0.960043624826492
"8886b2b13e2ddffa6f24c3ba02bde095",1,21,3,17,0.33270794246404,0.960043624826492
"8888c9b2d3933081f63651b9bfdbe480",1,21,7,13,0.0182256767622621,0.960043624826492
"890b0fb43b36350b30ca02829f3e91ad",0,22,1,19,0.476190476190476,0.960043624826492
"89ca3ef7f9011b78e1e0a3895fb3ff7f",2,20,0,20,0.488966318234611,0.960043624826492
"8d3e983e728259a88863f948e5dbe94b",18,4,13,7,0.298271603149652,0.960043624826492
"8dcb1c66dadcbfce80141ab20ccf1ea1",1,21,0,20,1,1
"8e2824f6a1b188b220b9361c612674b6",0,22,1,19,0.476190476190476,0.960043624826492
"92e7c471bf50233a39a459ff5b204b3e",4,18,0,20,0.108639328151523,0.960043624826492
"939f95ffa67d45b18f810411c9e35571",1,21,4,16,0.174484052532833,0.960043624826492
"96e8d503a1148ba899683ec5ab9b05d9",2,20,0,20,0.488966318234611,0.960043624826492
"97e3be015d0ad3c9c56ccbd57f9c0feb",3,19,4,16,0.690896337237801,1
"983cf9a4e7016105283f24743d919f25",1,21,0,20,1,1
"9880373d82d00984bcfd9dddced13e34",0,22,1,19,0.476190476190476,0.960043624826492
"99bf847cdf4b42889ec796b79dff8c25",2,20,1,19,1,1
"99d56121b201885e2327e1aaefee27e0",9,13,3,17,0.0913206979296673,0.960043624826492
"9bfd7d6705ff77f170d74bd7d21e15c7",3,19,3,17,1,1
"9c7970c0800382fbe01230164e6149fb",1,21,0,20,1,1
"9e58e4736ae679b38ae8de9b3fc3d7ee",0,22,1,19,0.476190476190476,0.960043624826492
"9e6878f45a5eb2ea642bc92e840afdf7",0,22,1,19,0.476190476190476,0.960043624826492
"a135d244d0364d5d06535e56882a84a5",1,21,6,14,0.0408025286074066,0.960043624826492
"a158cb84cd379842d99cf6726247efcd",4,18,10,10,0.0487760882779739,0.960043624826492
"a294a6334e4208490c478e9073d7270c",1,21,0,20,1,1
"a418705a2b62c68553ceec65922142a4",3,19,2,18,1,1
"a4bbfb428c8d35739d668a60656037fc",0,22,2,18,0.220673635307782,0.960043624826492
"a4e3412f19bae543184b7ee353711e30",2,20,4,16,0.400385375995132,0.960043624826492
"a692aae1c416358d582103d64b3774f2",1,21,3,17,0.33270794246404,0.960043624826492
"a767696bf9e2e1a5f9e63fd6d39e88f3",1,21,0,20,1,1
"a7f842cf2e6b177dd52becebda1de83a",3,19,2,18,1,1
"a992aa1cc0c433a9e86e33cbc0489c4b",1,21,0,20,1,1
"abb48f98cc76cbfd884b85cb99cf2af1",4,18,10,10,0.0487760882779739,0.960043624826492
"af7a6845c73f4a26d0abf34aef9a2a64",0,22,1,19,0.476190476190476,0.960043624826492
"b0155a887805143545218ffe760eda06",0,22,2,18,0.220673635307782,0.960043624826492
"b2b2ae51b868a14c0e2efb9693ed8f75",0,22,1,19,0.476190476190476,0.960043624826492
"b53ede99325c8616840fa8e938464d7e",5,17,9,11,0.191720200354455,0.960043624826492
"b663b0cd551ba980221251a789b6e206",2,20,2,18,1,1
"b7b6c3fd8f90372ec9ab4e7bd7df8507",0,22,1,19,0.476190476190476,0.960043624826492
"b84ffd3d3404ece823346fd8ed2df099",1,21,2,18,0.597560975609756,1
"b88919456fa9bc9afe13c91708403a1b",0,22,1,19,0.476190476190476,0.960043624826492
"ba01d82683535dedddbe18c540d309be",1,21,0,20,1,1
"bb33b229f3d1ca9a24f2615fab635d38",3,19,1,19,0.607879924953096,1
"bd26e97e57ceb47cf6ab7d5b5e947f62",1,21,1,19,1,1
"bdf8ede33b2c7001840621a6f72229dd",3,19,9,11,0.0400408276096711,0.960043624826492
"c0c4bc43d1ba371268726299b45b754a",1,21,0,20,1,1
"c1c7dac2c6665e89f90cda95c53e086e",0,22,1,19,0.476190476190476,0.960043624826492
"c1f96ac17ac6c32cbf88341fce4c8d9d",0,22,1,19,0.476190476190476,0.960043624826492
"ca8c1cc094272e70ff21f563a2af81c3",2,20,5,15,0.22886770447746,0.960043624826492
"cca78c21045111a15b3ccadddf52b971",0,22,2,18,0.220673635307782,0.960043624826492
"cf16828665dee40dfa4b6bade4cf21ef",0,22,2,18,0.220673635307782,0.960043624826492
"d0663dc6e98d4272e5c13d317fed72cc",0,22,1,19,0.476190476190476,0.960043624826492
"d40cb52e5d7086fee99ae0907fd334f9",8,14,5,15,0.514306371112036,0.985753877964736
"d61038bd0af574cc1fb1f9ecef204bbf",1,21,0,20,1,1
"d75885b537a312c667e41d5afe3bee27",0,22,2,18,0.220673635307782,0.960043624826492
"d8fc54bcadbf7fcc5cd3d7c2bf678f8f",1,21,0,20,1,1
"d9b3a569d44a34c6a764a5a298219d08",1,21,2,18,0.597560975609756,1
"da230b788ed11070ab619cf95eec6577",0,22,1,19,0.476190476190476,0.960043624826492
"da513503b2ff56009fc8a578c819ebcb",1,21,2,18,0.597560975609756,1
"db7d937668dd436e5a4c657b8cd5329f",0,22,2,18,0.220673635307782,0.960043624826492
"de7864dafea9b68a565a62c31bc8339e",1,21,0,20,1,1
"dfaaa901a526111d492d3d2f61435275",1,21,0,20,1,1
"e36a239a30b387e78c09e274444e016c",0,22,1,19,0.476190476190476,0.960043624826492
