"","average","sd","ratio","ava","avb","cumsum","p","padj"
"4be810915c915c3f6f34bb4fedab9ad0",0;101272853659998,0;166705485596538,0;607495627978906,0;0886039540378006,0;14307929021413,0;105938405604074,0;312,0;922941860465116
"f7b11f46a4c69e77e82476e16e9df760",0;0816236003048896,0;157376901324908,0;518650447541702,0;15219180200077,0;0178257578039838,0;191322333907259,0;331,0;922941860465116
"116156fee4dfb6a544121c9b98a23c74",0;065765147831519,0;105419121569296,0;62384458201247,0;0186637006181505,0;127292048237163,0;260117224678065,0;006,0;322
"a158cb84cd379842d99cf6726247efcd",0;0570479755063735,0;116513723974327,0;489624514267039,0;0472682606054473,0;0776225787910261,0;319793350605902,0;342,0;922941860465116
"77d225e6605a71a9a33a9aeb33bdb890",0;0555828447458009,0;121822123674112,0;456262319761322,0;0812810733816783,0;0386950752849978,0;377936848478272,0;905,1
"8888c9b2d3933081f63651b9bfdbe480",0;0461508778290798,0;138381771996844,0;333504024143673,1;83691838571612e-05,0;0922960283519865,0;426213856953371,0;003,0;322
"99d56121b201885e2327e1aaefee27e0",0;0453983638039641,0;12332691659652,0;368113993739831,0;0903157367757383,0;00106415605930449,0;473703683739256,0;27,0;922941860465116
"b663b0cd551ba980221251a789b6e206",0;0395694121973585,0;108257671046047,0;365511393465392,0;0532931846772118,0;0301106098053905,0;515096024207434,1,1
"d40cb52e5d7086fee99ae0907fd334f9",0;0359179235125962,0;0955383243369669,0;375953040435506,0;0542703261444862,0;0222441433770216,0;552668655095355,0;941,1
"a7f842cf2e6b177dd52becebda1de83a",0;0301587014305745,0;0940424719871567,0;320692350948551,0;0523981332696122,0;0103925436638006,0;584216741568466,1,1
"5efce6b21a9c05541f7e777341156e96",0;0246932987151655,0;107352372463423,0;230020987413007,1;33611244722356e-05,0;0493759085307532,0;610047638995059,0;236,0;922941860465116
"596153e78a4c251da43033285b61a7b3",0;0244286093575663,0;103950071823609,0;235003294649173,5;17653940575916e-06,0;048853077483608,0;635601653056456,0;218,0;922941860465116
"543d211dd0ff4f6d0066ec3850ed5082",0;0238320967298708,0;103999950244977,0;22915488587959,0,0;0476641934597417,0;66053167367423,0;503,0;93083908045977
"4bdc300e2a73d2456d8f5f301cd79b24",0;022568328863947,0;103302776822454,0;218467785263267,0;0450430228208006,0;000102998397802701,0;684139705743927,1,1
"faef5307d71a48c6d6d40336c90c8d60",0;0225616921269095,0;103508352012514,0;217969774305573,0;045123384253819,0,0;707740795327906,1,1
"89ca3ef7f9011b78e1e0a3895fb3ff7f",0;02166907226434,0;0969845167784895,0;223428161361382,0;04333814452868,0,0;730408142831617,1,1
"409649957a882957ee87339338a7c07f",0;0214709257842387,0;0985041428456887,0;217969774305573,0;0429418515684774,0,0;752868215419895,1,1
"4a1a4c83702a6c44562e2daa13bf3514",0;0184654871102109,0;066702934654742,0;276831704718679,0;0285666378580817,0;00920076999857408,0;772184391398562,1,1
"211d2dbbc4c623c2e960bb29d37d40fa",0;0175156422050877,0;0801211425996869,0;218614483477874,0;034937240523028,0;000103448275862069,0;790506963946662,1,1
"5cce1abb68c73f8fd159aaf92e2afde9",0;0168078690495013,0;0769149795298411,0;218525300952336,0;0335379604652575,8;5555397119635e-05,0;808089156847874,1,1
"d0663dc6e98d4272e5c13d317fed72cc",0;0145340586565752,0;0634246073383404,0;22915488587959,0,0;0290681173131504,0;823292786896681,0;492,0;922941860465116
"b88919456fa9bc9afe13c91708403a1b",0;0131680661068906,0;057463606138469,0;22915488587959,0,0;0263361322137812,0;837067494311725,0;472,0;922941860465116
"071be45c44bec0f49b498f73b15dd3d2",0;0124181360201511,0;0541910157074995,0;22915488587959,0,0;0248362720403023,0;850057723015718,0;466,0;922941860465116
