"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"dfaaa901a526111d492d3d2f61435275",1;89782813483639,-0;493276197167436,0;327502135685839,-1;50268460064914,0;132920395615788,0;219987086982327
"59788ef0375e4756a83b5a60f29a3303",2;10194716407258,2;79379970346063,0;345849166572719,2;78568300880393,0;00534150784378916,0;0193399421930297
"319412737efae4ec36f93f4db011de0e",1;65931826610885,-0;726167730061001,0;322849191625643,-2;23372312245728,0;0255012966206858,0;0723685444641084
"223bd77c5c34f4e9e40c3dfd53dffafc",1;68085461447491,0;716998637193935,0;323532181121172,2;198690438089,0;0278999413221334,0;0751152266365131
"e74ee435c566d594cc9526383adf5792",6;99442478379253,3;96589406416063,0;400167432883983,5;54178404299452,2;99405418615432e-08,1;74653160859002e-07
"1c9a25f511df933eb3476dbbbb46a199",1;2487816756493,0;282372203981165,0;116458291919309,0;602014617899918,0;547164407053604,NA
"3afe92f292286577802cddba507f140e",2;14653703018966,6;07478700802219,0;336246980938723,2;80542083612799,0;00502509233974813,0;0190648078699445
"db7d937668dd436e5a4c657b8cd5329f",1;44364674795146,0;422899240017441,0;325466848946225,1;29498418013198,0;19532568688541,NA
"4a1a4c83702a6c44562e2daa13bf3514",9;41232067870472,4;82817539674239,0;407096628612885,5;96328808544961,2;4721200312367e-09,1;85409002342753e-08
"344a99c4890ae9d218c68b7173d0389c",1;18425156869923,-4;7043864003097,0;23918317411993,-0;0200635236134085,0;983992698223924,NA
"f7b11f46a4c69e77e82476e16e9df760",76;4232844253397,-1;17718153675507,0;428937205709359,-0;972253208182645,0;330924595966466,0;418639549114203
"b84ffd3d3404ece823346fd8ed2df099",3;06232627550981,3;42060946453343,0;367630237368882,3;89812104915736,9;69419572610934e-05,0;000442561109235426
"348be596f79f125aafbe95efa903cbd9",1;18425156869923,-3;8895559561036,0;196919856147548,-0;0200635236134085,0;983992698223924,NA
"9e6878f45a5eb2ea642bc92e840afdf7",1;18425156869923,5;50539515650789,0;236088345406811,-0;0200635236134085,0;983992698223924,NA
"6915ce702b5bac12f5018e69a2bca72e",1;46297623531976,-0;344828921653829,0;134547625418915,1;41736544573385,0;156376109840167,NA
"481b5086d4014f57b2ff1517825ee7d1",4;7369796195477,1;3643238609,0;387317883755415,1;0881068898647,0;276547922465393,0;362969148235828
"ee297847e00487e7f148dc495efc4ebe",1;16264024312233,0;116909026014742,0;131357641815766,0;114382468322362,0;90893461102934,NA
"68c4c822540f83dfe06bbc19f708d882",1;16259142068107,-3;18635469950866,0;252635805273948,0;114401169419023,0;908919787020722,NA
"e3eb7f52eef0ad7aec4db88af12eb3cd",303;968510329467,-0;827135161825436,0;43725236049697,-4;52603722108576,6;00999991746094e-06,3;00499995873047e-05
"1eff341aa2b49ec383d0a118f73f9cb6",1;31087774513032,-6;96436526422928,0;221443472951701,0;936188431845743,0;349176178220413,NA
"17211eba768f47a1041935f3ee102e20",4;74923165849461,0;4821892161875,0;33956885432954,1;41891097292674,0;155924972817099,0;237277132547759
"c2cf452e2e4b142723e0654f167ee870",1;50915378897165,0;29776268207781,0;322313965960443,0;922331624320221,0;356355623245577,0;440146776524007
"d61038bd0af574cc1fb1f9ecef204bbf",1;14086465280411,0;00352775994785667,0;218949936486057,-0;0149627144402223,0;988061926617036,NA
"a4e3412f19bae543184b7ee353711e30",1;33450797893058,1;97148090980801,0;145432769311122,-0;881671292904398,0;377954589372657,NA
"3e0f023636975b57382d70fe0a52bf1e",1;16252480082228,-3;77410355194676,0;246449492980552,0;11442655654186,0;908899663175289,NA
"450fb80a8aa341cdf33eee2dac5fe23b",1;63911467708062,-0;689946094716081,0;333847364168024,-2;05443307572867,0;0399337945315731,0;097512754088725
"3123b5aa3c0f158260f64b2832af8167",2;35078861836047,3;06367113983193,0;294765820827261,0;325497397975995,0;744804651617783,0;798004983876196
"7f6f04cff14b6c730f64324e546e2d6b",1;3142124568082,-1;02136328644475,0;298311936230077,-0;765021687319259,0;444258630578396,NA
"579e5bbf5706c28209744c33484c4b8c",13;6788389881431,2;13640811708942,0;427156519847834,1;40025900816979,0;161435771255327,0;242153656882991
"7ff01134216b54c40a3d44f59c565338",1;24926244052198,-4;0983077174695,0;237177379981961,0;603393179379417,0;546247158551207,NA
"45c35d69f417bd7d4cbe61dd5a0f083e",1;16259142068107,5;12415841119951,0;238137688007969,-0;149446827181079,0;881201063831336,NA
"149b57f90ba9fdc1aa38b84570147bd9",1;18425156869923,-3;1355260468486,0;111685562349164,-0;0200635236134085,0;983992698223924,NA
"9bfd7d6705ff77f170d74bd7d21e15c7",1;8700696532154,-1;32505156028071,0;293389100377582,-0;0671298655087638,0;946478318276584,0;958880244955254
"4673065a2d04c05374a89d2cfdcf68c2",10;8443403083329,0;300656783588682,0;282865437141833,1;06275431998279,0;287893380008395,0;373195122233105
"efd61c8a200b0dfb04999c1cbc4a509f",1;18425156869923,-0;845300071122768,0;300484913488466,-0;0200635236134085,0;983992698223924,NA
"5f3b8380fd0ae0e537a43b002c4e7a67",1;42006505159307,0;497111297816078,0;154839373197752,0;299332104843442,0;764686660776348,NA
"38bad4cf4a320d649be0d854b3cf98be",1;18425156869923,1;13173629177094,0;192775211458305,-0;0200635236134085,0;983992698223924,NA
"9a8798b380171e379eb66ee08e76ece1",1;85561187859265,1;5119831786298,0;343736440307176,2;36408805354508,0;0180745160814523,0;0531735191756949
"6a7a5b8592e878c6065ab49055907e1a",1;29233289338766,-0;211288012052653,0;32553530703055,-0;64864238259185,0;516569554182663,NA
"0fa5da88bc26c3d497597b2ecbf33634",1;24908554542994,0;115432051296959,0;327981265633741,0;351810220529661,0;724980593108972,NA
"8b268033f40f7b9e9f0a33d71e9c1936",1;16259142068107,-1;29731821518721,0;286968450833714,0;114401169419022,0;908919787020722,NA
