"","average","sd","ratio","ava","avb","cumsum","p","padj"
"4be810915c915c3f6f34bb4fedab9ad0",0;144486910423427,0;141172363202915,1;02347872590153,0;266112244842507,0;153254845686747,0;159151608600187,0;109,0;940410256410256
"116156fee4dfb6a544121c9b98a23c74",0;0759827145919259,0;134569607058853,0;564635033516117,0;0960781472433835,0;0786345969488999,0;24284618839067,0;96,1
"f7b11f46a4c69e77e82476e16e9df760",0;051353758036023,0;102819627119591,0;499454816893013,0;0382863718661221,0;0751927355067597,0;299412095815407,0;333,0;940410256410256
"d0663dc6e98d4272e5c13d317fed72cc",0;042760721007759,0;12140347124086,0;352219920655509,0,0;0855214420155179,0;346512815966077,0;054,0;940410256410256
"8888c9b2d3933081f63651b9bfdbe480",0;042407295734893,0;0918588889348623,0;461656963486292,0;0619972959595842,0;0298435315912997,0;393224239947759,0;745,1
"e3eb7f52eef0ad7aec4db88af12eb3cd",0;0370028829025943,0;0997921660132452,0;370799476360529,0;029201953799474,0;0486658174737686,0;433982730246528,0;41,0;940410256410256
"461c2b20bd5c233dcac34fc89ce1a66f",0;0264387989038161,0;0939597105745684,0;281384422558792,0;0528775978076323,0,0;463104934899309,0;501,0;940410256410256
"8c6d27c2bc40b12979bd9d5544237b81",0;0192731219331133,0;0870561587637168,0;221387231033515,0;00352470652558753,0;0353654968004442,0;484334182236757,0;318,0;940410256410256
"5bf5a35fbf5c2c129b31a4aaa02679bd",0;0187397689470972,0;0846620513510209,0;221347919735602,0;00419993995849008,0;0336261257336398,0;504975943929813,0;249,0;940410256410256
"a294a6334e4208490c478e9073d7270c",0;0185920177151823,0;0920922303348686,0;201884758872464,0;0371840354303647,0,0;525454958380486,0;625,1
"2ffde79d725e60b058bde836132af683",0;0182247594934153,0;0844500768409827,0;215805126237268,0;0364495189868306,0,0;545529439738199,0;494,0;940410256410256
"5efce6b21a9c05541f7e777341156e96",0;01776235257559,0;0901152539055323,0;197107057970566,0;000202511093389532,0;0353371948795231,0;565094582190511,0;496,0;940410256410256
"0ef57e8afd9085d240cb5ca96d3578ad",0;0158884211337384,0;0579953360944255,0;273960325152174,0;0317768422674769,0,0;582595598539613,0;486,0;940410256410256
"e4a8d89e330d04f29688c61cc275c501",0;0145689328627126,0;0677291818543678,0;215105696892056,0;00219629870477046,0;0271926486151757,0;598643205162897,0;486,0;940410256410256
"da513503b2ff56009fc8a578c819ebcb",0;0142938810805521,0;0728829508944015,0;19612105307402,0,0;0285877621611043,0;614387843624907,0;111,0;940410256410256
"d6992915e0c28999e8d466f1592d8b7a",0;0132276586631991,0;0637546230270883,0;207477639034566,3;44651654761394e-05,0;0264310640618038,0;628958043431194,0;067,0;940410256410256
