ID	pval	padj	method
b53ede99325c8616840fa8e938464d7e	0.006	1.000	Fisher
2ffde79d725e60b058bde836132af683	0.010	1.000	Fisher
d0663dc6e98d4272e5c13d317fed72cc	0.051	1.000	Fisher
dc47c740766072a818fc135fbbb85402	0.051	1.000	Fisher
fd7880a6988b84aaaf0c433708c2efa6	0.101	1.000	Fisher
2c18fa52b1be278e8fbf731b531e3174	0.111	1.000	Fisher
319412737efae4ec36f93f4db011de0e	0.111	1.000	Fisher
37e6c524ce699f13fe323a63bc20adf9	0.111	1.000	Fisher
7c4c61a0c83567367786e514df40a21b	0.111	1.000	Fisher
bd26e97e57ceb47cf6ab7d5b5e947f62	0.111	1.000	Fisher
da513503b2ff56009fc8a578c819ebcb	0.111	1.000	Fisher
e74ee435c566d594cc9526383adf5792	0.111	1.000	Fisher
116156fee4dfb6a544121c9b98a23c74	0.162	1.000	Fisher
8888c9b2d3933081f63651b9bfdbe480	0.162	1.000	Fisher
1b0539acdc7399feee3aaebdd5e61067	0.193	1.000	Fisher
4be810915c915c3f6f34bb4fedab9ad0	0.193	1.000	Fisher
760b5cda1cd383fa43af2dd6f6b06672	0.193	1.000	Fisher
0c0cca5bec99fb78e2bb61c3935b025d	0.236	1.000	Fisher
223bd77c5c34f4e9e40c3dfd53dffafc	0.236	1.000	Fisher
2bf8231073721bfc54aa8ebeb6912a20	0.236	1.000	Fisher
461c2b20bd5c233dcac34fc89ce1a66f	0.236	1.000	Fisher
4a1a4c83702a6c44562e2daa13bf3514	0.236	1.000	Fisher
4bdc300e2a73d2456d8f5f301cd79b24	0.236	1.000	Fisher
645108570a0870b22f3289c5b82bf22e	0.236	1.000	Fisher
7ef0412f12032fcc6224d8d98783f44f	0.236	1.000	Fisher
7f6f04cff14b6c730f64324e546e2d6b	0.236	1.000	Fisher
92c359d5fc0b3cd4cf326768b8132a41	0.236	1.000	Fisher
a294a6334e4208490c478e9073d7270c	0.236	1.000	Fisher
ba01d82683535dedddbe18c540d309be	0.236	1.000	Fisher
d3ab276830b02edd6977f850f0ef8caa	0.236	1.000	Fisher
de3ca8116321fa3b3ecaa5fc40c08cc5	0.236	1.000	Fisher
e0db0916d5f4bc79913c096d6f7f23e0	0.236	1.000	Fisher
8d3e983e728259a88863f948e5dbe94b	0.245	1.000	Fisher
5bf5a35fbf5c2c129b31a4aaa02679bd	0.295	1.000	Fisher
135cd9f50ac1631b9e504edeb830d683	0.329	1.000	Fisher
4673065a2d04c05374a89d2cfdcf68c2	0.329	1.000	Fisher
ca8c1cc094272e70ff21f563a2af81c3	0.329	1.000	Fisher
3a12705bdb700b87026ea27254e8fa89	0.352	1.000	Fisher
6915ce702b5bac12f5018e69a2bca72e	0.352	1.000	Fisher
8512a0ed11476e591ffa9a713b8d9df3	0.352	1.000	Fisher
a4e3412f19bae543184b7ee353711e30	0.352	1.000	Fisher
c50d9f53af04313b5497bb9c55275c7c	0.352	1.000	Fisher
e5c7942ab79294bf4c19761c8bbbf920	0.352	1.000	Fisher
9bfd7d6705ff77f170d74bd7d21e15c7	0.422	1.000	Fisher
d6992915e0c28999e8d466f1592d8b7a	0.422	1.000	Fisher
2ea15125b3c28f70f4e9b2011fb1b32e	0.469	1.000	Fisher
a418705a2b62c68553ceec65922142a4	0.469	1.000	Fisher
