ID	pval	padj	method
b4b232f214f775bcc3308653d7741f1a	0.480	1.000	Fisher
b7b6c3fd8f90372ec9ab4e7bd7df8507	0.480	1.000	Fisher
bd26e97e57ceb47cf6ab7d5b5e947f62	0.480	1.000	Fisher
c1f96ac17ac6c32cbf88341fce4c8d9d	0.480	1.000	Fisher
cf16828665dee40dfa4b6bade4cf21ef	0.480	1.000	Fisher
d75885b537a312c667e41d5afe3bee27	0.480	1.000	Fisher
d9b3a569d44a34c6a764a5a298219d08	0.480	1.000	Fisher
da513503b2ff56009fc8a578c819ebcb	0.480	1.000	Fisher
db927f3e3abb74321d0262b8624b01c7	0.480	1.000	Fisher
de3ca8116321fa3b3ecaa5fc40c08cc5	0.480	1.000	Fisher
ee0d28cca895e4a213be07178c2fefba	0.480	1.000	Fisher
ee121b5310faf3d1c9e119e3ac6048ba	0.480	1.000	Fisher
f5a2b8967fd8d135803af8c0601cd4e0	0.480	1.000	Fisher
f5dfda847d1a6546186467acbca7459a	0.480	1.000	Fisher
fd6ff46f1b85f9ed17f80fe98868119c	0.480	1.000	Fisher
fd7880a6988b84aaaf0c433708c2efa6	0.480	1.000	Fisher
77d225e6605a71a9a33a9aeb33bdb890	0.490	1.000	Fisher
18922236506583e7320e776be6c2463a	0.491	1.000	Fisher
4a1a4c83702a6c44562e2daa13bf3514	0.491	1.000	Fisher
543d211dd0ff4f6d0066ec3850ed5082	0.491	1.000	Fisher
59788ef0375e4756a83b5a60f29a3303	0.491	1.000	Fisher
8e6ecb2cb834391984e82c3a076e43c2	0.491	1.000	Fisher
92e7c471bf50233a39a459ff5b204b3e	0.491	1.000	Fisher
a767696bf9e2e1a5f9e63fd6d39e88f3	0.491	1.000	Fisher
efef4e897400bf9054e9c2a7eda09a78	0.491	1.000	Fisher
e74ee435c566d594cc9526383adf5792	0.501	1.000	Fisher
f7b11f46a4c69e77e82476e16e9df760	0.501	1.000	Fisher
b53ede99325c8616840fa8e938464d7e	0.557	1.000	Fisher
643e1fe5e4374e56b15854c0ab8bd517	0.559	1.000	Fisher
d40cb52e5d7086fee99ae0907fd334f9	0.569	1.000	Fisher
79211df1215da97e2f8277d6b2222fe2	0.602	1.000	Fisher
c8d5fdc244ae17e9558f5025b812d6eb	0.602	1.000	Fisher
fe1557e7eea603d3e9a1356de4c894f1	0.602	1.000	Fisher
a4bbfb428c8d35739d668a60656037fc	0.611	1.000	Fisher
b77627ad049c7569beb5e5bb351b9a50	0.611	1.000	Fisher
cca78c21045111a15b3ccadddf52b971	0.611	1.000	Fisher
de7864dafea9b68a565a62c31bc8339e	0.611	1.000	Fisher
e87dc9cc994d0c5c48a42ee91aae6eae	0.611	1.000	Fisher
2ffde79d725e60b058bde836132af683	0.661	1.000	Fisher
319412737efae4ec36f93f4db011de0e	0.661	1.000	Fisher
9d066026ffeef60c8c0e44158075b186	0.661	1.000	Fisher
9e58e4736ae679b38ae8de9b3fc3d7ee	0.661	1.000	Fisher
22358af799b12718b2413db582b1a6af	0.697	1.000	Fisher
3a12705bdb700b87026ea27254e8fa89	0.697	1.000	Fisher
a418705a2b62c68553ceec65922142a4	0.697	1.000	Fisher
76dc3809d214159c017b2f987364f7e0	0.721	1.000	Fisher
8886b2b13e2ddffa6f24c3ba02bde095	0.721	1.000	Fisher
abb48f98cc76cbfd884b85cb99cf2af1	0.745	1.000	Fisher
ca8c1cc094272e70ff21f563a2af81c3	0.745	1.000	Fisher
8888c9b2d3933081f63651b9bfdbe480	0.767	1.000	Fisher
bdf8ede33b2c7001840621a6f72229dd	0.779	1.000	Fisher
08d77d3861ee0c24205b9a999144495f	1	1.000	Fisher
0fa5da88bc26c3d497597b2ecbf33634	1	1.000	Fisher
135cd9f50ac1631b9e504edeb830d683	1	1.000	Fisher
17211eba768f47a1041935f3ee102e20	1	1.000	Fisher
175a157b503cdbac0149f491726d55a0	1	1.000	Fisher
1760e66b93ff7aa728b6898fa572bc2d	1	1.000	Fisher
187ab8462b8b440e1def5212412d9e06	1	1.000	Fisher
223bd77c5c34f4e9e40c3dfd53dffafc	1	1.000	Fisher
22aea799615e8e1467f7b56605053545	1	1.000	Fisher
299a98fef4b37a7f125b41049760c6d7	1	1.000	Fisher
2b59d468bbdb1f86c22fcebd61f5d5cb	1	1.000	Fisher
30526a7a4d826edd9b043b56bd8e847a	1	1.000	Fisher
3123b5aa3c0f158260f64b2832af8167	1	1.000	Fisher
31415f8d3595a43846a89317548511ce	1	1.000	Fisher
33be679a5c7b7bff076243989c33712f	1	1.000	Fisher
409649957a882957ee87339338a7c07f	1	1.000	Fisher
450fb80a8aa341cdf33eee2dac5fe23b	1	1.000	Fisher
45c35d69f417bd7d4cbe61dd5a0f083e	1	1.000	Fisher
4673065a2d04c05374a89d2cfdcf68c2	1	1.000	Fisher
481b5086d4014f57b2ff1517825ee7d1	1	1.000	Fisher
4f39ef900d88365c3eac06f13c776b8f	1	1.000	Fisher
53c621cb35a1c35186d82a7c60de1bf0	1	1.000	Fisher
542b8274cc0abe38ef023b02b57dbf9b	1	1.000	Fisher
54936af7fc659bb8a76615f1ae6f6993	1	1.000	Fisher
596153e78a4c251da43033285b61a7b3	1	1.000	Fisher
5ae8bbf464d292ab3b75086ef4ff2fb1	1	1.000	Fisher
5bf5a35fbf5c2c129b31a4aaa02679bd	1	1.000	Fisher
5cce1abb68c73f8fd159aaf92e2afde9	1	1.000	Fisher
5d5ed43144a7e9922f567567cca6edb7	1	1.000	Fisher
5efce6b21a9c05541f7e777341156e96	1	1.000	Fisher
60ae902a3e046edce4cc5f9cc1ac73ea	1	1.000	Fisher
6915ce702b5bac12f5018e69a2bca72e	1	1.000	Fisher
6b6c4cf41b7f49acaa5081bc5f234029	1	1.000	Fisher
75e58ea69a10ad870d4811cf0d4fdb61	1	1.000	Fisher
760b5cda1cd383fa43af2dd6f6b06672	1	1.000	Fisher
78e3be9fa222d3a314799a1a883f6b66	1	1.000	Fisher
79a7291065adc3f595551e420369acde	1	1.000	Fisher
7be672ff862684f33384d4e038bb89c0	1	1.000	Fisher
7c4c61a0c83567367786e514df40a21b	1	1.000	Fisher
7d2ea1f51c60d58d0660446d4774a59a	1	1.000	Fisher
7e3a3bdd9958e1b458ec4e0db97683ea	1	1.000	Fisher
7ff01134216b54c40a3d44f59c565338	1	1.000	Fisher
8512a0ed11476e591ffa9a713b8d9df3	1	1.000	Fisher
8c6d27c2bc40b12979bd9d5544237b81	1	1.000	Fisher
8d3e983e728259a88863f948e5dbe94b	1	1.000	Fisher
8dcb1c66dadcbfce80141ab20ccf1ea1	1	1.000	Fisher
93dc6bb121df4cf4164c024ac00012b4	1	1.000	Fisher
96e8d503a1148ba899683ec5ab9b05d9	1	1.000	Fisher
97e3be015d0ad3c9c56ccbd57f9c0feb	1	1.000	Fisher
99bf847cdf4b42889ec796b79dff8c25	1	1.000	Fisher
9e6878f45a5eb2ea642bc92e840afdf7	1	1.000	Fisher
a135d244d0364d5d06535e56882a84a5	1	1.000	Fisher
a4977746f215ec32e61883e81da46126	1	1.000	Fisher
a692aae1c416358d582103d64b3774f2	1	1.000	Fisher
adba26ac34bc5a82de3fd3fb5efbd33e	1	1.000	Fisher
b2b2ae51b868a14c0e2efb9693ed8f75	1	1.000	Fisher
b5f3ca43eee20152738a029642f31149	1	1.000	Fisher
b6d488bfbf30ff5ee3e75bbefccb6032	1	1.000	Fisher
c0c4bc43d1ba371268726299b45b754a	1	1.000	Fisher
c10027370c67bc9ee9b945c53d20ab5c	1	1.000	Fisher
c1c7dac2c6665e89f90cda95c53e086e	1	1.000	Fisher
c2cf452e2e4b142723e0654f167ee870	1	1.000	Fisher
c50d9f53af04313b5497bb9c55275c7c	1	1.000	Fisher
ccba5d69de041201ee8e163c1c4b23bb	1	1.000	Fisher
d3ab276830b02edd6977f850f0ef8caa	1	1.000	Fisher
d61038bd0af574cc1fb1f9ecef204bbf	1	1.000	Fisher
d8fc54bcadbf7fcc5cd3d7c2bf678f8f	1	1.000	Fisher
e0db0916d5f4bc79913c096d6f7f23e0	1	1.000	Fisher
e36a239a30b387e78c09e274444e016c	1	1.000	Fisher
e3eb7f52eef0ad7aec4db88af12eb3cd	1	1.000	Fisher
e5750ae962ff61732a057356b169fd21	1	1.000	Fisher
e71fb4db708f786a39f0bf2bd9b6e50b	1	1.000	Fisher
ea4f3d7471d698fb962e28a5f213caf2	1	1.000	Fisher
f159675a1296aa9d383e4ab3f9407619	1	1.000	Fisher
f342e124ffe9a9d3e0e492ff00ed674e	1	1.000	Fisher
f8549988d995f078ce28eccc60deff7b	1	1.000	Fisher
f9fd90420aaf24633adee0901df06f08	1	1.000	Fisher
fb4b6d91dda35da5c766e6747c71efdb	1	1.000	Fisher
