ID	log2fc	sterr	pval	padj	method
bb33b229f3d1ca9a24f2615fab635d38	-6.225	0.563	0.000	0.000	DESeq2
e74ee435c566d594cc9526383adf5792	-3.734	0.593	0.000	0.000	DESeq2
77d225e6605a71a9a33a9aeb33bdb890	4.672	0.581	0.000	0.000	DESeq2
de7864dafea9b68a565a62c31bc8339e	-1.744	0.541	0.000	0.000	DESeq2
99d56121b201885e2327e1aaefee27e0	-3.899	0.518	0.000	0.000	DESeq2
8888c9b2d3933081f63651b9bfdbe480	1.079	0.598	0.000	0.000	DESeq2
b47360a961b32fd49a797faf00c4d3de	5.539	0.503	0.000	0.000	DESeq2
5f3b8380fd0ae0e537a43b002c4e7a67	5.990	0.471	0.000	0.000	DESeq2
4a1a4c83702a6c44562e2daa13bf3514	-6.135	0.481	0.000	0.000	DESeq2
22c4ee4deafd2a50e123031f9e973ddd	-6.914	0.464	0.000	0.000	DESeq2
18922236506583e7320e776be6c2463a	-4.724	0.479	0.000	0.000	DESeq2
a158cb84cd379842d99cf6726247efcd	-7.904	0.447	0.000	0.000	DESeq2
a7f842cf2e6b177dd52becebda1de83a	-0.731	0.426	0.000	0.000	DESeq2
481b5086d4014f57b2ff1517825ee7d1	2.839	0.438	0.000	0.000	DESeq2
cca78c21045111a15b3ccadddf52b971	-6.352	0.481	0.000	0.000	DESeq2
3d0a205de99f5295bc4b374649c57575	-4.003	0.455	0.000	0.000	DESeq2
b663b0cd551ba980221251a789b6e206	2.312	0.616	0.000	0.000	DESeq2
8cb3b318760da2e5f9815653cbc4bf83	1.284	0.554	0.000	0.000	DESeq2
2ea15125b3c28f70f4e9b2011fb1b32e	-1.673	0.435	0.000	0.001	DESeq2
a4bbfb428c8d35739d668a60656037fc	-8.968	0.441	0.000	0.001	DESeq2
f7b11f46a4c69e77e82476e16e9df760	-2.176	0.565	0.000	0.001	DESeq2
116156fee4dfb6a544121c9b98a23c74	1.814	0.610	0.002	0.012	DESeq2
c8d5fdc244ae17e9558f5025b812d6eb	-7.117	0.326	0.006	0.029	DESeq2
b77627ad049c7569beb5e5bb351b9a50	-8.910	0.353	0.006	0.029	DESeq2
9bfd7d6705ff77f170d74bd7d21e15c7	-1.206	0.446	0.007	0.030	DESeq2
369977194325fa77afd733d37c92c63d	-2.182	0.340	0.007	0.030	DESeq2
4be810915c915c3f6f34bb4fedab9ad0	0.560	0.602	0.011	0.046	DESeq2
dfaaa901a526111d492d3d2f61435275	-0.896	0.369	0.016	0.063	DESeq2
2ffde79d725e60b058bde836132af683	0.504	0.293	0.018	0.067	DESeq2
b5f3ca43eee20152738a029642f31149	-6.989	0.379	0.018	0.067	DESeq2
8e6ecb2cb834391984e82c3a076e43c2	-5.542	0.369	0.023	0.079	DESeq2
a4e3412f19bae543184b7ee353711e30	-0.903	0.395	0.023	0.079	DESeq2
4bdc300e2a73d2456d8f5f301cd79b24	-0.882	0.391	0.025	0.081	DESeq2
7f088cac1fcdba8c0195c47096264049	0.826	0.365	0.024	0.081	DESeq2
9e58e4736ae679b38ae8de9b3fc3d7ee	-10.859	0.238	0.030	0.095	DESeq2
30526a7a4d826edd9b043b56bd8e847a	-0.863	0.400	0.032	0.097	DESeq2
539265e101086f2e7d8aa51c05152c1b	0.784	0.391	0.046	0.136	DESeq2
5bf5a35fbf5c2c129b31a4aaa02679bd	-0.057	0.384	0.049	0.141	DESeq2
5d5ed43144a7e9922f567567cca6edb7	-0.775	0.400	0.054	0.142	DESeq2
1a3bb25b7d08acf0c021cca6623e477e	0.757	0.389	0.052	0.142	DESeq2
c1f96ac17ac6c32cbf88341fce4c8d9d	0.754	0.388	0.053	0.142	DESeq2
4f39ef900d88365c3eac06f13c776b8f	-0.951	0.274	0.054	0.142	DESeq2
a418705a2b62c68553ceec65922142a4	0.770	0.411	0.062	0.154	DESeq2
22358af799b12718b2413db582b1a6af	-1.932	0.579	0.062	0.154	DESeq2
d6992915e0c28999e8d466f1592d8b7a	4.388	0.326	0.069	0.168	DESeq2
b2b2ae51b868a14c0e2efb9693ed8f75	-8.208	0.281	0.074	0.177	DESeq2
41155fc81ea0571a02817ce0e39861e2	0.667	0.381	0.081	0.188	DESeq2
8512a0ed11476e591ffa9a713b8d9df3	6.381	0.208	0.084	0.194	DESeq2
2b59d468bbdb1f86c22fcebd61f5d5cb	0.661	0.385	0.087	0.195	DESeq2
db927f3e3abb74321d0262b8624b01c7	0.609	0.364	0.095	0.205	DESeq2
983cf9a4e7016105283f24743d919f25	0.609	0.364	0.095	0.205	DESeq2
760b5cda1cd383fa43af2dd6f6b06672	0.711	0.437	0.104	0.220	DESeq2
543d211dd0ff4f6d0066ec3850ed5082	-0.587	0.363	0.107	0.222	DESeq2
e5750ae962ff61732a057356b169fd21	-0.583	0.368	0.115	0.233	DESeq2
21902ca1010f0f956e2e1b1e786ea973	-1.666	0.323	0.120	0.240	DESeq2
59788ef0375e4756a83b5a60f29a3303	-4.299	0.301	0.132	0.260	DESeq2
93dc6bb121df4cf4164c024ac00012b4	-4.149	0.261	0.167	0.322	DESeq2
4673065a2d04c05374a89d2cfdcf68c2	-0.383	0.285	0.179	0.339	DESeq2
54936af7fc659bb8a76615f1ae6f6993	-0.487	0.365	0.183	0.341	DESeq2
5cce1abb68c73f8fd159aaf92e2afde9	4.570	0.212	0.199	0.364	DESeq2
273881ea7601aa7c034c59b7f40b5736	-10.036	0.262	0.208	0.376	DESeq2
319412737efae4ec36f93f4db011de0e	-4.825	0.282	0.215	0.382	DESeq2
97e3be015d0ad3c9c56ccbd57f9c0feb	-0.433	0.353	0.221	0.385	DESeq2
79211df1215da97e2f8277d6b2222fe2	0.488	0.412	0.237	0.407	DESeq2
60ae902a3e046edce4cc5f9cc1ac73ea	-8.510	0.244	0.254	0.424	DESeq2
596153e78a4c251da43033285b61a7b3	-0.418	0.364	0.252	0.424	DESeq2
ca8c1cc094272e70ff21f563a2af81c3	-0.486	0.453	0.283	0.461	DESeq2
92e7c471bf50233a39a459ff5b204b3e	-0.381	0.361	0.292	0.461	DESeq2
e87dc9cc994d0c5c48a42ee91aae6eae	-5.108	0.171	0.293	0.461	DESeq2
4a8dbbec00787fa2cc2ee08274f8ce4c	0.384	0.361	0.289	0.461	DESeq2
e3eb7f52eef0ad7aec4db88af12eb3cd	-3.140	0.428	0.312	0.484	DESeq2
c50d9f53af04313b5497bb9c55275c7c	0.875	0.309	0.328	0.502	DESeq2
cf16828665dee40dfa4b6bade4cf21ef	0.342	0.362	0.346	0.514	DESeq2
9b05f9d3b68356c051503c00d6b3d333	0.342	0.362	0.346	0.514	DESeq2
bd26e97e57ceb47cf6ab7d5b5e947f62	0.299	0.363	0.411	0.566	DESeq2
b4b232f214f775bcc3308653d7741f1a	0.299	0.363	0.411	0.566	DESeq2
5e317160f53054af730b0a3123e7e9b6	3.452	0.283	0.411	0.566	DESeq2
8dcb1c66dadcbfce80141ab20ccf1ea1	1.081	0.347	0.393	0.566	DESeq2
d61038bd0af574cc1fb1f9ecef204bbf	1.271	0.300	0.388	0.566	DESeq2
f8549988d995f078ce28eccc60deff7b	6.752	0.245	0.406	0.566	DESeq2
3123b5aa3c0f158260f64b2832af8167	0.287	0.357	0.423	0.567	DESeq2
78e3be9fa222d3a314799a1a883f6b66	0.299	0.608	0.422	0.567	DESeq2
8886b2b13e2ddffa6f24c3ba02bde095	0.302	0.407	0.458	0.607	DESeq2
fe1557e7eea603d3e9a1356de4c894f1	0.242	0.354	0.494	0.647	DESeq2
135cd9f50ac1631b9e504edeb830d683	-1.062	0.242	0.508	0.657	DESeq2
223bd77c5c34f4e9e40c3dfd53dffafc	-0.222	0.367	0.545	0.674	DESeq2
17211eba768f47a1041935f3ee102e20	-0.229	0.373	0.540	0.674	DESeq2
409649957a882957ee87339338a7c07f	-3.503	0.139	0.545	0.674	DESeq2
7be672ff862684f33384d4e038bb89c0	-0.222	0.367	0.545	0.674	DESeq2
b53ede99325c8616840fa8e938464d7e	0.235	0.446	0.599	0.732	DESeq2
7e3a3bdd9958e1b458ec4e0db97683ea	-0.179	0.368	0.627	0.757	DESeq2
22aea799615e8e1467f7b56605053545	0.152	0.346	0.662	0.783	DESeq2
abb48f98cc76cbfd884b85cb99cf2af1	-3.827	0.358	0.659	0.783	DESeq2
511bd796069111a3a3e99c2d13907211	-3.489	0.294	0.679	0.795	DESeq2
a135d244d0364d5d06535e56882a84a5	-0.149	0.419	0.722	0.827	DESeq2
5efce6b21a9c05541f7e777341156e96	-0.128	0.355	0.719	0.827	DESeq2
643e1fe5e4374e56b15854c0ab8bd517	-0.138	0.419	0.742	0.835	DESeq2
7c4c61a0c83567367786e514df40a21b	-0.118	0.361	0.744	0.835	DESeq2
872b2757f7ef15b1ef26b3f9936bcf31	0.113	0.409	0.783	0.870	DESeq2
bdf8ede33b2c7001840621a6f72229dd	0.105	0.405	0.795	0.875	DESeq2
c10027370c67bc9ee9b945c53d20ab5c	-0.070	0.375	0.852	0.928	DESeq2
f9fd90420aaf24633adee0901df06f08	-0.057	0.353	0.872	0.940	DESeq2
6915ce702b5bac12f5018e69a2bca72e	-1.108	0.312	0.895	0.956	DESeq2
d40cb52e5d7086fee99ae0907fd334f9	-0.273	0.609	0.919	0.963	DESeq2
8d3e983e728259a88863f948e5dbe94b	0.044	0.432	0.919	0.963	DESeq2
1760e66b93ff7aa728b6898fa572bc2d	-0.025	0.388	0.950	0.967	DESeq2
96e8d503a1148ba899683ec5ab9b05d9	-0.023	0.340	0.946	0.967	DESeq2
3a12705bdb700b87026ea27254e8fa89	-0.030	0.366	0.935	0.967	DESeq2
76dc3809d214159c017b2f987364f7e0	-0.017	0.383	0.965	0.974	DESeq2
08d77d3861ee0c24205b9a999144495f	-0.822	0.396	0.998	0.998	DESeq2
9d066026ffeef60c8c0e44158075b186	5.325	0.119	0.783	NA	DESeq2
0c0cca5bec99fb78e2bb61c3935b025d	3.515	0.277	0.900	NA	DESeq2
299a98fef4b37a7f125b41049760c6d7	-4.864	0.273	0.878	NA	DESeq2
a692aae1c416358d582103d64b3774f2	2.166	0.196	0.900	NA	DESeq2
fd7880a6988b84aaaf0c433708c2efa6	0.901	0.333	0.900	NA	DESeq2
33be679a5c7b7bff076243989c33712f	1.129	0.094	0.985	NA	DESeq2
da513503b2ff56009fc8a578c819ebcb	6.943	0.257	0.985	NA	DESeq2
31415f8d3595a43846a89317548511ce	-0.203	0.164	0.985	NA	DESeq2
542b8274cc0abe38ef023b02b57dbf9b	-8.654	0.256	0.878	NA	DESeq2
fd6ff46f1b85f9ed17f80fe98868119c	4.875	0.266	0.900	NA	DESeq2
939f95ffa67d45b18f810411c9e35571	5.121	0.265	0.985	NA	DESeq2
1b0539acdc7399feee3aaebdd5e61067	3.881	0.273	0.900	NA	DESeq2
e71fb4db708f786a39f0bf2bd9b6e50b	-4.382	0.184	0.985	NA	DESeq2
187ab8462b8b440e1def5212412d9e06	-2.735	0.293	0.985	NA	DESeq2
ccba5d69de041201ee8e163c1c4b23bb	-5.566	0.269	0.878	NA	DESeq2
f5a2b8967fd8d135803af8c0601cd4e0	1.804	0.305	0.900	NA	DESeq2
526fa77d5328b0a41df33317dfe135e2	0.957	0.331	0.900	NA	DESeq2
e36a239a30b387e78c09e274444e016c	-4.202	0.278	0.985	NA	DESeq2
2e3c54c72de596f4c4009971b90895d7	2.136	0.298	0.985	NA	DESeq2
5ae8bbf464d292ab3b75086ef4ff2fb1	-3.948	0.279	0.878	NA	DESeq2
2130ca17584e2024351e25847b07de48	1.064	0.327	0.900	NA	DESeq2
ee121b5310faf3d1c9e119e3ac6048ba	1.139	0.325	0.900	NA	DESeq2
c0c4bc43d1ba371268726299b45b754a	0.213	0.270	0.994	NA	DESeq2
e0db0916d5f4bc79913c096d6f7f23e0	4.336	0.102	0.716	NA	DESeq2
b6d488bfbf30ff5ee3e75bbefccb6032	1.306	0.132	0.878	NA	DESeq2
fb4b6d91dda35da5c766e6747c71efdb	-5.857	0.268	0.985	NA	DESeq2
175a157b503cdbac0149f491726d55a0	-6.345	0.266	0.985	NA	DESeq2
f159675a1296aa9d383e4ab3f9407619	3.678	0.102	0.985	NA	DESeq2
adba26ac34bc5a82de3fd3fb5efbd33e	-3.898	0.280	0.985	NA	DESeq2
325f464ad49685c1e5420d17aa147d15	5.608	0.262	0.985	NA	DESeq2
7d2ea1f51c60d58d0660446d4774a59a	0.632	0.143	0.878	NA	DESeq2
d75885b537a312c667e41d5afe3bee27	7.980	0.253	0.985	NA	DESeq2
