"","average","sd","ratio","ava","avb","cumsum","p","padj"
"3fe026007ebb9b6eb138320e0b66e204",0;000904123935930647,0;000741598481632137,1;21915559204061,0;00249304053617908,0;00220847374047942,0;25910530812793,0;477,1
"6a4e1673de6c39f133ffc855d363a076",0;000902787552641797,0;00218289589221407,0;413573343493775,0;00157569968078162,0;000424349133867178,0;260641273997178,0;07,1
"532e043b504f6127664ad47c261d190e",0;000883894919051594,0;000857777982842967,1;03044719814569,0;00108022297154456,0;00166921082415896,0;262145096711272,0;164,1
"35cf7900898adde1b2dd43ee55a1d998",0;000857433323631085,0;000798387217260061,1;07395672813207,0;00130101709768399,0;00261111481374835,0;263603898747697,0;001,0;561545454545455
"642bebc8985100e9947364f7d440cbd3",0;000856619859045167,0;00103170530439225,0;830295100159221,0;00195182916026856,0;00161995687928626,0;2650613167887,0;621,1
"72c1105be97af9644f1aef8330b342f2",0;000819264881802433,0;0023931130778308,0;342342737329004,9;70539602001569e-05,0;00158632668688466,0;266455180597122,0;064,1
"5bf1484706e7084ab869bdae9a7cc984",0;000807466969067614,0;00120637635603794,0;669332555322577,0;00132999636600188,0;000634851316263626,0;267828971918683,0;279,1
"dfa1ed809c7bbd95f262e16b3022c5db",0;000793825233123293,0;000761366262890165,1;04263253024886,0;00095480580303301,0;00166835369496463,0;269179553747882,0;035,1
"b563d1cd28bddf4f98040a0476819f20",0;000774305966203892,0;00103313282517069,0;749473782401566,0;00117296707166587,0;00168402651150842,0;270496926293575,0;531,1
"2b0fdf8ce19969ead1a54d1bc92e3429",0;00077336115622738,0;000814236352896641,0;949799346929368,0;0021857126312116,0;00274081279499319,0;271812691378164,0;263,1
"39abd32dcaccccd394530cfe2e15ef37",0;000768163325089756,0;000744715588534817,1;03148549179838,0;00113517684213371,0;00123315531016546,0;273119613085151,0;923,1
"c6624111632c780728cbfac4dc29812e",0;000765849152096871,0;000634030773257491,1;20790533267357,0;00191730343594594,0;00180880584034659,0;274422597552727,0;538,1
"e8b00e66dd1b95e40144e38e34c7ae9f",0;000759992921819404,0;000610782119014626,1;24429464805797,0;00322808498538084,0;00332335129511214,0;275715618469296,0;732,1
