"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"d6e9500411aeb7595d6cc34591322dc9","d6e9500411aeb7595d6cc34591322dc9"," 0;2014793875","0;19805153"," 1;0173078855","0;30900698654","0;99933274","FALSE"
"7853b29321816183d5cda073d5710b12","7853b29321816183d5cda073d5710b12"," 0;2339433671","0;28373152"," 0;8245237298","0;40964203818","0;99933274","FALSE"
"04aa8ccb61a99c4f06baeeae81dcf3e8","04aa8ccb61a99c4f06baeeae81dcf3e8","-0;5017021649","0;34719259","-1;4450255683","0;14845070398","0;99933274","FALSE"
"6026a3c735407aee1c80bdca89f97a03","6026a3c735407aee1c80bdca89f97a03","-0;1386809913","0;19513750","-0;7106834331","0;47728042810","0;99933274","FALSE"
"bf1019ed285210f849a94e96bc231692","bf1019ed285210f849a94e96bc231692"," 0;1849428302","0;31337809"," 0;5901587758","0;55508420700","0;99933274","FALSE"
"70645cb5397bc6a24f03bafcc26eb4ea","70645cb5397bc6a24f03bafcc26eb4ea"," 0;0758417406","0;14578037"," 0;5202466084","0;60289170374","0;99933274","FALSE"
"6190444efcb88a9186908fb46a8417df","6190444efcb88a9186908fb46a8417df"," 0;2297283760","0;29063139"," 0;7904458591","0;42926742911","0;99933274","FALSE"
"d1400c3fb5f795bf73de3175e8668c0a","d1400c3fb5f795bf73de3175e8668c0a","-0;5833237808","0;31036903","-1;8794522527","0;06018276727","0;91998836","FALSE"
"167faa4d028c4ae6ad8faeec76faf937","167faa4d028c4ae6ad8faeec76faf937","-0;2628391386","0;33746226","-0;7788697385","0;43605645167","0;99933274","FALSE"
"9460adb6fb7f2d993e506453e227a0d3","9460adb6fb7f2d993e506453e227a0d3","-0;0774793746","0;30799936","-0;2515569319","0;80138355159","0;99933274","FALSE"
"09fd7da85590a86e26441ea95c42d8b4","09fd7da85590a86e26441ea95c42d8b4"," 0;4308713098","0;28934289"," 1;4891373908","0;13645119347","0;99933274","FALSE"
"ea17706e0995c1f8c41d3d86d04fbb52","ea17706e0995c1f8c41d3d86d04fbb52","-0;2464286927","0;35187857","-0;7003231120","0;48372554127","0;99933274","FALSE"
"5e2c10522c2473d7707abf416caf8c94","5e2c10522c2473d7707abf416caf8c94","-0;7260506835","0;48631040","-1;4929778936","0;13544297363","0;99933274","FALSE"
"37a3356f7a1c94ea89474feb9d17b60f","37a3356f7a1c94ea89474feb9d17b60f","-0;3138818302","0;42375040","-0;7407233869","0;45886117618","0;99933274","FALSE"
"a82e8a6ad13638f161e9ba8888a32f91","a82e8a6ad13638f161e9ba8888a32f91"," 0;1396828655","0;21088562"," 0;6623631631","0;50773850577","0;99933274","FALSE"
"e3648567ab771e6d7a13936124e01532","e3648567ab771e6d7a13936124e01532","-0;1159602826","0;23335516","-0;4969261603","0;61924112290","0;99933274","FALSE"
"53777b50348ee275dfe0ddb4650726d3","53777b50348ee275dfe0ddb4650726d3"," 0;2158803512","0;36295471"," 0;5947859124","0;55198658550","0;99933274","FALSE"
"cbef0c54da29479bd798fc14ea3042eb","cbef0c54da29479bd798fc14ea3042eb","-0;0574175396","0;11114263","-0;5166112894","0;60542753333","0;99933274","FALSE"
"c6e45636776b37bc3a1a965ca2620432","c6e45636776b37bc3a1a965ca2620432"," 0;2502245145","0;24758679"," 1;0106537426","0;31218218392","0;99933274","FALSE"
"69f9300eb2228450c8d12e6b5c851a8e","69f9300eb2228450c8d12e6b5c851a8e"," 0;1554478664","0;24079462"," 0;6455620312","0;51856303337","0;99933274","FALSE"
"3fc57f822cf6dec2eebd774847638691","3fc57f822cf6dec2eebd774847638691"," 0;1275986915","0;25931842"," 0;4920540959","0;62268110205","0;99933274","FALSE"
"f4d8a531a207ea148cc88cb996b45493","f4d8a531a207ea148cc88cb996b45493","-0;1494617052","0;34415023","-0;4342920405","0;66407638310","0;99933274","FALSE"
"059e004eee8e9d0649abbf7bb734424e","059e004eee8e9d0649abbf7bb734424e","-0;1757914288","0;31248601","-0;5625577549","0;57373606540","0;99933274","FALSE"
"4f1e396f477488d9764ff936aa93925d","4f1e396f477488d9764ff936aa93925d"," 0;3104475337","0;33383195"," 0;9299515199","0;35239618616","0;99933274","FALSE"
"5501da85fa53404c3853f5578de773c0","5501da85fa53404c3853f5578de773c0"," 0;0348173621","0;31037633"," 0;1121778895","0;91068236012","0;99933274","FALSE"
"ce24f58d53a7a67f0152f984b31ba21c","ce24f58d53a7a67f0152f984b31ba21c"," 0;2287571970","0;21133734"," 1;0824268054","0;27906292276","0;99933274","FALSE"
"ad76ff1d2eb96f31f127fec6e9e2b14b","ad76ff1d2eb96f31f127fec6e9e2b14b"," 0;8176676547","0;51174668"," 1;5977976595","0;11008801570","0;99933274","FALSE"
"368bc08b520bebf6adbae7c3b40c99d9","368bc08b520bebf6adbae7c3b40c99d9","-0;4324478992","0;39840795","-1;0854399467","0;27772684795","0;99933274","FALSE"
"c76b0e2c78aa589a5e1f7f348dbf81aa","c76b0e2c78aa589a5e1f7f348dbf81aa","-0;4456739902","0;35200144","-1;2661141181","0;20547222877","0;99933274","FALSE"
"ec35290c10bac8d142ed0e5b712e437c","ec35290c10bac8d142ed0e5b712e437c"," 0;0609720382","0;37480455"," 0;1626768892","0;87077284433","0;99933274","FALSE"
"0799d5be8ccb16cfab14ec62701319ef","0799d5be8ccb16cfab14ec62701319ef"," 0;4489715350","0;30474487"," 1;4732702020","0;14067819215","0;99933274","FALSE"
"f2302232cb696b5c564ee297e2852618","f2302232cb696b5c564ee297e2852618","-0;3460333709","0;28928870","-1;1961523761","0;23163710159","0;99933274","FALSE"
"a5ffa40027386a1c568a7a33bfa3fcbc","a5ffa40027386a1c568a7a33bfa3fcbc","-0;1989726509","0;36368150","-0;5471068751","0;58430530923","0;99933274","FALSE"
"3343933138682c06ff97e82cbde5cbc1","3343933138682c06ff97e82cbde5cbc1"," 0;0167693248","0;32307660"," 0;0519051055","0;95860430616","0;99933274","FALSE"
"ffe863165e9817701a14e84ebe8993fe","ffe863165e9817701a14e84ebe8993fe","-0;5872107018","0;32532309","-1;8050077840","0;07107346397","0;99583008","FALSE"
"53471cd55f9db05905272e63e75c3d71","53471cd55f9db05905272e63e75c3d71"," 0;0698956217","0;38340368"," 0;1823029471","0;85534498601","0;99933274","FALSE"
"8f18a057d65060625b3549c7b7e54efd","8f18a057d65060625b3549c7b7e54efd"," 0;1734288711","0;35161587"," 0;4932339155","0;62184731640","0;99933274","FALSE"
"648065772e3c508674681348644ecc5f","648065772e3c508674681348644ecc5f"," 0;3878185430","0;35346621"," 1;0971870482","0;27255963377","0;99933274","FALSE"
"ee614c8f48f7bc1542d6ba9a64fabae0","ee614c8f48f7bc1542d6ba9a64fabae0"," 0;0986954861","0;27706129"," 0;3562225758","0;72167388634","0;99933274","FALSE"
"17b88b807d9016fefbd9f21de2ab0f27","17b88b807d9016fefbd9f21de2ab0f27"," 0;1288760782","0;26270667"," 0;4905702559","0;62373042806","0;99933274","FALSE"
"ede98392baddb2ba8cbf6b6b2c14a28d","ede98392baddb2ba8cbf6b6b2c14a28d","-0;0440310266","0;35439478","-0;1242428770","0;90112297425","0;99933274","FALSE"
"c9d57e650fb5063b5131701513321d1b","c9d57e650fb5063b5131701513321d1b"," 0;1540293052","0;25206694"," 0;6110650699","0;54115650324","0;99933274","FALSE"
"62a36667f8b1decc89aedf70dd36c8ce","62a36667f8b1decc89aedf70dd36c8ce","-0;0953594479","0;41875871","-0;2277193202","0;81986445168","0;99933274","FALSE"
"567f3d215c4eb8fc821a98f879953bbd","567f3d215c4eb8fc821a98f879953bbd","-0;1469119440","0;30187676","-0;4866619889","0;62649788648","0;99933274","FALSE"
"d0566d7177499d5cacdb330361254a8d","d0566d7177499d5cacdb330361254a8d","-0;1907608835","0;10600521","-1;7995424870","0;07193290943","0;99933274","FALSE"
"f947f451209616b697d1b41656cdbac3","f947f451209616b697d1b41656cdbac3","-0;2791122363","0;31523564","-0;8854082579","0;37593648017","0;99933274","FALSE"
"b61e7eee8694b816a9c94fe2b1eacd78","b61e7eee8694b816a9c94fe2b1eacd78","-0;1334370253","0;38781927","-0;3440701240","0;73079355033","0;99933274","FALSE"
"f5b477d192f9533f733fab468db2b8a5","f5b477d192f9533f733fab468db2b8a5","-0;1334690883","0;20755092","-0;6430667210","0;52018080722","0;99933274","FALSE"
"876512664baca0483e67b0365ec458b6","876512664baca0483e67b0365ec458b6"," 0;4186084319","0;28088126"," 1;4903395092","0;13613498904","0;99933274","FALSE"
"d832d1731732dae4e08a61619d67b246","d832d1731732dae4e08a61619d67b246"," 0;0503247337","0;29830821"," 0;1687004677","0;86603225090","0;99933274","FALSE"
"cb17cc9b35e5f6cca2fe5c797932b1cb","cb17cc9b35e5f6cca2fe5c797932b1cb","-0;2688795166","0;28877607","-0;9311003958","0;35180163388","0;99933274","FALSE"
"82013ba6ec27c1a656ecdd7ae52f0a16","82013ba6ec27c1a656ecdd7ae52f0a16"," 0;0683568410","0;17250538"," 0;3962591942","0;69191382687","0;99933274","FALSE"
"bccbd5dfbc57b2d7eab47fa54945353b","bccbd5dfbc57b2d7eab47fa54945353b","-0;2318827622","0;40325941","-0;5750213315","0;56527687038","0;99933274","FALSE"
"0aeb3dd2d812995e72004d3d6bd959a4","0aeb3dd2d812995e72004d3d6bd959a4"," 0;0248178240","0;44199540"," 0;0561495077","0;95522270465","0;99933274","FALSE"
"2642afdd0afd43f5aa41c1830c97727d","2642afdd0afd43f5aa41c1830c97727d","-0;2295554489","0;28188164","-0;8143682286","0;41543403396","0;99933274","FALSE"
"8b67e9a17f0191340a7965f40e1e455c","8b67e9a17f0191340a7965f40e1e455c","-0;4583830982","0;25980105","-1;7643620238","0;07767104764","0;99933274","FALSE"
"c0fe7e81bcdb656c35e27fdd4101bf5e","c0fe7e81bcdb656c35e27fdd4101bf5e"," 0;1154292602","0;34640931"," 0;3332163901","0;73897094694","0;99933274","FALSE"
"0a737f4a6343f13a4473d3768f90304f","0a737f4a6343f13a4473d3768f90304f"," 0;0117810586","0;32124457"," 0;0366731753","0;97074559729","0;99933274","FALSE"
"320308330d1c7b96c4722fb8c7c21048","320308330d1c7b96c4722fb8c7c21048","-0;5420014682","0;42171893","-1;2852196878","0;19871552568","0;99933274","FALSE"
"6dd0ca2c67fd3ea2f9a82a329262b9d4","6dd0ca2c67fd3ea2f9a82a329262b9d4"," 0;1122248733","0;31620173"," 0;3549154326","0;72265294664","0;99933274","FALSE"
"184b2fa43c919d18bbd408e7f56793e5","184b2fa43c919d18bbd408e7f56793e5"," 0;1812809291","0;21315329"," 0;8504721302","0;39506264880","0;99933274","FALSE"
"b06f6e287a686f51c0ef4de1aa86358a","b06f6e287a686f51c0ef4de1aa86358a","-0;1123568097","0;24960900","-0;4501312450","0;65261580867","0;99933274","FALSE"
"ff1f20defb7debccf206645b23148f34","ff1f20defb7debccf206645b23148f34"," 0;3425729304","0;49630258"," 0;6902501530","0;49003688888","0;99933274","FALSE"
"6cf45435b887d3e3db4816d19cba991e","6cf45435b887d3e3db4816d19cba991e","-0;0926747723","0;31208023","-0;2969581673","0;76649844686","0;99933274","FALSE"
"e68d33fd9600f8db320f93b0faa220aa","e68d33fd9600f8db320f93b0faa220aa"," 0;2040161876","0;31299349"," 0;6518224727","0;51451570264","0;99933274","FALSE"
"4aaeb1c69f5cccbbaae2a54ae715868c","4aaeb1c69f5cccbbaae2a54ae715868c","-0;0721934749","0;31532841","-0;2289469384","0;81891015775","0;99933274","FALSE"
"a95aa7a89d9aecc62150151c82310d96","a95aa7a89d9aecc62150151c82310d96","-0;2717514475","0;26525870","-1;0244770385","0;30561001081","0;99933274","FALSE"
"c7fb06ace1ac48610546a01fdebff034","c7fb06ace1ac48610546a01fdebff034","-0;3631743047","0;38618181","-0;9404231331","0;34700056085","0;99933274","FALSE"
"0ee921fa196565bb74342dfc9912a9f5","0ee921fa196565bb74342dfc9912a9f5","-0;1759471867","0;37151907","-0;4735885798","0;63579332079","0;99933274","FALSE"
"f4089a99833694426658121b8cbfdda0","f4089a99833694426658121b8cbfdda0"," 0;2853601846","0;22316881"," 1;2786741080","0;20101184111","0;99933274","FALSE"
"f7e842e07e5957287feba3df99d18ac8","f7e842e07e5957287feba3df99d18ac8","-0;1838853017","0;24888913","-0;7388241712","0;46001377238","0;99933274","FALSE"
"472d2d18e930aec7fc41731afdd6559f","472d2d18e930aec7fc41731afdd6559f","-0;1411315950","0;34093222","-0;4139579237","0;67890492194","0;99933274","FALSE"
"71cbe403d1a4b5ea0dcc84277087ccb0","71cbe403d1a4b5ea0dcc84277087ccb0"," 0;5022951566","0;25707968"," 1;9538500612","0;05071895190","0;89498330","FALSE"
"f5bcbafc511fa1b4f8494bb491df53ba","f5bcbafc511fa1b4f8494bb491df53ba"," 0;1002478163","0;38385374"," 0;2611614918","0;79396797296","0;99933274","FALSE"
"81bb7e37b43d1cfdeb758ad5f46d39b2","81bb7e37b43d1cfdeb758ad5f46d39b2","-0;3271469135","0;40774390","-0;8023342934","0;42235961024","0;99933274","FALSE"
"23d0c8dfa14a50cd01d8fb066c87be8c","23d0c8dfa14a50cd01d8fb066c87be8c","-0;0156623273","0;31268663","-0;0500895328","0;96005104089","0;99933274","FALSE"
"07ff497df71397a00e8dfcc8366b678f","07ff497df71397a00e8dfcc8366b678f","-0;4519386205","0;27203319","-1;6613363393","0;09664591553","0;99933274","FALSE"
"780889284c4953d948cdb76d73e6dbc8","780889284c4953d948cdb76d73e6dbc8"," 0;1684391000","0;25860541"," 0;6513363412","0;51482939414","0;99933274","FALSE"
"9c7004d8d39cbdf9f9e8eb1e9aba60e2","9c7004d8d39cbdf9f9e8eb1e9aba60e2"," 0;0447247144","0;39033061"," 0;1145816226","0;90877674679","0;99933274","FALSE"
"a44ee19eaeef12179ecc8fd9bc2a989a","a44ee19eaeef12179ecc8fd9bc2a989a"," 0;2845028828","0;29286436"," 0;9714493026","0;33132458738","0;99933274","FALSE"
"ac0df9756f170411a7ef60c2adfe1523","ac0df9756f170411a7ef60c2adfe1523"," 0;1296279278","0;24326484"," 0;5328675138","0;59412529458","0;99933274","FALSE"
"9160645ae731e3bdf0631e67eafad815","9160645ae731e3bdf0631e67eafad815","-0;3639618044","0;29476622","-1;2347473477","0;21692454849","0;99933274","FALSE"
"aa78e7b32ebae83f1f83f828c843feed","aa78e7b32ebae83f1f83f828c843feed"," 1;1407305709","0;35013740"," 3;2579511888","0;00112219707","0;15490476","FALSE"
"d5de8a6ee72bb1a0820661a6c8f80ba0","d5de8a6ee72bb1a0820661a6c8f80ba0","-0;1403640044","0;26286119","-0;5339852728","0;59335172329","0;99933274","FALSE"
"0e40237a28fca23d4d76908d8a740607","0e40237a28fca23d4d76908d8a740607","-0;2864298614","0;39768352","-0;7202457460","0;47137370251","0;99933274","FALSE"
"b54d8d9b321cf52590e4a2a9670a1a01","b54d8d9b321cf52590e4a2a9670a1a01"," 0;0943708783","0;35904191"," 0;2628408426","0;79267325410","0;99933274","FALSE"
"b15fb661f00febf70e114dadeb247ab5","b15fb661f00febf70e114dadeb247ab5","-0;0753547559","0;34175114","-0;2204959913","0;82548489402","0;99933274","FALSE"
"e81d663066e43dfcc6ea3744a1ee82b2","e81d663066e43dfcc6ea3744a1ee82b2"," 0;0921091350","0;39577705"," 0;2327298516","0;81597118739","0;99933274","FALSE"
"27f094c641d066d596d9d84009f194b3","27f094c641d066d596d9d84009f194b3"," 0;4676185029","0;43799631"," 1;0676311356","0;28568693313","0;99933274","FALSE"
"d1a2486b14a0866a83715ecfa5e113b1","d1a2486b14a0866a83715ecfa5e113b1","-0;2249144343","0;31566813","-0;7125028314","0;47615345878","0;99933274","FALSE"
"18e78d7cb360b36c47439f07abe88337","18e78d7cb360b36c47439f07abe88337","-0;1292920867","0;32506742","-0;3977392945","0;69082236908","0;99933274","FALSE"
"97f6c29ae34cb91a50e23068f733b1e2","97f6c29ae34cb91a50e23068f733b1e2","-0;1199145868","0;34771098","-0;3448685668","0;73019318257","0;99933274","FALSE"
"9ade08bc8a52b44bd978cd516ef70587","9ade08bc8a52b44bd978cd516ef70587"," 0;0285472831","0;34903420"," 0;0817893591","0;93481421793","0;99933274","FALSE"
"a4a3f5bfdae4da1c7589244dc99fdf58","a4a3f5bfdae4da1c7589244dc99fdf58"," 0;3663649239","0;31102956"," 1;1779103098","0;23883236450","0;99933274","FALSE"
"5d0bf697bd9bde462e95a670dc42b560","5d0bf697bd9bde462e95a670dc42b560","-0;5625444186","0;54981360","-1;0231547956","0;30623466227","0;99933274","FALSE"
"bea450ac452905dd9b7543fdd658b6b9","bea450ac452905dd9b7543fdd658b6b9","-0;1340777336","0;30526312","-0;4392202110","0;66050198178","0;99933274","FALSE"
"1be3768c4ce841d9fea4c21c51c52fa2","1be3768c4ce841d9fea4c21c51c52fa2","-0;5383945523","0;34985451","-1;5389098425","0;12382630797","0;99933274","FALSE"
"7f841643b8c54db4b727de647155c5ec","7f841643b8c54db4b727de647155c5ec","-0;1167845488","0;40970758","-0;2850436650","0;77561068905","0;99933274","FALSE"
"e77083514c15653bfaae427077e01424","e77083514c15653bfaae427077e01424"," 0;1224374362","0;31934228"," 0;3834050295","0;70141947476","0;99933274","FALSE"
"20b88767861a3499d3a8570bf2be4163","20b88767861a3499d3a8570bf2be4163","-0;7463201821","0;39370042","-1;8956550128","0;05800567770","0;91998836","FALSE"
"10e76fb01e2047c0c07af5f9f3f71c70","10e76fb01e2047c0c07af5f9f3f71c70","-0;1528994909","0;36395702","-0;4201031538","0;67441009885","0;99933274","FALSE"
"8bdddf084d2b2a8e34a7e856c74e4eb2","8bdddf084d2b2a8e34a7e856c74e4eb2"," 0;0535913668","0;21503953"," 0;2492163516","0;80319343161","0;99933274","FALSE"
"749e04e71c7f9252d14df488fa15e435","749e04e71c7f9252d14df488fa15e435","-0;2036713937","0;31094302","-0;6550119506","0;51246005979","0;99933274","FALSE"
"c68c864a1ee6f7630709b0740a1eef0f","c68c864a1ee6f7630709b0740a1eef0f"," 0;0437778430","0;20857784"," 0;2098873139","0;83375562374","0;99933274","FALSE"
"f028fce5c60db6b5d448b0b694fae938","f028fce5c60db6b5d448b0b694fae938","-0;0443175580","0;26618645","-0;1664906628","0;86777083060","0;99933274","FALSE"
