"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"c43f0b0f6ce6c9927698fc85f369076c",2;23531789673679,-0;169311979742687,0;556474636970079,-0;304255739150906,0;760933062644505,NA
"6a29be087f3bef324a0738b50789aad4",0;0712580943324998,0;0514162360376514,0;369049654871368,0;139320645227462,0;889196776444336,NA
"0b71fbf2702679d24eb46d1a27f943e3",54;6017836312475,-0;400279719402335,0;416661385457525,-0;961009579951473,0;336547351006411,0;994819859255315
"a4050e1eb380bf26b4f3457a328e0a42",2;16737737433132,-0;523612827195442,0;514346230932658,-1;05305978872127,0;292313590799413,NA
"47b1c7e6965dafecab1a219f15ef8d35",1;67427160517175,-0;0654502225827602,0;482566578064329,-0;135639937392634,0;892105931727654,NA
"1c91f67c19fc362b767c850bb7b5580f",0;302319714639093,0;0101930160843151,0;369163891792336,0;0222624420686644,0;982238608339044,NA
"030174e70c450584bbc3747edc20356c",3;05778576405229,-1;04411115592311,0;552032409646142,-1;9016067824982,0;0572225805765622,NA
"a05117c509e6aaf1ea35b2923fce133f",3;87942995537564,-0;243123932359908,0;555043996205826,-0;438661369560915,0;660906922166066,NA
"ac8234d05394debc4da51b32c6ca34df",14;0612263768526,-0;10810277807402,0;517904205151899,-0;208770269290085,0;834627581575193,0;994819859255315
"0b1d1119845da6b23a7f665cdeace7d2",12;9223876148531,-0;978918139920033,0;459074013422996,-2;13619005903233,0;0326639254030522,0;667952238088541
"0f6143a2ac559b627ec43ce9259ed296",1;69474274345366,-0;345972812184313,0;485148834246503,-0;731097592797088,0;464719544557405,NA
"d1c82034e8f89e5c1a848af71a5688d6",5;41120011965407,0;59949662299001,0;439062450148524,1;24744061965309,0;212235980402785,NA
"7d12ce0be13a684e9f8b914e62166dd1",0;56143718071079,-0;251020208064499,0;371110430340866,-0;428988331371218,0;667931716435291,NA
"d8bb06a7df60d426737787df83322059",3;55006828313258,-0;375035024083482,0;363781484872059,-1;03152933897829,0;302292657179489,NA
"4da322815b8ba1ff89be16a3ab70f155",10;5735796379819,-0;113768701942278,0;537445156228297,-0;211729227640699,0;832318284646965,0;994819859255315
"a202ebca9f43fa5461da4bfbc4b3e59d",1;40893785979003,-0;14043268926083,0;547144869980282,-0;260942925429435,0;794136521541633,NA
"d27247b8890de4eb04da833a2072efb4",0;208069650762406,0;111899221307253,0;369049654871368,0;306570688122639,0;759170167415086,NA
"ad9800c670db0e6e724765a2ec559b75",0;0727046487145942,0;0877060271994121,0;369049654871368,0;237653730444436,0;812149673274889,NA
"22bf14ba7d96ffe2b5d7caa681eb3b3a",31;0995067201819,-0;0563662994873507,0;428141538272929,-0;131684591908977,0;895233773251564,0;994819859255315
"09bb70b6815c305297178513d6b198be",4;2304105630638,0;542733947850378,0;555737385503222,0;979846140653325,0;32716207227511,NA
"a9e5f2f91b451f1ae94628343a3ca70f",1;10546316583634,0;144864019311177,0;498422631938441,-0;359323347781251,0;719353210043177,NA
"9c7cd4b8af8d381bbd57eabf3fb6d80c",0;496823127328469,-0;0722847951948501,0;388883057987784,-0;236800600042793,0;81281148602739,NA
"3e0cc877ffbbec1e698a30dfff8407d5",1;55491706744043,-0;224877488986498,0;510976646763322,-0;442094701736716,0;658420678226181,NA
"d02d5dba8f5b36561009dc2570bb4869",2;22066057314896,-0;186632164945039,0;483127903111714,-0;389651496931826,0;696794266901185,NA
"c83d5c88d4c3b4fff52e5d806fbac33f",2;93753946885226,-0;25794423246187,0;55429313595435,-0;467706961443029,0;639994162135037,NA
"b5e31e0564b0f30ab2af9e61b1e9389c",7;18519252090541,-1;1098851694154,0;522325093401498,-2;1294691415654,0;0332154653266147,NA
"ae96c231c18c5cb17ed4ad093b8d5c52",7;39251977453238,0;0456116744588128,0;556125004830043,0;0822356029662506,0;934459362240325,NA
"ddc5ab37daaa3669f4483b5b856b175b",0;232138619244744,-0;227588244639544,0;369123162697429,-0;524973577436735,0;599601559146371,NA
"4a2739b3acd1eb053ab8838528cd30cf",68;5030889340573,-0;207350594192209,0;399512288732874,-0;51895955717261,0;603788944239316,0;994819859255315
"180b2c6eb80fcb7741e16b0221a32066",0;115167946528549,-0;219581130485699,0;369356873792171,0;00368939734953399,0;99705629349426,NA
"37883c9eaead558bdd7be3006224b111",7;33384854787587,0;112706184168597,0;545704784194933,0;206618803178093,0;836307574320128,NA
"38231a7186f8af3aac3c528c479dc389",46;3744990735531,-0;637067936175148,0;409798809231213,-1;55498346842094,0;119950006572913,0;994819859255315
"3cd569c2845d64d49e718bf0f51f40cf",2;92958930445592,0;304166923511666,0;554004804662461,0;551141502261508,0;581536677098953,NA
"80837c53563c6967cc81306e11df9838",10;7027464311637,0;814367900408648,0;502469451539163,1;62168142124185,0;104871578842368,0;981567799092953
"1413f231fe855c7e07d948fc8417451e",2;36799324044556,-0;264036966334666,0;372568329209479,-0;799245950951537,0;424147812203858,NA
"eecae9d67648963cda48064adc0cffae",0;401202036359809,0;0717370521931479,0;383211059775742,0;205352481542413,0;837296743291739,NA
"479eaec6570aa41ac1a9803b338eafec",0;252190676232391,0;170472975414092,0;439261132924597,0;400257856324426,0;688966605006066,NA
"14ffdd2a3162d5cdc6788770a53b95b7",0;100330006335682,0;0756094301454919,0;369049654871368,0;204876035372111,0;837668979066476,NA
"2c086881266f4b9314ffda3b7fc89acc",4;98032975282072,0;112020927632872,0;55364874456193,0;202390527403089,0;839611433211335,NA
"665b86b4801f25b4065fb892543274b0",3;02324953467007,0;0550476605882032,0;554030792832655,0;0992122559044335,0;920969744065418,NA
"f2a7fe87a53801323a407fcd8d818041",30;7755209697706,0;29419417471607,0;497064572778973,0;592406840538189,0;553578186777817,0;994819859255315
