ID	padj	R2	method
b25d64976740f35c223c74552e11e816	1	-0.289	Spearman
a9b5012998a93b7efb19f65e0c6931f9	1	-0.312	Spearman
1324ad5494c7b9aa43e325ee55b832df	1	-0.307	Spearman
04fe393283d635db32399c37499143f8	1	-0.301	Spearman
cc06fd3b8a4060a0a9b143b67440332f	1	0.314	Spearman
8da4081f2c5ad7f65b4939a6c93d4444	1	0.309	Spearman
3d8d436dfbf4e9607e7d294f2bc9c472	1	-0.287	Spearman
1fabcd2c06cedb2ac91717512d689186	1	-0.312	Spearman
dc93d04c6c5dc4296e51be922d694139	1	-0.305	Spearman
a9e5f2f91b451f1ae94628343a3ca70f	1	-0.287	Spearman
29ba2d5a1fe5dbd7e7a21c3ee445059c	1	-0.283	Spearman
ba08e6cf6b8b3d5cb6e3c353577542a7	1	0.296	Spearman
a1b8ec363a99a0f52609b55e11cae692	1	-0.292	Spearman
88bce27fdf6be171434534188efb8699	1	-0.283	Spearman
74a29bc18189e5aad063be2af937ac69	1	-0.292	Spearman
e1011df0bbcada3f26b137cc8f254b24	1	-0.292	Spearman
3e94d7dd19584d610ef029843ab43c6f	1	-0.294	Spearman
07ff497df71397a00e8dfcc8366b678f	1	-0.283	Spearman
7501b815b995a9520b0656030474eb6b	1	-0.287	Spearman
6530b76ea0f044522c539fc3fb92d2a0	1	-0.283	Spearman
33a6ec92b2fb27bcbe4d1f461d794aa7	1	-0.287	Spearman
13afed01805b145d9a7b2a166b62d5f1	1	-0.285	Spearman
d44c3ee7c01b4d401d84bfd43e4aaddf	1	-0.289	Spearman
b9578c42ea09e592aa711721dfe4c9ed	1	0.289	Spearman
3b320e229d41c9c464c31b5be43efaed	1	-0.296	Spearman
012a53ebe302289439c1aedd521f4620	1	-0.292	Spearman
c3fb5f7f803b5d3c3c89d7bce30dfdfa	1	-0.285	Spearman
825b31824070ac279ba4792a7b5bf57c	1	0.289	Spearman
60f84dbd36b60a4aea1173bac14c1bec	1	-0.276	Spearman
6077cec999cefa13b40c4a45034d889a	1	-0.281	Spearman
4173946ef4ae93233af26330615ba863	1	0.278	Spearman
0b82382fc1c0475abb02afdfa9e1518d	1	-0.272	Spearman
ffe863165e9817701a14e84ebe8993fe	1	-0.289	Spearman
feb2bf9d8f55049e2c9ebb29c171b9d7	1	0.285	Spearman
fb7d61ee28faf41b81e3e75d908f3e43	1	-0.283	Spearman
ee72dd7f48fef965dd11c5285a5f1fab	1	-0.278	Spearman
59c9c75a99f9d1e2b1f93a382c939396	1	0.274	Spearman
d1fe0a0b5318cc89876f0aed30826513	1	-0.281	Spearman
cb51aaa51ef63c787ceb1ddb13ce643b	1	-0.276	Spearman
c916bde669c2b9795a19195812f39e26	1	-0.283	Spearman
c9aa32a3422a6d4a0d5a6f663fe21283	1	0.267	Spearman
bf2cac930a34874c6db4cbba008dd7fe	1	0.272	Spearman
bd825f7d9c9bf7a9bb136f11a22e3f0a	1	-0.267	Spearman
ca6e171bc5d73043481132abccab8663	1	-0.285	Spearman
71aed4c3091387286c7670e7298b4f19	1	-0.265	Spearman
6cf3e2a72db97b414c1a8b3a7eed7bc3	1	-0.276	Spearman
66de700755155ab01365a84a7cf2eb1a	1	-0.281	Spearman
4ad1a2c66293d2709554bca7e2fe4dd9	1	0.276	Spearman
2da810127b601da299e4ce5b9cc46933	1	-0.270	Spearman
21adfda92d4b12244d52acb808935b00	1	-0.272	Spearman
d8864cc700e7a72752519726668f3fa5	1	-0.263	Spearman
d56206ad9083da8718745f89d00f06b3	1	-0.281	Spearman
b3d7868c41b2a046a18a2b5659205a43	1	-0.265	Spearman
a337ece8955ccdd750c0ffa79bb9aa54	1	-0.281	Spearman
4ca08ec0d6761aeb9d3c44e5763e42af	1	0.281	Spearman
44d722a6dd1f93c9f0b9d649e99547c3	1	-0.283	Spearman
3820e2436fd8d8bd6d972702ed19233d	1	-0.274	Spearman
331a589f135b36e9d426261e7fac10c0	1	-0.276	Spearman
e52e3dc759de9e56b656aaa942196627	1	0.278	Spearman
c6c51b36b65d595757de865e9729eb47	1	0.285	Spearman
c346bc05710577b5148c89ef30a1509a	1	-0.267	Spearman
b43efa7a6dc43aecb8d4bfff0c5e0035	1	0.281	Spearman
63d36addf9d3b275e0fd16823557e96f	1	0.272	Spearman
1f250e981554452d6d09e6884159d0fb	1	-0.276	Spearman
07576e5eafcd4a3b2220207e16bb8f3b	1	-0.281	Spearman
eccf0b2ee0c3c447275c741d0019ea51	1	-0.270	Spearman
7a1e1b603bb85fe09508717b96deca8d	1	0.281	Spearman
6cb7e4d701254ce513869f7ea85dbb88	1	-0.270	Spearman
2da3895439e468e072a9590196c5232c	1	0.278	Spearman
a24c463e3d639939bb84c8b496d9760c	1	-0.276	Spearman
95f8d08b15ec840db8c652c22356b649	1	0.276	Spearman
05797992c59549162a48fdda1fd155e3	1	0.272	Spearman
c79ac46d6494079a0fc246fca84be47a	1	-0.278	Spearman
bb4882f6a073214f565664ab9f3546cf	1	-0.281	Spearman
bacf9d2f3b02a3e5590d67f301da02f1	1	-0.276	Spearman
7a36e01ffbfd96223b6b7192ae5a6b13	1	-0.267	Spearman
50982a69a6e12846fe467ca01177f0aa	1	-0.263	Spearman
07bb7b31566787ca615c71b5a879d3fd	1	-0.261	Spearman
e2afcf16b51ee429e9538dd955dd4bfa	1	-0.263	Spearman
86ff1c0a344edd6f12d63845d5ce3c57	1	-0.265	Spearman
6b58547ffe650790878ea997eebb1792	1	-0.270	Spearman
68e0d5ba4a35b554435a87a7fa3b0b93	1	-0.267	Spearman
e882e1db3ab78f3627dfd152145c0881	1	0.261	Spearman
a8fe3f567ce5a022dbc64b7d7878e308	1	-0.270	Spearman
982e0028682f3eeea911032881aa6bc1	1	-0.267	Spearman
591caea2e49fcf2e290a8be50c82b5c6	1	-0.276	Spearman
3859ce30c306ada8544459e9fbf665c6	1	-0.254	Spearman
36ecaaef848f6dfca76b725c7e2c7d3f	1	-0.283	Spearman
1e8462e3021d6544917e46f3a07ae9dd	1	0.267	Spearman
c0a8298ec9e469004ed0f012aeb1ca4b	1	0.267	Spearman
721b5faa10228e45159fc3c5273abfee	1	0.278	Spearman
e5991176bda1d017fbbeb44e4b1fab83	1	-0.263	Spearman
d373fbb5e070e1c7034577afb7a81a5e	1	0.276	Spearman
4fe1faf3e476a479aaa9401809a1b520	1	0.276	Spearman
4c21fc50f12f4c187b1b7f24ba75164b	1	-0.274	Spearman
ad47f9408733d7318393ea6377c93bdf	1	-0.265	Spearman
4cf0d4c76e91a60016f335b0cb8f868a	1	-0.256	Spearman
c14fc21819e084d92e271bfd4ef2fc18	1	-0.259	Spearman
3d74120b7c093571dbaea4c108a79303	1	-0.263	Spearman
18f54ffb4f818fc2774b77bc82084838	1	-0.261	Spearman
bd6c88484970dd09dc6a48d823380616	1	0.259	Spearman
981d24555702d3f5c22835269253cb4e	1	0.274	Spearman
578bb06360e46a49b4659d81a60caef1	1	0.261	Spearman
2c1dcf522f054d6a3a0cf9d2a57cab82	1	-0.254	Spearman
e09c2bcb01ba370bbf08356df779ce59	1	0.261	Spearman
c349d3761e8c4d3309b3d917b2c28d1e	1	-0.263	Spearman
8e357241cde5586af2a34f2b1ccb1840	1	-0.256	Spearman
4819c02bdc58245e7213f969bc575f7f	1	-0.261	Spearman
1cc9f34fda08e2dc6e823846b09ff0b5	1	-0.256	Spearman
0706c3df3f16754065ee69619cba2c35	1	-0.256	Spearman
e5fdf22e645de7837a74babe794fad79	1	-0.267	Spearman
e53f0f0324861da44392c0be3c80fa07	1	-0.265	Spearman
6d342b9336b7fe9831ba78fd1a84b399	1	0.259	Spearman
1bb7ccff1a51a640450cc7c8b2923e95	1	0.254	Spearman
da167c1228c1d3386493b2c6c7fc1842	1	0.259	Spearman
d5b986fe33a6352d556bb11fa7022792	1	-0.250	Spearman
9f2bca12453f9933648f0c3b73d2a0da	1	-0.261	Spearman
5cd8e3a132aaa919d5a2bed85d67b0a1	1	-0.250	Spearman
fa49d35d6a1cb01e83c3152daa1e2f6e	1	0.252	Spearman
4fa5741ebd1fc8f944f0dc0145026910	1	0.263	Spearman
06cc5e35402d5589adb89aa50f3570a3	1	-0.243	Spearman
cb11e1b88acd4ae83dde8ad17115741c	1	-0.250	Spearman
81db58da65eb08c51edf1994d884c7e9	1	0.263	Spearman
79c7dc6718d50cabc9e9ac454dfed17e	1	-0.243	Spearman
7830211591e36ce636160a4bc02d7be4	1	-0.267	Spearman
a58052b64459efef88bd7e3e81fc2d8d	1	-0.247	Spearman
97eb035809955dee70bbc0321cf6aff5	1	0.245	Spearman
93834701480d2e050a041ccc6089391d	1	-0.252	Spearman
8287cb654d570010517a5e43e9bda7f4	1	-0.267	Spearman
802ca29e4108424961dee3f7508f9f00	1	-0.252	Spearman
0c67a012c611d2df95f896d8e1f70d40	1	-0.250	Spearman
dcbc7f500101567dd3a49c13c37594d5	1	-0.259	Spearman
cc8848f906c81d14fd77f99352ac14c1	1	0.265	Spearman
cbaa8159d1fbd5dfcc3b3e4de83d450f	1	-0.265	Spearman
863ecdba964e8de8060ae4d5d7a3b188	1	-0.256	Spearman
4d6c9914a238a58ec0d354f978909573	1	-0.267	Spearman
064bf5eccee609a01f36645eb05fbfca	1	-0.256	Spearman
eac7791b5291932c1119840ad60f08db	1	-0.254	Spearman
c799fd080aefb09d3e14f3926f86e1ba	1	-0.256	Spearman
ae96c231c18c5cb17ed4ad093b8d5c52	1	-0.252	Spearman
8ed7eec9c543d7b2fba3dd627585e1fd	1	-0.263	Spearman
45da1c71464153c1cbe77329755eb2c1	1	-0.254	Spearman
226a72f96244de359bd13b7c3334b184	1	-0.250	Spearman
e727ce13a229c2728ddb449f1137cf69	1	-0.259	Spearman
d62d58ae488a4632f6c72b7384540ded	1	-0.259	Spearman
85a106a9f4ed5fac41bbec7a1b135c98	1	-0.261	Spearman
4731027c1c404ad20ed65d5c7992d96e	1	-0.250	Spearman
9cade3308a79e80cd3a03121ff31bcbc	1	-0.252	Spearman
3df18ba02ce2d2ebaea7483a763bdb52	1	-0.256	Spearman
2a3ea71b3ad9aae8e4999db710764cbf	1	-0.250	Spearman
f9ae18dfd7b55c1bd392be5124f36453	1	-0.245	Spearman
d10c510f60287dc7ce62435aa158a66e	1	-0.241	Spearman
ca7bdb1e19d64941583eb9d36e06c1cf	1	-0.245	Spearman
8dd044c3bee77a170a7984008cebb5a5	1	-0.263	Spearman
2582d4fffa8ceb563975e9f13af041c8	1	-0.250	Spearman
1b3ebf4c29e57e4df1347c604838c85e	1	-0.239	Spearman
007f6f64250509effa016dac479b5e74	1	-0.247	Spearman
e9ac2cdf531367ab658b9646725224a7	1	-0.254	Spearman
e53b7980ac22740d8a6b27f3d7a1f83e	1	-0.236	Spearman
