"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"af27b9725baccae39f93ceab0c623d55","af27b9725baccae39f93ceab0c623d55"," 0;3296611153","0;22622905"," 1;4572006524","0;145061000577","0;803450535","FALSE"
"3ed51b3722caf402e6d0427d3b18c560","3ed51b3722caf402e6d0427d3b18c560"," 0;1832690482","0;26931558"," 0;6804992480","0;496188397841","0;990245474","FALSE"
"c961eb10a9020d96569ff89af8d80c65","c961eb10a9020d96569ff89af8d80c65","-0;6930889308","0;36219097","-1;9136008066","0;055671181918","0;605981535","FALSE"
"f77f60bea17f8acae32403a9ba3c93b8","f77f60bea17f8acae32403a9ba3c93b8"," 0;3942848020","0;41419465"," 0;9519311692","0;341131890749","0;959558392","FALSE"
"40fd19c9be48faf8fce2e19d8475f7be","40fd19c9be48faf8fce2e19d8475f7be"," 0;6326508718","0;54068572"," 1;1700898487","0;241964813186","0;893567110","FALSE"
"17c3bbebee60e4cf6ee89e4809218cf0","17c3bbebee60e4cf6ee89e4809218cf0"," 0;1531848460","0;12722824"," 1;2040160686","0;228583367961","0;892166067","FALSE"
"4a2704cc26463d2612f6bb59eb8819cc","4a2704cc26463d2612f6bb59eb8819cc","-0;0944774947","0;21216923","-0;4452930978","0;656107955246","0;997240708","FALSE"
"e328e8fb5613e62430c67d8f484f6e0d","e328e8fb5613e62430c67d8f484f6e0d"," 0;0533673311","0;29203812"," 0;1827409730","0;855001265227","0;997926688","FALSE"
"89c5e22d2ecec0dfe3e559338ad31aea","89c5e22d2ecec0dfe3e559338ad31aea","-0;5238562069","0;21205054","-2;4704308949","0;013495038993","0;357445520","FALSE"
"c1ff63432fc6d5deaf05e574368f367b","c1ff63432fc6d5deaf05e574368f367b"," 0;2068340835","0;41723473"," 0;4957259509","0;620087775217","0;997240708","FALSE"
"30618f7af5c2dcaae7eedc4c8b3b4103","30618f7af5c2dcaae7eedc4c8b3b4103","-0;1343307998","0;38319577","-0;3505539699","0;725922994255","0;997543052","FALSE"
"340da637ea7f16328307eba1e6a5372c","340da637ea7f16328307eba1e6a5372c","-0;0218359168","0;21775861","-0;1002757889","0;920125378232","0;997926688","FALSE"
"107f0453546c82f8068c74fe43ff303b","107f0453546c82f8068c74fe43ff303b","-0;0662180036","0;24878140","-0;2661694294","0;790108725857","0;997926688","FALSE"
"852005380fa0e5a22b200009fe0e1524","852005380fa0e5a22b200009fe0e1524"," 0;1052548888","0;18677802"," 0;5635292985","0;573074515271","0;997240708","FALSE"
"53450247995a096071283e5cb652b2b5","53450247995a096071283e5cb652b2b5","-0;4674700186","0;34198341","-1;3669377190","0;171644827920","0;835729365","FALSE"
"20915883ce0039ce060a6596400cc569","20915883ce0039ce060a6596400cc569"," 0;3505633912","0;33036299"," 1;0611460726","0;288623522585","0;936774404","FALSE"
"5bd85d09ff38e15f1f8c360db11aef59","5bd85d09ff38e15f1f8c360db11aef59"," 0;0007350398","0;44574984"," 0;0016489963","0;998684291889","0;999405150","FALSE"
"7c2a48109e61c88954ec4f9b686312e1","7c2a48109e61c88954ec4f9b686312e1","-0;1355427316","0;38906345","-0;3483820758","0;727553261815","0;997543052","FALSE"
"38d76ed4e692e8b41531751bc18e9a4a","38d76ed4e692e8b41531751bc18e9a4a"," 0;5199755043","0;32000015"," 1;6249226944","0;104179031866","0;727761816","FALSE"
"d8067d534b842ca4de6c1dd0ec9f460e","d8067d534b842ca4de6c1dd0ec9f460e"," 0;4972773687","0;34909690"," 1;4244680292","0;154311033515","0;831707022","FALSE"
"b6989c25ae75fb6c657a4257c412a908","b6989c25ae75fb6c657a4257c412a908"," 0;3864883446","0;29824866"," 1;2958594388","0;195023915643","0;863398735","FALSE"
"ed6601c126684810a4cf99d3cfc4fbe1","ed6601c126684810a4cf99d3cfc4fbe1"," 0;2595813289","0;31889736"," 0;8139964751","0;415646970267","0;981194343","FALSE"
"c30b03024640a5c869080292f1121a65","c30b03024640a5c869080292f1121a65","-0;0366593893","0;18555210","-0;1975692476","0;843382097340","0;997926688","FALSE"
"5ae916c2e0f74eb1e8d33b93c8a66ec6","5ae916c2e0f74eb1e8d33b93c8a66ec6"," 0;1929230474","0;21249363"," 0;9079003778","0;363930858016","0;970909426","FALSE"
"45a687661ea9807b8c5593e46d157ce0","45a687661ea9807b8c5593e46d157ce0","-0;4066411334","0;36060926","-1;1276502894","0;259467639328","0;908026825","FALSE"
"31357f8a95959bab12007715eef8c923","31357f8a95959bab12007715eef8c923"," 0;1457249888","0;23435804"," 0;6218049596","0;534070124772","0;994044034","FALSE"
"c64344f9c6120e1b5ad822d27e6bd76e","c64344f9c6120e1b5ad822d27e6bd76e"," 0;6204315474","0;20678546"," 3;0003634586","0;002696576232","0;163856662","FALSE"
"4d5cacc7a399cec034832b72ad80f210","4d5cacc7a399cec034832b72ad80f210","-0;5257904428","0;54420485","-0;9661627360","0;333962756132","0;959558392","FALSE"
"75e36cf9ef56773934f4e8315fab6cca","75e36cf9ef56773934f4e8315fab6cca","-0;1339337444","0;27537647","-0;4863659748","0;626707710192","0;997240708","FALSE"
"92a78c1af56029044c717b34036d0344","92a78c1af56029044c717b34036d0344","-0;0691809668","0;37587246","-0;1840543644","0;853970806746","0;997926688","FALSE"
"9c96555d346a70937ed12a450a8cb264","9c96555d346a70937ed12a450a8cb264"," 0;2744703185","0;26451459"," 1;0376377489","0;299438736597","0;944970107","FALSE"
"2529fd3e7802d3bd5d69ae2bbe967719","2529fd3e7802d3bd5d69ae2bbe967719"," 0;2778619652","0;35598876"," 0;7805357847","0;435075572797","0;981194343","FALSE"
"a11a3178fccd9caac2134d7d2dd3d3b2","a11a3178fccd9caac2134d7d2dd3d3b2"," 0;1890551582","0;33726361"," 0;5605560462","0;575100222320","0;997240708","FALSE"
"863e2297944662454eb9d99d36e603f2","863e2297944662454eb9d99d36e603f2"," 0;4191813144","0;34690610"," 1;2083423051","0;226915622167","0;892166067","FALSE"
"02450fac293393924326e80cb7da4cb2","02450fac293393924326e80cb7da4cb2"," 0;2234012414","0;31605771"," 0;7068368583","0;479667866398","0;981194343","FALSE"
"0bbd3f4e7750572dd40ae23b516335c9","0bbd3f4e7750572dd40ae23b516335c9"," 0;0391131873","0;31001133"," 0;1261669609","0;899599763694","0;997926688","FALSE"
"b22e879bd83a93d5afa7164154890bc4","b22e879bd83a93d5afa7164154890bc4","-0;1472060533","0;22511459","-0;6539161063","0;513165856652","0;990245474","FALSE"
"4094e7aeae50ece39819b276f27e2a1c","4094e7aeae50ece39819b276f27e2a1c","-0;2064641219","0;18619524","-1;1088582217","0;267491349182","0;914723939","FALSE"
"487a77b451fbd607693864d03dbcbd91","487a77b451fbd607693864d03dbcbd91","-0;7071969911","0;34888696","-2;0270089394","0;042661498463","0;584530912","FALSE"
"5d74c471f71c347ab08cc372cbb67f86","5d74c471f71c347ab08cc372cbb67f86"," 0;7855022088","0;32079395"," 2;4486191582","0;014340498725","0;373455509","FALSE"
"dc9dda227ac4ec31aba9e4fd31eba235","dc9dda227ac4ec31aba9e4fd31eba235","-0;3743824650","0;36947349","-1;0132864041","0;310923379697","0;947859512","FALSE"
"edb14d7aadc8646848f73b9be8d9923c","edb14d7aadc8646848f73b9be8d9923c","-0;1003882289","0;31747085","-0;3162124286","0;751841274734","0;997723954","FALSE"
"e35d894c5302ccda4cc1bd449df9c8a0","e35d894c5302ccda4cc1bd449df9c8a0","-0;5922023882","0;26742225","-2;2144843856","0;026795475661","0;479995255","FALSE"
"12107c0fac60b0bf18409be94272891f","12107c0fac60b0bf18409be94272891f","-0;2150070254","0;33356494","-0;6445732078","0;519203801909","0;990245474","FALSE"
"34570f7b579ea70ac3c921c4e9d2e30e","34570f7b579ea70ac3c921c4e9d2e30e","-0;4181852137","0;27585559","-1;5159570004","0;129530225628","0;773321810","FALSE"
"cd0e07891d59979bbacaa59576a07f6f","cd0e07891d59979bbacaa59576a07f6f"," 0;1351645617","0;24535787"," 0;5508874023","0;581710863828","0;997240708","FALSE"
"39abd32dcaccccd394530cfe2e15ef37","39abd32dcaccccd394530cfe2e15ef37","-0;3803933170","0;35656599","-1;0668244461","0;286051117360","0;934112131","FALSE"
"c6489b80378a1e2f27c0c2bb6d1e9323","c6489b80378a1e2f27c0c2bb6d1e9323","-0;0153071502","0;20438467","-0;0748938258","0;940299189086","0;997926688","FALSE"
"5e6a73520266d152d4489a45e32a8700","5e6a73520266d152d4489a45e32a8700","-0;4648184545","0;32695328","-1;4216662732","0;155123155520","0;831707022","FALSE"
"1efb8da7a4d8ecb047f71876b35684c8","1efb8da7a4d8ecb047f71876b35684c8","-0;1314892676","0;28571667","-0;4602086032","0;645366496327","0;997240708","FALSE"
"cb93989f593fef600205236bddd1dc06","cb93989f593fef600205236bddd1dc06"," 0;0962116542","0;33546192"," 0;2868035046","0;774262779310","0;997926688","FALSE"
"5538f35f8f60ff7baeb7056f84edaa1d","5538f35f8f60ff7baeb7056f84edaa1d","-0;0851368090","0;42514481","-0;2002536735","0;841282191802","0;997926688","FALSE"
"29fe3959ed925c1b935b0c84b1e68767","29fe3959ed925c1b935b0c84b1e68767","-0;0136162522","0;19470566","-0;0699324936","0;944247390251","0;997926688","FALSE"
