"","average","sd","ratio","ava","avb","cumsum","p","padj"
"0e968972532625b04be0b0e81d101f9f",7;20279997074103e-05,0;000130836267755439,0;550520134386941,0;000107633832162427,5;97452799908591e-05,0;820554540145565,0;306,0;927041263372389
"68618d5a7182d9261ccfb928b45bf67c",7;1989094575912e-05,8;84653393941894e-05,0;813754800115993,0;000112669753943906,7;56685656384858e-05,0;820671947218529,0;463,0;94732601299103
"c542b565f263727bb900a9eeaf8323b9",7;19579725901408e-05,9;86082312130795e-05,0;729735963265065,9;79645159743337e-05,7;77639532609883e-05,0;820789303534621,0;655,1
"1356b2abe3ce380e6a82f2cf5dfeb31f",7;19237893284369e-05,0;000154640352909013,0;465103629003973,7;87378667844483e-05,7;81293604329123e-05,0;820906604101204,0;725,1
"85a237ec5f207b96a46cfd67b3eb05a2",7;18855826487831e-05,0;000104480747426794,0;68802707119942,4;95388902765609e-05,0;000117821660170663,0;821023842356482,0;239,0;890725501113586
"13fe9878465106faf5245738e33b77a3",7;17770831917871e-05,9;79154542272121e-05,0;733051628655359,7;1954576206083e-05,0;000104571935092217,0;821140903659907,0;915,1
"afe55bb1dce37af1313fab1fed6cfde4",7;17532674650686e-05,0;000121619758781372,0;589980346812352,0;000132140370202377,2;13047811962653e-05,0;821257926122243,0;027,0;635557251908397
"f9e09fe58a7ae5273b510b64eaa50a76",7;16789450435349e-05,8;65082903204706e-05,0;828578911662683,9;33608249817963e-05,9;32871025002828e-05,0;821374827372083,0;873,1
"dbed5d507e555bccf37ba68a444d43d2",7;16535502030111e-05,8;89557276457602e-05,0;805496757761907,0;00011006903281606,7;34704449145216e-05,0;821491687205456,0;309,0;928092424242424
"81e7ec99dbb9a2dc7248f751b048de18",7;15859740406143e-05,6;45035653468168e-05,1;10979871664019,0;000111845996940945,0;000110295439806319,0;82160843682881,0;679,1
"fbc09666f07e9d947ee96a881d7ae3b8",7;14253147025717e-05,7;12120915408828e-05,1;00299419883724,9;30295565768072e-05,0;000112681041562738,0;82172492443272,0;702,1
"35b11fd71ec5ee57503bf74bb21ade98",7;13607897430713e-05,9;48099689411605e-05,0;752671797491655,0;000139319549032957,3;14784545118905e-05,0;82184130680282,0;003,0;318589285714286
"7d01f1def806199b432bd6647e531dd1",7;13306423150136e-05,8;03381823816248e-05,0;887879712988486,6;80758429932083e-05,0;00014039393554045,0;821957640005455,0;162,0;890725501113586
"173c57c1e3df40060e9cd3384b275fa4",7;13241597801144e-05,0;000108773336107424,0;655713636563239,3;34762701198145e-05,0;000126557883610662,0;82207396263572,0;068,0;796055118110236
"2405ff9594d4041aa4ad3d6bcc10b81e",7;13014287465828e-05,7;46197238307079e-05,0;95553059012047,0;000111697308462163,9;02479537810385e-05,0;822190248193922,0;575,0;984331034482758
"47ea77f176ce2eeddec15909ee793753",7;12680148248886e-05,0;000200040568404802,0;356267808041171,0;000136349529854934,8;94089509536023e-06,0;822306479257333,0;052,0;750592233009709
"4c4a81510567553f639ba82d763b06d6",7;1265958716817e-05,0;000113253510930002,0;629260480594404,9;1121070838068e-05,7;41469165227884e-05,0;822422706967436,0;458,0;94732601299103
"1d96767d4ee11801ea2623247b569024",7;12591207923625e-05,6;60063373559696e-05,1;07957998651046,0;00011934926321224,9;95688986452661e-05,0;822538923525562,0;699,1
"bf1336a15a1661afa0ecb2820b52bf58",7;12434993526591e-05,7;34251107567307e-05,0;970287938532368,5;62695778965911e-05,0;000138904681275087,0;822655114606669,0;029,0;63639483394834
"99dbbe68ccb03b627facc024fb7b3b4a",7;11878578175892e-05,7;84782507743262e-05,0;907103014086012,6;9997806308479e-05,0;00011694301908193,0;822771214941951,0;294,0;914923076923077
"a038ee9ec4b96eecda66344483a2621c",7;11718146983615e-05,8;65952612566082e-05,0;821890409077439,0;000100412035050548,8;32010703608068e-05,0;822887289112497,0;734,1
"c7c138630577ec275a34a7f262b3d3cd",7;11151107652141e-05,8;15574848144914e-05,0;871963020033915,0;000127795947799288,7;88391288683765e-05,0;823003270804553,0;29,0;908177988414955
"ff674e9aa768ddbdb2b6ace968554a5d",7;11076398276306e-05,7;52525145860991e-05,0;944920448422675,7;06126798375934e-05,0;000121099658261439,0;82311924031225,0;164,0;890725501113586
"9acc522aeedb4e85405cc4911e4672cd",7;10011213058603e-05,0;00014135824794969,0;502277881451459,0;000104379615823533,5;14065299827836e-05,0;823235036098803,0;307,0;927707825203252
"31fdf7c6ed3f159b15f636ade400edf6",7;0925086547629e-05,8;57106582408232e-05,0;827494363050499,0;000126395839945381,5;31193171124651e-05,0;823350707880208,0;042,0;738976331360947
"4c8907a3f83037e8c513a1a779cf111e",7;08769949137484e-05,9;61101893028265e-05,0;737455574979957,8;1534387388362e-05,9;19572907251741e-05,0;823466301228927,0;837,1
"055031d006eba8c5f042f48eef311393",7;08115079103832e-05,0;000135817089392832,0;521374064390166,0;000120910799198407,3;23009211964292e-05,0;823581787774839,0;093,0;843495828367104
"205acbe9176670655aad6cff7f240e73",7;07852312519089e-05,9;58304472843338e-05,0;738650744704191,0;000123274697380928,5;1638977654665e-05,0;823697231466128,0;124,0;845735891647856
"8512859fedb7b181aceb851e50e9ceee",7;07786248417386e-05,0;000100889464198045,0;701546245728901,0;000127338496293272,3;78645489466728e-05,0;823812664383016,0;038,0;733720779220779
"63d79ad044b02f8f389625743cb2a0c7",7;07595930049936e-05,8;57191315267883e-05,0;825481916868002,9;6286777137928e-05,0;000104435225454419,0;823928066260867,0;471,0;94732601299103
"d8a9dd4813244dcd82f5f1d00be73954",7;06978368988515e-05,6;5809379515944e-05,1;07428207679307,0;000144963961854304,7;88043022505963e-05,0;824043367420634,0;052,0;750592233009709
"5bbe02efec4388958abde248fe45ed88",7;05525632670863e-05,6;89484056109622e-05,1;02326605875668,0;000132647339741168,5;69312803795955e-05,0;824158431653517,0;024,0;63153982300885
"5867c61c0b02733696ed5e4cd64f56ef",7;05074659760723e-05,8;53311087152154e-05,0;82628090783848,6;70071707648521e-05,0;000110860033729977,0;824273422337191,0;366,0;94732601299103
"3edd6baef0d7f57d8d5168718b77161b",7;03302192091988e-05,5;82232624364121e-05,1;20794019891979,0;000133172230373364,0;000100531165572936,0;824388123948968,0;403,0;94732601299103
"980d3bee555163a3fecbf5fa40fe184c",7;0312662227717e-05,0;000122615849652997,0;573438608684781,0;000108900087164945,5;57173197315985e-05,0;824502796927051,0;303,0;924546434068753
"53b59c011bacf8cd585288efe6ebad09",7;03002322444036e-05,0;000115957850846936,0;606256771153854,0;000120043659394555,3;20399018647304e-05,0;824617449633063,0;031,0;663154676258993
"65e745a07bfc5f8a542a0032767f136c",7;02563727445638e-05,6;92910982359089e-05,1;0139307145251,0;000128900338660868,8;02528628436539e-05,0;824732030808581,0;257,0;890725501113586
"13344835380f482417fa941ac9831e55",7;02555748232085e-05,9;39627119867812e-05,0;747696329083096,8;18001718311364e-05,9;96458870842624e-05,0;824846610682769,0;879,1
"a213496e50328f2b0257d4f8cd37b635",7;02364350937974e-05,0;000110765756549169,0;634098816113979,0;000136895359754306,1;07755690974625e-05,0;824961159341956,0;001,0;258565217391304
"9daf97c66401ad4dd049e295652e2528",7;01127858304884e-05,0;000129721137143226,0;540488523108429,8;05491919514638e-05,8;1349436325144e-05,0;825075506341459,0;729,1
"4dc4a8f9ab8569597f232b52a90462ca",7;00949577021251e-05,7;68776961168095e-05,0;911772350664898,8;70063126799104e-05,0;00010662076530927,0;825189824265053,0;905,1
"53471cd55f9db05905272e63e75c3d71",7;00793879726093e-05,6;75498669576936e-05,1;03744672090176,9;03009580682593e-05,0;000111079981782505,0;825304116795963,0;467,0;94732601299103
"1f99300db0bf8aa2ee37663790afa621",7;00570925149088e-05,5;56626854332807e-05,1;25860065804554,0;000158846356416255,0;000135422744371544,0;825418372965192,0;701,1
