"","ID","structural.zero..Healthy.","structural.zero..Infected."
"ffe863165e9817701a14e84ebe8993fe","ffe863165e9817701a14e84ebe8993fe",0,0
"c01b5a0eba006dcbf25adb235229c53a","c01b5a0eba006dcbf25adb235229c53a",0,0
"53471cd55f9db05905272e63e75c3d71","53471cd55f9db05905272e63e75c3d71",0,0
"8f18a057d65060625b3549c7b7e54efd","8f18a057d65060625b3549c7b7e54efd",0,0
"648065772e3c508674681348644ecc5f","648065772e3c508674681348644ecc5f",0,1
"17b88b807d9016fefbd9f21de2ab0f27","17b88b807d9016fefbd9f21de2ab0f27",0,0
"ede98392baddb2ba8cbf6b6b2c14a28d","ede98392baddb2ba8cbf6b6b2c14a28d",0,0
"c9d57e650fb5063b5131701513321d1b","c9d57e650fb5063b5131701513321d1b",0,0
"62a36667f8b1decc89aedf70dd36c8ce","62a36667f8b1decc89aedf70dd36c8ce",0,0
"567f3d215c4eb8fc821a98f879953bbd","567f3d215c4eb8fc821a98f879953bbd",0,0
"d0566d7177499d5cacdb330361254a8d","d0566d7177499d5cacdb330361254a8d",0,0
"b61e7eee8694b816a9c94fe2b1eacd78","b61e7eee8694b816a9c94fe2b1eacd78",0,0
"cb17cc9b35e5f6cca2fe5c797932b1cb","cb17cc9b35e5f6cca2fe5c797932b1cb",0,1
"82013ba6ec27c1a656ecdd7ae52f0a16","82013ba6ec27c1a656ecdd7ae52f0a16",0,0
"0aeb3dd2d812995e72004d3d6bd959a4","0aeb3dd2d812995e72004d3d6bd959a4",0,0
"7b4ea12915f5734d00d128c642afc641","7b4ea12915f5734d00d128c642afc641",0,0
"2642afdd0afd43f5aa41c1830c97727d","2642afdd0afd43f5aa41c1830c97727d",0,0
"8b67e9a17f0191340a7965f40e1e455c","8b67e9a17f0191340a7965f40e1e455c",0,0
"c0fe7e81bcdb656c35e27fdd4101bf5e","c0fe7e81bcdb656c35e27fdd4101bf5e",0,0
"0a737f4a6343f13a4473d3768f90304f","0a737f4a6343f13a4473d3768f90304f",0,0
"320308330d1c7b96c4722fb8c7c21048","320308330d1c7b96c4722fb8c7c21048",0,0
"107b74f95d10fdd4436c7d496a435085","107b74f95d10fdd4436c7d496a435085",0,0
"6dd0ca2c67fd3ea2f9a82a329262b9d4","6dd0ca2c67fd3ea2f9a82a329262b9d4",0,0
"184b2fa43c919d18bbd408e7f56793e5","184b2fa43c919d18bbd408e7f56793e5",0,0
"b06f6e287a686f51c0ef4de1aa86358a","b06f6e287a686f51c0ef4de1aa86358a",0,0
"ff1f20defb7debccf206645b23148f34","ff1f20defb7debccf206645b23148f34",0,0
"6cf45435b887d3e3db4816d19cba991e","6cf45435b887d3e3db4816d19cba991e",0,0
"e68d33fd9600f8db320f93b0faa220aa","e68d33fd9600f8db320f93b0faa220aa",0,0
"c77038ad3b0f7851eff80f0653a7d716","c77038ad3b0f7851eff80f0653a7d716",0,0
"a95aa7a89d9aecc62150151c82310d96","a95aa7a89d9aecc62150151c82310d96",0,0
"c7fb06ace1ac48610546a01fdebff034","c7fb06ace1ac48610546a01fdebff034",0,0
"f4089a99833694426658121b8cbfdda0","f4089a99833694426658121b8cbfdda0",0,0
"f7e842e07e5957287feba3df99d18ac8","f7e842e07e5957287feba3df99d18ac8",0,0
"0dd63ca258236f7fc0a8fc0d990b6a5c","0dd63ca258236f7fc0a8fc0d990b6a5c",0,0
"472d2d18e930aec7fc41731afdd6559f","472d2d18e930aec7fc41731afdd6559f",0,0
"71cbe403d1a4b5ea0dcc84277087ccb0","71cbe403d1a4b5ea0dcc84277087ccb0",0,0
"ae3d3ae3ec702cb4aa0a3ba552bc6fdd","ae3d3ae3ec702cb4aa0a3ba552bc6fdd",0,0
"eeef6c021ae3f4c83e3b5698502109ad","eeef6c021ae3f4c83e3b5698502109ad",0,1
"32a021e7bdb1b2a22d1e9afe4d49cc5c","32a021e7bdb1b2a22d1e9afe4d49cc5c",0,0
"81bb7e37b43d1cfdeb758ad5f46d39b2","81bb7e37b43d1cfdeb758ad5f46d39b2",0,0
"c177fda73abe6814330cec38f452cd36","c177fda73abe6814330cec38f452cd36",0,0
"07ff497df71397a00e8dfcc8366b678f","07ff497df71397a00e8dfcc8366b678f",0,0
"780889284c4953d948cdb76d73e6dbc8","780889284c4953d948cdb76d73e6dbc8",0,0
"9c7004d8d39cbdf9f9e8eb1e9aba60e2","9c7004d8d39cbdf9f9e8eb1e9aba60e2",0,0
"a44ee19eaeef12179ecc8fd9bc2a989a","a44ee19eaeef12179ecc8fd9bc2a989a",0,0
"610bbdde5d9f4e6573e853df3bcae462","610bbdde5d9f4e6573e853df3bcae462",0,0
"ac0df9756f170411a7ef60c2adfe1523","ac0df9756f170411a7ef60c2adfe1523",0,0
"9160645ae731e3bdf0631e67eafad815","9160645ae731e3bdf0631e67eafad815",0,1
"aa78e7b32ebae83f1f83f828c843feed","aa78e7b32ebae83f1f83f828c843feed",0,0
"fa0f0d53737208ba9ae5e5a3316fb4b5","fa0f0d53737208ba9ae5e5a3316fb4b5",0,1
"b54d8d9b321cf52590e4a2a9670a1a01","b54d8d9b321cf52590e4a2a9670a1a01",0,0
"b15fb661f00febf70e114dadeb247ab5","b15fb661f00febf70e114dadeb247ab5",0,0
"e81d663066e43dfcc6ea3744a1ee82b2","e81d663066e43dfcc6ea3744a1ee82b2",0,0
"c5db564c856058f36a076b93c1b92fbe","c5db564c856058f36a076b93c1b92fbe",0,0
"27f094c641d066d596d9d84009f194b3","27f094c641d066d596d9d84009f194b3",0,0
"18e78d7cb360b36c47439f07abe88337","18e78d7cb360b36c47439f07abe88337",0,0
"0564068f62952f801dd86d5075289e5f","0564068f62952f801dd86d5075289e5f",0,1
"9ade08bc8a52b44bd978cd516ef70587","9ade08bc8a52b44bd978cd516ef70587",0,0
"a4a3f5bfdae4da1c7589244dc99fdf58","a4a3f5bfdae4da1c7589244dc99fdf58",0,0
"5d0bf697bd9bde462e95a670dc42b560","5d0bf697bd9bde462e95a670dc42b560",0,0
"bea450ac452905dd9b7543fdd658b6b9","bea450ac452905dd9b7543fdd658b6b9",0,0
"1be3768c4ce841d9fea4c21c51c52fa2","1be3768c4ce841d9fea4c21c51c52fa2",1,0
"7f841643b8c54db4b727de647155c5ec","7f841643b8c54db4b727de647155c5ec",0,0
"20b88767861a3499d3a8570bf2be4163","20b88767861a3499d3a8570bf2be4163",0,0
"c6fa41863e087d1fe6e0a35a0f7d95f3","c6fa41863e087d1fe6e0a35a0f7d95f3",0,0
"c68c864a1ee6f7630709b0740a1eef0f","c68c864a1ee6f7630709b0740a1eef0f",0,0
"f028fce5c60db6b5d448b0b694fae938","f028fce5c60db6b5d448b0b694fae938",0,0
"4fda7fee5e5d97c5bda0baa8b9afb3f9","4fda7fee5e5d97c5bda0baa8b9afb3f9",0,0
"1b7eb0f5a912d5f5b8a0e57c5d13233f","1b7eb0f5a912d5f5b8a0e57c5d13233f",0,0
"8a7e967934c9edc0baf8aabbc18ea3bc","8a7e967934c9edc0baf8aabbc18ea3bc",0,0
"f932c5cbf3b59a3d28f733e8835cd6f7","f932c5cbf3b59a3d28f733e8835cd6f7",0,0
"5b3d1b3501de9f08dedd315bf71e4fb8","5b3d1b3501de9f08dedd315bf71e4fb8",0,1
"9227063050777114f416c245b77a4c2e","9227063050777114f416c245b77a4c2e",0,0
"f0476dca3d200b90490e20e27376d58d","f0476dca3d200b90490e20e27376d58d",0,0
"0de3ca52aed5c5882ee5d602b8b13d3b","0de3ca52aed5c5882ee5d602b8b13d3b",0,0
"feb2bf9d8f55049e2c9ebb29c171b9d7","feb2bf9d8f55049e2c9ebb29c171b9d7",0,0
"8f638ac7f127f6ead5dfae5662f4facf","8f638ac7f127f6ead5dfae5662f4facf",0,0
"a24c463e3d639939bb84c8b496d9760c","a24c463e3d639939bb84c8b496d9760c",0,0
"54d60292089b18bef42f2827b9b47b5c","54d60292089b18bef42f2827b9b47b5c",0,0
"4263d8c75275d2d23dd5863129f2a317","4263d8c75275d2d23dd5863129f2a317",0,0
"b02832d2885cc15f2d527e5196240109","b02832d2885cc15f2d527e5196240109",0,0
"df25e08efec64fdffd8a5937db6e7016","df25e08efec64fdffd8a5937db6e7016",0,0
"bd7708ea098ca95f13ed85fa6653f548","bd7708ea098ca95f13ed85fa6653f548",0,0
"d765b57b216d52f666639be13a4c151a","d765b57b216d52f666639be13a4c151a",0,0
"f34d606ba4846337949b09d27df19ad2","f34d606ba4846337949b09d27df19ad2",0,1
"1ed9a209b367fd8ef3ea6a16869fb522","1ed9a209b367fd8ef3ea6a16869fb522",1,0
"566e22f1997363f75206243267421078","566e22f1997363f75206243267421078",0,0
"9c9c3ae63b62a460e5540854276817a2","9c9c3ae63b62a460e5540854276817a2",0,0
"89f4555874c1c8448806c58e85b5626e","89f4555874c1c8448806c58e85b5626e",0,0
"af43e4e2dedb301ca5163f13d85e965d","af43e4e2dedb301ca5163f13d85e965d",1,0
"520d823d6dab52809722d4018de0ddca","520d823d6dab52809722d4018de0ddca",0,1
"157a0bc003e9df7829f35bd01e666143","157a0bc003e9df7829f35bd01e666143",0,0
"af2e03417c3f1c9dfeb95a930389e2e7","af2e03417c3f1c9dfeb95a930389e2e7",0,0
"30b6f32f00fcad957a09afa53b5d9c08","30b6f32f00fcad957a09afa53b5d9c08",0,0
"f71e3ac155445dc51e3a7c3cc44709a0","f71e3ac155445dc51e3a7c3cc44709a0",0,0
"dd4060699d04d07061586001ea39bb77","dd4060699d04d07061586001ea39bb77",0,0
"832a2524b48db66e0b03f8270948d018","832a2524b48db66e0b03f8270948d018",0,0
"33a6ec92b2fb27bcbe4d1f461d794aa7","33a6ec92b2fb27bcbe4d1f461d794aa7",0,0
"d6d6b7a6fd5053332cfb3c9bbedd0153","d6d6b7a6fd5053332cfb3c9bbedd0153",0,0
"a22f3b2af9547a6b06f16c93b5383087","a22f3b2af9547a6b06f16c93b5383087",0,0
"79351d6dc0481c7c1a5ec3002c5bb30b","79351d6dc0481c7c1a5ec3002c5bb30b",1,0
"2c31f1aa3cb255c8bf9b4f9d4d8a3ac5","2c31f1aa3cb255c8bf9b4f9d4d8a3ac5",0,1
"e17c38f6148e6f0ae8ccf0b3efcee2c7","e17c38f6148e6f0ae8ccf0b3efcee2c7",0,0
"fef66d1a6c82c3be8bbea683b2af00a0","fef66d1a6c82c3be8bbea683b2af00a0",0,0
"c007f1fd4845b295287af75d04830d3d","c007f1fd4845b295287af75d04830d3d",0,0
"e7e82a83e8d2fa64adddb5667679957e","e7e82a83e8d2fa64adddb5667679957e",1,0
"a91d418ab139f6607b986f6a6588c2e7","a91d418ab139f6607b986f6a6588c2e7",0,0
"2c622d6bc2c837dbdc04330bb1db4031","2c622d6bc2c837dbdc04330bb1db4031",0,0
"47f91cff14b1fcc00b34fad3d02be7aa","47f91cff14b1fcc00b34fad3d02be7aa",0,0
"d556e58a61be40656918b959a7fedb0d","d556e58a61be40656918b959a7fedb0d",0,0
"9f4024103fda014267fc5570fb5b3444","9f4024103fda014267fc5570fb5b3444",0,0
"aed65798f59ea3e8b3c23a4aafdb398a","aed65798f59ea3e8b3c23a4aafdb398a",0,0
"807727c0db24db0d86bf834420b34b8a","807727c0db24db0d86bf834420b34b8a",0,0
"b53f3c5684c839ab7b734be6079a1eca","b53f3c5684c839ab7b734be6079a1eca",1,0
"30623b496185c5d2734aab12ab609f24","30623b496185c5d2734aab12ab609f24",0,0
"5c200f64fcab7b74cf4b83f033f8c570","5c200f64fcab7b74cf4b83f033f8c570",0,0
"92029bdf9673ca396f605686df3c91a3","92029bdf9673ca396f605686df3c91a3",0,0
"496ac0f204f3a2e87a9749fc9e313a5f","496ac0f204f3a2e87a9749fc9e313a5f",0,0
"3edd6baef0d7f57d8d5168718b77161b","3edd6baef0d7f57d8d5168718b77161b",0,0
"ad6e641762d7c464b8346bdfbbd59f6b","ad6e641762d7c464b8346bdfbbd59f6b",0,0
"35cf7900898adde1b2dd43ee55a1d998","35cf7900898adde1b2dd43ee55a1d998",0,0
"45f03a6963153cb5899a8b48fa50b685","45f03a6963153cb5899a8b48fa50b685",0,1
"3ac9819daa199544f7d5933cfafac9aa","3ac9819daa199544f7d5933cfafac9aa",0,0
"86af3994fc6b5bb6ca12e76c61e2d0f4","86af3994fc6b5bb6ca12e76c61e2d0f4",0,0
"50235877ef1e1f29f86ff9f5116c64b3","50235877ef1e1f29f86ff9f5116c64b3",0,1
"441c5f27025f034d78bf322a4cbb38ad","441c5f27025f034d78bf322a4cbb38ad",0,0
"7d1e6eb5a37c8b8fe591d5188402a21a","7d1e6eb5a37c8b8fe591d5188402a21a",0,0
"1b51d74030ae9693afe211d0eb94f2ab","1b51d74030ae9693afe211d0eb94f2ab",0,0
"4eed24b394451dc3aa0091fb930bd763","4eed24b394451dc3aa0091fb930bd763",0,0
"c7b464a3ec12b70a836aba7a5a00d0ad","c7b464a3ec12b70a836aba7a5a00d0ad",0,0
"67317eae38c940c81c19dfeee8a2640a","67317eae38c940c81c19dfeee8a2640a",0,0
"d085cf284c9f7bb0c987b418bf3790d9","d085cf284c9f7bb0c987b418bf3790d9",0,0
"e93e69a4b3221fad1df568b0633e21e9","e93e69a4b3221fad1df568b0633e21e9",0,0
"684991f850f15c71841499c31f9bf317","684991f850f15c71841499c31f9bf317",0,0
"2de0bb5316c5eb9301d94e1a730fef29","2de0bb5316c5eb9301d94e1a730fef29",0,0
"aadc56f0af23e1200e9c17a5c7d14477","aadc56f0af23e1200e9c17a5c7d14477",0,0
"5cd8e3a132aaa919d5a2bed85d67b0a1","5cd8e3a132aaa919d5a2bed85d67b0a1",0,0
"e6ceb9c7dcfdefce4d930288d9d165b9","e6ceb9c7dcfdefce4d930288d9d165b9",1,0
"0cc9d6799693b6d57a35a36f9d8b04a8","0cc9d6799693b6d57a35a36f9d8b04a8",0,0
"ec1868ba401e82509bdcbe531d0a1449","ec1868ba401e82509bdcbe531d0a1449",0,0
"ae38a577008fc3ac3eeb8371770cd1b0","ae38a577008fc3ac3eeb8371770cd1b0",0,0
"2d14b64e8b1e2af2563c09a6f829ae9e","2d14b64e8b1e2af2563c09a6f829ae9e",0,0
"1f342f35eee1d8cc1bf89bbd9b4f405a","1f342f35eee1d8cc1bf89bbd9b4f405a",0,0
"133d10540ef753bac157ef415b4c6033","133d10540ef753bac157ef415b4c6033",0,0
"6d342b9336b7fe9831ba78fd1a84b399","6d342b9336b7fe9831ba78fd1a84b399",0,0
"ddc3c29393cfa6012280a13753f450bc","ddc3c29393cfa6012280a13753f450bc",0,0
"c1c0bf6a6af826bb9ebb91eca40c50bb","c1c0bf6a6af826bb9ebb91eca40c50bb",0,0
"770c8f9686a4a2b0adeb38ed1d251a6b","770c8f9686a4a2b0adeb38ed1d251a6b",0,0
"9166d17e8c1c76d5285ed26a3ea62418","9166d17e8c1c76d5285ed26a3ea62418",0,0
"bde1e0a1f05c4502be099064f00018b9","bde1e0a1f05c4502be099064f00018b9",0,0
"00087f2618e5da649e1d3b783adf4dd1","00087f2618e5da649e1d3b783adf4dd1",0,0
"4275d52aa7fa3ef66ec1cd01e726219c","4275d52aa7fa3ef66ec1cd01e726219c",1,0
"8307d0bb9739747e962227d2fec9b6c1","8307d0bb9739747e962227d2fec9b6c1",0,0
"4976295d92e1d394d8006bb224948b85","4976295d92e1d394d8006bb224948b85",0,0
"ed1b2654f3ecb1bba82a236889ef04e5","ed1b2654f3ecb1bba82a236889ef04e5",1,0
"5004760eaff47482cdfc264deed24304","5004760eaff47482cdfc264deed24304",0,0
"d407d1b7c8fb9f21d4cef353ba0368ff","d407d1b7c8fb9f21d4cef353ba0368ff",0,0
"9a2e63b35afe382c19a6dab7c8f0c768","9a2e63b35afe382c19a6dab7c8f0c768",0,0
"472d174ec957aa5446cf89d67965c4dc","472d174ec957aa5446cf89d67965c4dc",0,0
"0c0b857ebb6ce253f30799f1c959b227","0c0b857ebb6ce253f30799f1c959b227",0,0
"531173e5042abc231ed3d122d96d195b","531173e5042abc231ed3d122d96d195b",0,0
"ca92d3e8fe6892959ad171176cf2c8f0","ca92d3e8fe6892959ad171176cf2c8f0",0,0
"535cef94d1b4789938481fb2b61b9142","535cef94d1b4789938481fb2b61b9142",0,0
"3a4e076293ff3460e2e071ea8f5b8f8c","3a4e076293ff3460e2e071ea8f5b8f8c",1,0
"f26325909c734ce6bceeb44ae0b3c90c","f26325909c734ce6bceeb44ae0b3c90c",0,0
"a6b78a7dfc20d23390d3bbc6f807a493","a6b78a7dfc20d23390d3bbc6f807a493",0,0
"deaa91c3bc17834eaf58517f4ed950d3","deaa91c3bc17834eaf58517f4ed950d3",1,0
"97e0df1ac5678a7e183d57c4a90e9a4e","97e0df1ac5678a7e183d57c4a90e9a4e",0,0
"b2d285280c09d072a7b8648517cb0050","b2d285280c09d072a7b8648517cb0050",0,0
"5320722c257bb5b7e0bf3bd9c0d2cd53","5320722c257bb5b7e0bf3bd9c0d2cd53",0,0
"2384478f1232c3a9ff47132669d3c1b1","2384478f1232c3a9ff47132669d3c1b1",0,0
"5b9948e2ee7aa2a963d440330e67d00f","5b9948e2ee7aa2a963d440330e67d00f",1,0
"c220ba00ef5be7470f45fdefda038534","c220ba00ef5be7470f45fdefda038534",0,0
"8c7d1532784116f50a1a30692e683143","8c7d1532784116f50a1a30692e683143",0,0
"5d5ce7a3409ffba705c46ca21f8db5db","5d5ce7a3409ffba705c46ca21f8db5db",0,0
"00c8d1c8dd9832a2e9bf9ae7a0a04473","00c8d1c8dd9832a2e9bf9ae7a0a04473",0,0
"c502cbe383b4a0f1d738c08848847aef","c502cbe383b4a0f1d738c08848847aef",0,0
"368236f72938685b95150b1285c038ac","368236f72938685b95150b1285c038ac",0,0
"b4b7f8881b36637712f164cf578e010f","b4b7f8881b36637712f164cf578e010f",0,1
"d5b070978cc48332b1e7e7549d865c8c","d5b070978cc48332b1e7e7549d865c8c",0,0
"4e39516b22d6eef55f4ced2f5b2393c1","4e39516b22d6eef55f4ced2f5b2393c1",1,0
"0252ecb31d1ae6a0ddfa5cb734879bc9","0252ecb31d1ae6a0ddfa5cb734879bc9",0,0
"7ac2516b1c09d0f6f0fe040866b6b894","7ac2516b1c09d0f6f0fe040866b6b894",0,0
"e607e573d3b270fae8b399170cefa793","e607e573d3b270fae8b399170cefa793",0,0
"7872ad82ea1fc63cfcc4d9b46a99ee55","7872ad82ea1fc63cfcc4d9b46a99ee55",0,0
"e89d2ed570f4b08b2c30248c37c262d8","e89d2ed570f4b08b2c30248c37c262d8",0,0
"ca4b1247cd991855a24ee0431b499ad6","ca4b1247cd991855a24ee0431b499ad6",1,0
"611b7f9cd5c4491a90a2089afbeb7620","611b7f9cd5c4491a90a2089afbeb7620",0,0
"7e904736efa16257914f1bde1fb4fedc","7e904736efa16257914f1bde1fb4fedc",1,0
"a93d53a65433079a855d6415a148181d","a93d53a65433079a855d6415a148181d",0,0
"96397427daa0bf67b17d2a72a118b3bf","96397427daa0bf67b17d2a72a118b3bf",0,0
"4014f73af7c6f0ef61e737d1f41a1e47","4014f73af7c6f0ef61e737d1f41a1e47",0,0
"7f99c5e52504f31ff61be2c2d5cdd3b7","7f99c5e52504f31ff61be2c2d5cdd3b7",0,1
"4fe7b5ef47d04596846ebe12ebf22ac2","4fe7b5ef47d04596846ebe12ebf22ac2",0,0
"1be30b15f8ad5265c0c7effc07352145","1be30b15f8ad5265c0c7effc07352145",0,0
"0b1c6513335076fb633530a3e04a8d43","0b1c6513335076fb633530a3e04a8d43",0,0
"e53b7980ac22740d8a6b27f3d7a1f83e","e53b7980ac22740d8a6b27f3d7a1f83e",0,0
"99afe9dea6c99dee450e431fbe35b1c3","99afe9dea6c99dee450e431fbe35b1c3",0,1
"c82d60810957da740c2a493876c62602","c82d60810957da740c2a493876c62602",0,0
"7542e0ca87a3171739c651f3bf5cb015","7542e0ca87a3171739c651f3bf5cb015",0,0
"68618d5a7182d9261ccfb928b45bf67c","68618d5a7182d9261ccfb928b45bf67c",0,0
"7f52e573a3f60437ee6c8e8ea9fc3b55","7f52e573a3f60437ee6c8e8ea9fc3b55",0,1
"bb76b3e2cd4033bbcd05c8ab58b60f97","bb76b3e2cd4033bbcd05c8ab58b60f97",1,0
"ed5a97863098838fd4f1bb0a5d41f964","ed5a97863098838fd4f1bb0a5d41f964",0,0
"9809d3daf862e4a237304d3ed231252a","9809d3daf862e4a237304d3ed231252a",0,0
"fe76df7670e47fae044ddfd02f3c918d","fe76df7670e47fae044ddfd02f3c918d",0,1
"f52cf920fa91bc819e68978479642da7","f52cf920fa91bc819e68978479642da7",0,1
"10393173a0443dd21ca4de1ef52b931e","10393173a0443dd21ca4de1ef52b931e",0,0
"052f0a09f6b5d0f590cb4215f67088fd","052f0a09f6b5d0f590cb4215f67088fd",0,0
"2881d85eb601d6e0f738b690e42613e7","2881d85eb601d6e0f738b690e42613e7",0,0
"c45c75ba111a5ca2145376e5c1992feb","c45c75ba111a5ca2145376e5c1992feb",0,0
"3c3e7b1630fda62d130ffeb5170e053f","3c3e7b1630fda62d130ffeb5170e053f",0,0
"3d8d003144cb5f0a8e146674aaa5e35e","3d8d003144cb5f0a8e146674aaa5e35e",0,0
"a5020426c80933bfc21106fd04caa794","a5020426c80933bfc21106fd04caa794",0,0
"38ba7660069b1696ed03889d20e69a70","38ba7660069b1696ed03889d20e69a70",0,0
"af27b9725baccae39f93ceab0c623d55","af27b9725baccae39f93ceab0c623d55",0,0
