"","average","sd","ratio","ava","avb","cumsum","p","padj"
"4983958ea697600d795816a11c00f06a",0;00102279929689265,0;00093807738754883,1;09031441378754,0;00255586402760482,0;00212140838978451,0;241545543687714,0;685,1
"276af4596a9110331de60e5dce11e227",0;000994581514090656,0;00097793508436129,1;01702201914582,0;00130076525499124,0;00165746288408376,0;243312843276394,0;423,1
"0a7dccd640f53aeb41557705c14b6933",0;000991155188554544,0;00347661250738772,0;285092223090253,0;000640918090126855,0;00157805432445413,0;245074054531816,0;742,1
"db8552ec57994b474025d1f081008cb2",0;000984979258688003,0;000817788995109669,1;20444181149187,0;00281231105256161,0;00256486677625443,0;246824291605476,0;733,1
"220b2244e127b169375c18a105c120f3",0;000965298015970525,0;000791236346613797,1;21998694840252,0;0025796420482331,0;00235124027707628,0;248539556530884,0;598,1
"bbc52ecf29f12fbb93c09da1ee624f78",0;000961924628822088,0;000819947757085469,1;17315355827215,0;00255535797189952,0;0025740501802585,0;250248827190729,0;76,1
"51cebbac1992efd933d30e4462c406d1",0;000961530672322298,0;000939921267591754,1;02299065408522,0;0026327744659769,0;00231760141571821,0;251957397818298,0;289,1
"a26884287bf29630b42e7a709317f261",0;000957943960703264,0;000934364982390927,1;02523529750869,0;0022319546332698,0;00318597595140904,0;253659595118112,0;037,1
"c011de74b8bc9b18473be58b12cfe643",0;000956271006856969,0;00249835151258202,0;382760793283517,0;00145143746129462,0;000751307266074606,0;255358819699649,0;882,1
"6a4e1673de6c39f133ffc855d363a076",0;000954944372215447,0;0017052317978509,0;560008541606463,0;000956999878465531,0;0013647902743604,0;257055686947149,0;544,1
"ffb3ef7438331fe27a22c2e166c58bfd",0;000919734172030841,0;00101823872410884,0;903259864562499,0;00147231005775447,0;00149000512485723,0;258689988209436,0;965,1
"7a3397fa8705b432ae00bb26376b25dc",0;000918981016162639,0;00171297660488049,0;536481942336131,0;00114041790730987,0;00145176770324623,0;260322951168087,0;891,1
"bb3d4ad27dcb75f21c9d232b683da879",0;000884387884568678,0;000858034971242854,1;03071309935964,0;00126122059075251,0;00146984985279358,0;261894444627888,0;894,1
