"","average","sd","ratio","ava","avb","cumsum","p","padj"
"203a1581da404f65b88aa9c83a5af1bf",0;00013783383290943,0;000264416063601387,0;521276321234468,0;000134569564473024,0;000176209687082006,0;652819126626607,0;695,1
"a8391e009df4de7b13284916b1d10540",0;000137801303566738,9;91236508473943e-05,1;3901960065907,0;000388691641950289,0;000291993367090067,0;653063989600293,0;164,1
"167faa4d028c4ae6ad8faeec76faf937",0;000137776673706858,0;000111355403256807,1;23726976578872,0;000232528484902674,0;000245616804008674,0;653308808808494,0;568,1
"cb03abf9d6c75951ceb2d8548b6183d7",0;000137628345142714,0;000135095806641098,1;01874624064642,0;000264698563044014,0;000330278918293485,0;65355336444754,0;425,1
"d903119e054e9f3ace1af2627241fd2d",0;000137532514759919,0;000110467879702197,1;24500004101358,0;000279198335711403,0;000204726376037287,0;65379774980291,0;274,1
"78b1c0fa7bc88969d9e8ab1d86e7fd62",0;000137404943668717,0;000169519094527971,0;810557324243167,0;000146338245265109,0;000203722749119351,0;654041908473656,0;414,1
"d517f830868e5046efb7dcf0250233ff",0;000136832638267156,0;000108916053581208,1;25631285534169,0;000281652187992126,0;000287278314559725,0;654285050198996,0;9,1
"913e1ad968e40c296dc9b3a4613dc19b",0;000136236585305242,0;000256817478306171,0;530480192406627,0;000155066577837186,0;000150542551553894,0;65452713278123,1,1
"08203d6b42082b1eaa730562640601ea",0;000136004500031069,0;000193448186067296,0;703053891566379,0;000154571716718637,0;000175884019091248,0;654768802964677,0;692,1
"4fe7b5ef47d04596846ebe12ebf22ac2",0;000135995299786944,0;000109748961108194,1;23914885766322,0;000232496351856462,0;000261661907208122,0;655010456799955,0;827,1
"384096948b5774e516e7e10042eb907c",0;000135555128828109,0;00016736807980645,0;809922232392637,0;000215245673998337,0;000214329723718618,0;655251328483198,0;888,1
"14860e4ebe6dd630a38ac24ac0764f81",0;000135479710862074,0;000117092496445836,1;1570315346786,0;000199110421322104,0;000226928405244317,0;655492066154157,0;462,1
"cbdae231ee5f154a2d4919e1a7014058",0;000135469458081262,0;000113821862824816,1;19018837610982,0;000316882906742319,0;000362001378292412,0;655732785606664,0;662,1
"14a53d7115873053a3ac3753913a8864",0;000135309017830428,0;000124735292050058,1;08476931914446,0;00018821315258817,0;000215499588336578,0;655973219968422,0;605,1
"0926afd838d51243f89305c8ab5f62cd",0;000135289486900126,0;000116572250672587,1;16056339411435,0;000265151055440631,0;000225500622678956,0;656213619625125,0;738,1
"cf9621c6c3101ee8adbdf22f7ccdd3b9",0;000135287415349595,0;000119832091834462,1;12897482868348,0;00012335517755887,0;000274918427057063,0;656454015600833,0;026,1
"8e46e76197ca8495afba0a61a1362b8e",0;000135232120215788,0;000127628177984371,1;05957886692035,0;000201079091297574,0;000203220898632177,0;656694313321079,0;692,1
"c46aba84aac7158028f40b23afa13393",0;000135134035428708,0;000123058270914863,1;09813045822982,0;000221625770953755,0;000199367655756852,0;656934436751734,0;93,1
"3259b089f0b77954fc455a2cd675edc5",0;00013486703649546,0;000280384128807969,0;481008097957744,0;000172725176806847,0;00012984953168218,0;65717408574455,0;714,1
"5cf31f502ddd0eabc3970adcd2a6adb1",0;00013475797485884,0;000136857585644138,0;984658425943905,0;000183801352336168,0;000195628447774854,0;657413540942706,0;878,1
"cc9e6e972b407b80e608a7a79aff68fe",0;000134559070821766,0;000247191906367597,0;544350633477715,0;000231606741302808,7;10672669907662e-05,0;65765264270274,0;133,1
"b4c40c32bbdc7dbf0753efd3b3eb802d",0;000134327828627544,0;000130517036340059,1;02919766180988,0;000189383125632071,0;000221243717560071,0;65789133356208,0;492,1
"01eea946b194327d77977babcef5c9af",0;000134203635496685,0;000107422135512339,1;24931081342421,0;000291183653242811,0;000263774172291354,0;658129803739187,0;796,1
"334118e22e280461737b8c6f5efa0484",0;000134078421956625,0;000143006593546803,0;937568112289475,0;000203941802086223,0;000169584433256625,0;658368051420868,0;797,1
"3bb82fc13dce794a897377812b4839a0",0;000133792251075654,0;000159621032152983,0;838186855898955,0;000143858399040082,0;000202420747577414,0;658605790597542,0;668,1
"bc521bab00aeca8b6142478962c0bd85",0;000133754748084497,0;000134858183629055,0;991817808049427,0;00021275015364343,0;000173515810115883,0;658843463134106,0;81,1
"62a36667f8b1decc89aedf70dd36c8ce",0;000133738507855112,0;000118076905904707,1;13263899346282,0;000241643423566194,0;00018966356565784,0;659081106812955,0;644,1
"9b8eebb09f9119bca7cb04047a31d67c",0;00013331202828767,0;0001547889834866,0;861250105045174,0;000209951613096362,0;000155983958081095,0;659317992668383,0;779,1
"4c0a3e4d149a32be42acea5136799f79",0;000133119018712945,0;000137011871533867,0;97158747795106,0;000154138494133639,0;000269882638178436,0;659554535559724,0;156,1
"ff8839080feae69b6178765bb0db2847",0;000132836647124226,0;000151156171515357,0;87880399319806,0;000167949189282713,0;000184166364627168,0;659790576697125,0;824,1
"b0befc4b43a8d9ad47dfc5e0290d4ea7",0;000132793081051103,0;000192553463019728,0;689642652843369,0;000154394088960311,0;00016524677786459,0;660026540420758,0;981,1
"2c21c4d5ea27a561b200246a2def0b4b",0;000132480031644712,0;00016824685362006,0;78741461604912,0;000169547023295376,0;000182321659526317,0;660261947878183,0;977,1
"4b2578ffadde5ee9eb2bc2e9829891a8",0;00013242490648805,0;000103987432673369,1;2734702942807,0;000253942348161121,0;000224691563275484,0;660497257382182,0;76,1
"c1d1ad4fb0cfa750de1b7374e49ef863",0;00013242337065214,0;000125024024702548,1;05918339268949,0;000269823449546033,0;000217737867334014,0;660732564157112,0;841,1
"c6c51b36b65d595757de865e9729eb47",0;000132388073825557,0;0002652912321987,0;499029209251817,0;000124985185691598,0;000167365987499592,0;660967808212127,0;888,1
"2d5535ce60f9e85f8d0d652b244cd447",0;000132371482878324,0;000296024261303727,0;447164304355812,0;000171878310159048,0;000121750221959476,0;661203022786227,0;756,1
"574ca71de8876f18efebd055ac64f51b",0;000132162784662293,0;000163207075023892,0;80978587872459,0;000150346014105901,0;000191766503373019,0;661437866518654,0;639,1
"668e3ba31088c497c7f8ca21e2181aa0",0;000132089115913123,0;000112546000312767,1;17364558088289,0;000253871639464217,0;000239416189671316,0;66167257934703,0;904,1
"73c6f95b9cd4f2f55bfab94e59e16a52",0;000131918073214088,0;000120109739819951,1;09831287131117,0;000182209202341766,0;000244924734765172,0;661906988244871,0;514,1
"4743c45e95ab5061d67b1afb121be38a",0;000131825463841019,0;000288363850841788,0;457149755269931,0;000184413691083752,0;000139583176981832,0;662141232582538,0;546,1
"9cbcf8d7de2106c2710612cdd54b6f60",0;000131607776556218,0;000192946754971864,0;682093754701442,0;000179485531671636,0;000135581727340001,0;662375090105606,0;808,1
"a65d4a832d4d2094dc4cba5ab7189bd7",0;000131503072482303,0;000149534163509647,0;879418250624843,0;000304724400934745,0;000151553427941692,0;66260876157709,0;045,1
"80ff64feec7bcaf1718873333f4ec222",0;000131351805458875,0;000359784785541504,0;365084380266887,0;0002327744899116,6;79395881774184e-05,0;662842164257988,0;284,1
"add22ea85b6c4bfcb2d9f990b690c60e",0;000131213816944007,0;000120354124852239,1;09023115830139,0;000196777718964829,0;00020356209915677,0;66307532174325,0;932,1
"7f5fd85b74c4074497c2738e2d1a0a57",0;00013107540981371,0;000224405803257765,0;584099911458837,0;000104389920202483,0;00019340418313843,0;663308233289029,0;467,1
"1f5371191bc80190b576c75b26adb977",0;000130974588512929,0;00018568764333025,0;705348972952323,0;00012903910187618,0;000206937094957205,0;663540965682631,0;626,1
"2c1bea982a6e8dbe2d3488815add0a0b",0;000130691790177464,0;000119135854965332,1;09699796266619,0;000200103871786938,0;000191434504760115,0;663773195563996,0;42,1
"21ed36361372e4be2f26a939869115d8",0;000130564042865544,0;000156110367606777,0;836357282780981,0;000167028043752414,0;000192601632962941,0;664005198447604,0;877,1
"44135da63960de92178a07ffe07a39d0",0;000130460612386649,0;000117359378624833,1;11163346223651,0;000219719682381892,0;000185862056410795,0;664237017542714,0;702,1
"7581670f3193bfca802555dc8d44be20",0;000130399001348515,0;000157687510324884,0;826945653970017,0;000144746892813193,0;000195361666345637,0;664468727159455,0;812,1
"ccde469b353ce8a1b9aca2eb3cf9a4f2",0;000130259395593935,0;000177869238183825,0;732332341016231,0;000139749510280904,0;000178796864737615,0;664700188706843,0;811,1
"2a03677b0dae0f185b896fde2e717fd6",0;000130166329858403,0;000153084872666867,0;85028865093458,0;000161656484066058,0;000181084021778818,0;664931484883134,0;956,1
"c54ec09676cdc3bb1d0c7ed717d6a8b9",0;000130139045142794,0;000133639138317422,0;973809370378354,0;000216537417316189,0;000186724598193074,0;665162732576454,0;997,1
"60d7024738c647330b4bcb197b17e994",0;000129256887277147,0;000108517899337443,1;19111121820756,0;000280469976086338,0;00026345669364194,0;665392412738897,0;746,1
"bd63fcf00ea070496c25b92cc29f1354",0;000129243138287907,0;000107562498713209,1;20156318265257,0;00020018165789627,0;000268231878365288,0;665622068470378,0;503,1
"ce1fe75e48ec4cd23264e7b130b31ab0",0;000129236659504872,0;000382144216476018,0;338188186378016,0;000236948417740643,5;37939010894615e-05,0;665851712689529,0;291,1
"983609bedfa99469648fae4b2ce0fef9",0;000129185756617469,0;000112235947582336,1;15101943183308,0;000210440060037543,0;000218644778605967,0;666081266457922,0;996,1
"5611691096fa71eff3fc017126906801",0;000129076467607445,0;000117140320718718,1;10189614315115,0;000243772737386843,0;00020227763100518,0;66631062602763,0;634,1
"4bb2aabb8961c26c9f31564094818523",0;000128997196026377,9;63484906300028e-05,1;33886057978585,0;000340490889328783,0;000354975460158967,0;666539844737458,0;92,1
"0a16ca2511d1a15210d5430c883dc73a",0;000128836920594901,0;00012729409968673,1;01212012899237,0;000171965803218989,0;000216401860273488,0;666768778649408,0;671,1
"195f28a7f99915e5461981f5da73bac8",0;000128741868547274,0;000145602344105903,0;884201894810392,0;000198267712728665,0;00014405508699811,0;666997543660728,0;426,1
"f005507499b711d73145cfce680edeee",0;000128714771445833,0;000176398430658277,0;729682066702635,0;000155862079032932,0;00016757149030011,0;667226260522454,0;99,1
"21c2d7c697de37131a71519d2dd0207e",0;000128603418105105,0;000140991152928691,0;91213821175112,0;000227294318651859,0;000119044090851643,0;667454779517327,0;164,1
"97c834fff661da16497777cd0dd0c104",0;000128597911653537,9;86430505806729e-05,1;30366924883742,0;0002527263916615,0;000227220762067465,0;667683288727634,0;613,1
"6dfc79c7aa27a64119ff07f73fa74124",0;000128518463733365,0;00016702981908329,0;769434250954189,0;000124579793997598,0;000203133064618684,0;667911656764719,0;463,1
"d013b486041aefc2db413181fb19f1da",0;000128516228842406,0;000107434300303903,1;19623089161346,0;00031351641324136,0;000388858069111366,0;668140020830564,0;382,1
"2a995cd5a65a6d8d8f7afce2d11225ff",0;000128440955061882,0;000124575491934704,1;03102908178122,0;000201498969140249,0;000213368113118955,0;668368251140332,0;78,1
"ff136555825ac4d71e000720a1058a4d",0;000128337303161419,0;000190951683736822,0;672093069042004,0;000136114746757559,0;000168459460009981,0;668596297268152,0;814,1
"2ccf706f5a89fa4faab708124fc87f2b",0;000128291716494669,0;000169587173948264,0;756494217739645,0;000209373176127656,0;000110445569577055,0;668824262391754,0;328,1
"b0acecce00bda0729b7f7d11d9612ad2",0;000128234425626166,0;000151208345093351,0;848064473868809,0;000161294135992014,0;000176108866462171,0;669052125713617,0;83,1
"423db2d0f2f27d9231c8218fdfa4a97e",0;000128076120744383,0;000107169885987666,1;1950756461486,0;000358005303127444,0;000436099713079042,0;669279707739126,0;41,1
"eed4875bd752e0f6e5c2ee40061d4035",0;000127883464736342,0;000108520595781483,1;17842575241522,0;00018592466122101,0;000232754448780837,0;669506947428811,0;685,1
"bd9ce4d02974fdad8330439a8f62850b",0;000127782841742062,9;45634189375896e-05,1;35129253127361,0;000300435466019307,0;000290810858051309,0;669734008318694,0;965,1
"94eeb6dec413b32df81e38345ad54211",0;000127663565458161,0;000127104873529553,1;00439551933057,0;000198150191423178,0;00019962205780393,0;669960857263227,0;968,1
"cd702161e80a93be52448ecc1b4c6281",0;000127615448740944,0;000347883498193518,0;366833866520324,0;000205030114218338,6;77391979686468e-05,0;670187620707826,0;352,1
"efedd4efcda931f68998bd540e0292db",0;000127597239612516,0;000147655686985376,0;86415391250832,0;000140498927518868,0;000199642612175999,0;670414351796117,0;617,1
"4d682e03e277037f05df79c6a86b2256",0;000127591779416781,0;000206576169334093,0;617650040796468,0;000106574480346838,0;000192787045835869,0;670641073182034,0;584,1
"bfc944f138bc72864c9d8ab1c190b667",0;000127566424537649,0;000114917534200471,1;11006928076887,0;000194126662630324,0;000200906467359816,0;670867749514161,0;767,1
"2807135cccacfd31d7e7dc89b9daba4c",0;000127524887058532,0;000131449505883226,0;970143525467634,0;00019684724596202,0;000207323209905631,0;671094352037184,0;378,1
"8dd5b097858030fe2c262b7c136d1ebb",0;000127435683488656,0;000116120662685726,1;0974419241264,0;000200260862156968,0;000201320608081601,0;671320796051899,0;578,1
"33ed97f3d09fc78390021e9b24bd628d",0;000127402099108717,0;000105004875901615,1;21329698278094,0;000326556845471688,0;000334674639826495,0;671547180389595,0;95,1
"ab50ba2c1bb9d69c78021ec98557703b",0;000127316207915132,0;000163290866654282,0;779689706618343,0;000137017320493144,0;000183470444468283,0;671773412104837,0;732,1
"1a5137bb6f3216a6019ada44506b85d1",0;000127219914678952,0;00011328747583299,1;1229830459503,0;000225333718444834,0;000195780606689565,0;671999472713946,0;585,1
"7c92fcda8dfb7057ce399930cd33bdbe",0;000127204828228584,9;65285398841952e-05,1;31779501048281,0;000242184534706242,0;000276714911213245,0;672225506515522,0;61,1
"73beacc20c2273e9eb974f649fbfce44",0;00012704048283841,0;000120473927149245,1;05450603167464,0;000192498019633026,0;000219536968675349,0;672451248287197,0;91,1
"5b67de74c860a264b117e51828baddba",0;000126999008262277,0;000101191325185926,1;25503849296304,0;000223478727357555,0;000249818830098556,0;672676916361543,0;807,1
"5e8918c0274ad388b9c7caba8c958108",0;000126763814145318,0;000113394288615784,1;11790298870197,0;000198858161769625,0;000208869832501104,0;672902166512913,0;956,1
"6f3d17ecaf55aa8963a4884862914540",0;000126668958937321,0;000127670079645913,0;992158533061402,0;000150413995849228,0;000204783284483668,0;673127248113422,0;31,1
"b53ea4a79a34bc1504c48d074ddab15d",0;000126545974731598,0;000101251276110188,1;2498210352814,0;000233748307672643,0;000205292635004432,0;673352111179871,0;767,1
"07e558feb5eb10e618334c6797c8cefb",0;000126509838403096,0;000131731938865349,0;960358129492111,0;000231472937160599,0;000202262663529368,0;673576910034672,0;828,1
"30623b496185c5d2734aab12ab609f24",0;00012645775736816,0;000113541028818498,1;11376265200406,0;000242142347360772,0;000276058270533417,0;673801616345232,0;62,1
"9c340e1d3baaaca3d3dad6bbd9ff5e96",0;000126410148956151,0;000105105598600706,1;2026966273831,0;000243760684775784,0;000191616754561072,0;674026238059079,0;427,1
"1d1c2174d21483786ef37d2a8a554b0b",0;000126267137193264,0;000131762391748207,0;958294210646663,0;000188808234577914,0;000167195049225275,0;674250605651341,0;812,1
"d46ade0ffe8327af85ed930e45efd461",0;00012619159871912,0;000105562603141041,1;19541954218879,0;000167753319047516,0;000249999401040326,0;674474839017186,0;061,1
"13c0b08afdcc961f93cde6a0de0d12b6",0;000125899977710979,0;0002435965923301,0;51683800872046,0;000120436779767232,0;000174720389570393,0;67469855419354,0;826,1
"3b83fe967c2f7d5c1f333b0048c912f0",0;000125870728682615,9;86535756060723e-05,1;27588612890446,0;000408400690997714,0;000348385337216991,0;674922217396482,0;406,1
"6407438a36f3a85e12e37bbb13000f5d",0;000125705332716181,0;000103380818631512,1;21594445062621,0;000266915699732385,0;000194273033081756,0;675145586702724,0;442,1
"51ef83b23089d9929efbf952bb08a5ae",0;000125604956324921,0;000143219174117754,0;877012153565758,0;000180006361289045,0;00018446617435523,0;675368777647362,0;845,1
"8ef179ca559dfa9820e43ce113583ffc",0;000125521128610118,0;000140141458647369,0;895674483637004,0;000134024164998689,0;000186247736339397,0;675591819636199,0;041,1
"597eebaae9cb8cb85ab498748c938d1a",0;000125299495296275,0;000116810682723717,1;07267154317243,0;000188610466978475,0;000190339589582013,0;675814467798629,0;695,1
"90f5cf15d62c183c1ecccc91cf80af1f",0;000125224786120224,0;000126126389465575,0;992851588401355,0;000165559697836006,0;000190254479949321,0;676036983208243,0;538,1
"3a75d54d2361ecff5988a2a3abdb83da",0;000125185432939814,0;000126747622015513,0;987674805642439,0;000187234431481366,0;000207177453326475,0;676259428690096,0;643,1
"0772617e494241f16d201adb465a38c2",0;000125065343554536,0;000100116200318197,1;24920185901027,0;000251596778865973,0;000155881138419987,0;676481660781775,0;086,1
"9e790995a07f660643eedd570a6e63d1",0;000124753053162384,8;82707710728174e-05,1;4132996873843,0;000299410663125625,0;000305707452460141,0;676703337955961,0;427,1
"a04beed0f14e795812ce3ce01ef10ddf",0;000124584583792965,0;000121267153846013,1;02735637674126,0;000210395908655892,0;00015364363689277,0;676924715772232,0;58,1
"ab09ae32b16cf959d118225066999bcb",0;000124531337267489,0;000211681513046913,0;588295763172717,0;000126249471205994,0;00015549748357857,0;677145998973269,0;233,1
"3479588db00fc4afe20244d7225dee4e",0;000124334810795696,9;42764494679107e-05,1;31883213143295,0;000374775277643243,0;000394386359098089,0;677366932960946,0;951,1
"d63648789a949efec62e90749557c81b",0;000124209790638269,0;000107024483235128,1;16057360786677,0;000211874664410156,0;000179548171992603,0;677587644796824,0;291,1
"a1d6247550cd259dc10d04958dfcecf6",0;000124192911450443,0;000117022979908908,1;06126943226977,0;000168165805437804,0;000203213483217711,0;677808326639603,0;705,1
"0b63320439ff3facf8f04003437b1751",0;00012407619122447,0;000106006236459667,1;17046124235981,0;000202716342741431,0;000199644933906626,0;678028801078962,0;74,1
"d80212beb64d9b599b738258f24ea84d",0;000124059147941429,0;000147927945237718,0;838645786244567,0;000126357265061885,0;000191611451979265,0;678249245233637,0;489,1
"f29a254d0340050f611f4af4bcda52fe",0;000123751277208493,0;00011091820549159,1;11569851549641,0;000255060163075805,0;000257413098610669,0;678469142324233,0;904,1
"a6b0bc03bfb1173741acf42095f1e5aa",0;000123662463052775,0;000126286875783831,0;979218642358781,0;00016303731878096,0;000183059224086351,0;678688881598483,0;574,1
"a29c5f36aa6b1aa8fdecb438de04a348",0;000123592621677406,9;75262029307074e-05,1;26727605467445,0;00024362981461436,0;000318353517593184,0;678908496769648,0;314,1
"f28078020e37ba03f75bf20469a85868",0;000123184836302026,0;000147508536970569,0;835103098653907,0;000186871325693921,0;000141228852525133,0;679127387335624,0;738,1
"4c347072edeb820b093dc4e43f7ade99",0;00012300606683201,0;00012990437044792,0;946897062876912,0;000115894080851003,0;000213720934220145,0;67934596024115,0;163,1
"7920492890b0675da0ef905b0bd85fa5",0;000122917729628682,0;000106215846559636,1;15724473899164,0;000256927558678702,0;000167096254459922,0;679564376177839,0;166,1
"2f63ba6cb0417d98585b6dfb24a3dc54",0;000122842864710433,0;000232259745294211,0;528902951111154,0;000152740334579819,0;000129912234288045,0;679782659084971,0;992,1
"160429fb8a85f42593374368a078b001",0;000122829303211509,0;000219693565913761,0;559093766358749,0;000151705219162521,0;000132015129327245,0;680000917894298,0;881,1
"4c4a81510567553f639ba82d763b06d6",0;000122670922331907,0;000111952005937557,1;09574563943346,0;000180619988687824,0;000191520728232045,0;680218895272229,0;646,1
"f52cf920fa91bc819e68978479642da7",0;000122605499801788,0;000225912172009238,0;542713120374828,0;000194183742754019,0;000122102979661189,0;680436756399044,0;79,1
"68b9cae482c6a7cd477cf2ff3327b898",0;000122513077566992,0;000101920330710138,1;20204748859597,0;000268656470736554,0;000191736362754403,0;680654453298217,0;244,1
"1bb7ccff1a51a640450cc7c8b2923e95",0;000122459300787845,0;000113931835322586,1;07484708239023,0;000128802099934384,0;000223188313890213,0;680872054639933,0;115,1
"7ae006da78384dc5a6ae5e5a5bbc9a9e",0;000122308571401524,9;33942205221994e-05,1;30959464855164,0;000231770914269023,0;000290475992189498,0;681089388146406,0;225,1
"ad485e2aaa23344038247283fe541a39",0;000122134287739786,9;45407287354657e-05,1;29186953996864,0;000215409312676331,0;00029864018719852,0;681306411963386,0;222,1
"6307ca72b50879bab328383f99da6600",0;000122017014409691,0;000143732510683458,0;848917296647026,0;000130234238394263,0;000194251235658309,0;681523227394121,0;302,1
"fc3d5596b2383b5f7162aeec947bcb36",0;000121989531511946,0;000148405908342231,0;821999156735947,0;000135949884186792,0;000198382642621978,0;681739993989729,0;566,1
"d76f9fedd37813cdbbb773046fa53ac3",0;000121825425513263,0;000101153867581241,1;20435756364352,0;000241683127530682,0;000204392118315061,0;681956468980819,0;53,1
"b67899dc898bcea8760e0dc8e625d66f",0;000121669310504631,0;000135160009070385,0;900187202867614,0;000118139314724709,0;000217865892495238,0;682172666566802,0;248,1
"af0c31bb25bbade0e80523e94a666e20",0;000121611809394525,9;15027928949185e-05,1;32905024586717,0;000366108673962137,0;000344075356619647,0;682388761977461,0;474,1
"7d97d03790984ee4d377eefeaefedf31",0;00012156538776554,0;000125173554642071,0;971174687122629,0;00019170105280727,0;00015683226939665,0;682604774900235,0;832,1
"be099bbb8144a5472151b3caec1806e5",0;000121525761080219,0;000117061962240427,1;03813193247713,0;000172670599141742,0;00020781858531619,0;682820717409249,0;502,1
"16a0edff9330c071847226572bcc1b49",0;000121389593145302,0;000108741790235083,1;11631041647261,0;000231271394649868,0;000119424392088017,0;683036417957667,0;061,1
"dac9aa62f22fdd7aa1cd20058e4d5067",0;000121340446982933,0;000169067619439191,0;717703646537568,0;000192436763628129,0;000100788574997604,0;6832520311769,0;347,1
"30625b8b1cc432d2af1a44f5bab080ca",0;000121221672950003,0;000127495803306481,0;950789514683903,0;000207511472123478,0;000132276200029111,0;683467433343247,0;386,1
"865635f2b5496edbe425d7d5e23c8d4a",0;000121049575920229,0;000103097848890572,1;17412319677699,0;000165328637823106,0;000261255688056465,0;68368252970559,0;103,1
"32db01e881b9eaf2eeec12500e3d7f72",0;00012100233311641,0;000163314930092082,0;740914091860344,7;91623221079605e-05,0;000224980759661114,0;683897542120878,0;043,1
"a43672876a318332b4d2e711391edc95",0;0001209096962856,0;000125389116103834,0;964275848196225,0;000156026028821261,0;000184021551847399,0;684112389927202,0;93,1
"39d0befac8f67b26a43a56ec618be18d",0;000120799712315476,0;000193243126668753,0;625117769505689,0;000106814457683627,0;000173791024039818,0;684327042299947,0;563,1
"a22f3b2af9547a6b06f16c93b5383087",0;000120335200772707,8;89089367280927e-05,1;35346575047595,0;000308314799700816,0;00027028650509182,0;684540869269197,0;79,1
"e53b7980ac22740d8a6b27f3d7a1f83e",0;000120183503508506,0;000127387412977066,0;943448812561589,0;000118800965697235,0;00020821764193947,0;684754426683353,0;111,1
"9166d7e3df6caf3c3626ac740609e49d",0;000120137104598582,0;000151461227016076,0;793187187014074,0;000155533150002693,0;000148315826325903,0;684967901649994,0;694,1
"4b32f10b293084e043e41717d0fbed5e",0;000120053349849799,0;000197626547572455,0;607475824095873,0;000154911083717358,0;000133608708066407,0;68518122779049,0;889,1
"5ac75a782fe3f06f4448af51e5cb9e36",0;000119765069385724,0;00011699531499691,1;02367406240914,0;000171470182952627,0;000175130965687451,0;685394041677401,0;517,1
"7d246766bcc24b8507467e661f43e6d7",0;000119665129526535,0;000105497785006441,1;13429044523759,0;000176282508414208,0;000259177664856034,0;685606677978393,0;333,1
"5aa569e1d31963838481a17e411d37f6",0;000119445445135742,0;000176441578279349,0;67696880916941,0;000158957907176276,0;000126421939448674,0;685818923916074,0;795,1
"46afac20f702501206ce6f5e2358f9a1",0;000119353328299511,0;000150354365469094,0;793813521324357,0;000187872761148132,0;000201840101851145,0;686031006168783,0;178,1
"d8c7d13385ad2433f0e8c320734115f9",0;000119305990600222,0;000156096684345937,0;764308294568379,0;000174488034267084,0;000120848543223285,0;686243004305817,0;598,1
"72ba5fd18e4042bdaca0ca9d43ca9b68",0;000119263375435512,0;00024941638641413,0;478169767232086,0;000205434843145104,6;50852966844796e-05,0;686454926718777,0;301,1
"8f249c8dc3f8f12423ddf5ef8d55e87e",0;000119120939183751,9;55356769169249e-05,1;24687386982494,0;000247370725572072,0;000228922503441915,0;686666596032795,0;888,1
"16fd24f40e3c6a8d3a93fe1b05a94bfc",0;000119094678743439,8;58562687896474e-05,1;38714016369879,0;0002255292164227,0;00025859326138729,0;686878218683906,0;188,1
"48160ca0f7a161365de38c2fd3b37bd7",0;000119060492224397,9;7387508286529e-05,1;22254377711464,0;000248874346755424,0;000224978200133717,0;687089780588038,0;545,1
"adfb2b595feb3cd1e7e61b793ddc58dd",0;000119044427937467,0;00017197769646496,0;692208526945365,0;000114006687403224,0;000169272722210719,0;687301313947092,0;396,1
"9227063050777114f416c245b77a4c2e",0;000118948252321576,0;000114559279151516,1;03831180854634,0;000247091772169865,0;000177036584480339,0;687512676409016,0;204,1
"0e97041851765ce2d70df51b38f4c0df",0;000118842161986469,0;000205935787905732,0;577083581222268,0;00024210069329166,9;07125916824682e-05,0;687723850356069,0;08,1
"5429930326100f668b45a0cf62e7ce69",0;000118797468948048,8;70639438098165e-05,1;36448527082061,0;000228140933530777,0;000272245171023975,0;687934944886818,0;492,1
"51cad21bd884f1d1ee28434bf542c63e",0;000118756116626012,8;81378439237189e-05,1;347390761326,0;000199557010514695,0;000230625825147092,0;688145965937474,0;075,1
"ea6e7b460d0f24143cfca882f3eb347e",0;000118512089846961,0;000192112246329543,0;616889824106631,0;00015297266836969,0;000127345200580359,0;688356553370151,0;417,1
"964d50d146d5300e9e7d1b4693f3697f",0;000118511032065255,0;000101314956873165,1;16972889021329,0;000267020726336812,0;000274743963786416,0;688567138923226,0;938,1
"0831be3d1e17fb03121219159726364a",0;000118448776314866,0;000123858731882645,0;956321565015656,0;000146936954672004,0;000180907645707405,0;688777613852324,0;483,1
"eee11c3c317cb25f2d6486b9425e433e",0;000118404291632535,0;000123929677033789,0;955415155324359,0;000161786550121689,0;000175926064606636,0;688988009735352,0;988,1
"eceecd9be4c4fc7ddfe70df5ac948b8c",0;000118389652562741,0;000116050978661733,1;02015212562597,0;000218986948691689,0;000159698630771611,0;689198379605809,0;564,1
"f6cb7e041f49808983f56c4055add830",0;000118364574860043,0;000152929636212298,0;773980621360587,0;000136141252076179,0;000181319494328436,0;689408704914998,0;811,1
"42a67c7f1a49393d83ed41cda2cc1844",0;000118347122306976,0;000101356555328162,1;16763165365875,0;000203105187984249,0;000192817610150453,0;689618999212259,0;898,1
"20684fe02bad6bdb0448255cc6dba3df",0;000118092733590185,0;000167577885395257,0;704703567010921,0;000140993705070899,0;000149069430865884,0;689828841479125,0;851,1
"1efb8da7a4d8ecb047f71876b35684c8",0;000118078997235158,8;90483883351372e-05,1;32600936909451,0;000261631078796605,0;000192051496776552,0;69003865933748,0;225,1
"54a4cc936ea85699a7d451c74455c79f",0;00011793620869389,0;000236598889997035,0;498464759050086,0;000120157394043314,0;000143888983734789,0;690248223470899,1,1
"afe55bb1dce37af1313fab1fed6cfde4",0;000117919002532063,0;000119298728288852,0;988434698537195,0;000155994457490313,0;000186897539504408,0;69045775703021,0;482,1
"3736e19b6c8df0b3e3330485532ee6b9",0;000117902399485439,0;000131601829963339,0;895902431738855,0;000177049161364857,0;000167531695249421,0;690667261087106,0;651,1
"9c22ca06d2d68678bea26083a4595a35",0;000117730818284146,8;95118273916977e-05,1;31525432688313,0;0002394709432674,0;000213945094967146,0;690876460256586,0;64,1
"793d99dd6ecd5e996040cd96083bc88c",0;000117676979806541,0;000113979931909202,1;03243595460545,0;000124472050360185,0;000217905904863706,0;691085563758977,0;164,1
"0b02f55d2c0284e390496e311dfcac8c",0;000117661597011244,0;000100104995811625,1;17538186838004,0;000230161108185493,0;00024148098822904,0;69129463992725,0;952,1
