"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"02fabd8499b26acdff9b07fac7bcd7b4",9,21,8,22,1,1
"030174e70c450584bbc3747edc20356c",11,19,12,18,1,1
"0303d94539da3a68eeef69d6d3ac9437",8,22,6,24,0;761068496728027,1
"03055f544e63a08aa3541419880c9f7d",6,24,4,26,0;730642324178498,1
"030f1798c8290d97886abfd137b0eb3f",2,28,3,27,1,1
"03204dc9262a4d6d1b593736bbeef51f",15,15,15,15,1,1
"03286aed2544692e8e4fdcc043b28dc7",4,26,4,26,1,1
"035622fe11a5ee9c138a12c50d77d5bb",3,27,2,28,1,1
"035b392811e5e629fd68ef079d0951dc",20,10,22,8,0;778715677094583,1
"035ce62b0207f8523f0e640f40198cfc",2,28,2,28,1,1
"036ea9603c37a47ea85e8694a471856c",25,5,22,8,0;532092472759053,1
"037c90d9970c6b4072b87bd8cfc24a00",27,3,25,5,0;706469199425287,1
"03a422343cbb9f7960637bd8c82de86d",12,18,11,19,1,1
"03a45b272dd6cd560d659f22846b3d34",7,23,4,26,0;506177594327247,1
"03c0257aee680e9002600fcd56cbf0f7",22,8,13,17,0;0352173856949215,1
"03c4a4f510cf1cbf5f4898e0c2eb5209",30,0,30,0,1,1
"03d40308bcb63410970fc5299e9f17ae",8,22,17,13,0;0352173856949215,1
"03d74c928fe49e29dc594a3e9a4a09ac",9,21,12,18,0;588882185892575,1
"03f423866ad59b900123736e46681c98",15,15,18,12,0;604208013732714,1
"03f6b7f5d1586abf37135445c10c75a2",3,27,5,25,0;706469199425287,1
"0405df6e8d3677c85bf097dc556ae744",10,20,5,25,0;232598470393837,1
"040663c64495e2c4fddd31067c486857",6,24,8,22,0;761068496728027,1
"041141d9be3cae21dd07ee559bb25b65",6,24,11,19,0;251569189287884,1
"0445debe7536ccf98bfc237be2d3e3a5",13,17,13,17,1,1
"044fdcdcdc856591743ad8b94c367625",17,13,10,20,0;118764899192019,1
"0450b8c1575e47a45bab83c315d2a62c",7,23,11,19,0;398508976829821,1
"04536e183233e221bbc87fc27a1309bb",0,30,1,29,1,1
"0457e773290e8b0dadab8663ec827076",4,26,4,26,1,1
"046f34ce2271a15ba0410314399e4f61",15,15,16,14,1,1
"047ea0c16aad4897e6ad3588212d78d9",13,17,13,17,1,1
"0484c048f271abd9f3033d5c2c88ad1f",30,0,30,0,1,1
"048aca3d0b49091e4cce3265e96fa9ed",16,14,18,12,0;794774525639185,1
"049137e3f6a198b43c3f034754a2f980",11,19,8,22,0;579559786479708,1
"0497e7da7a2d15d41dd2280f5e139de8",7,23,5,25,0;748049793024105,1
"04992aadfecec1a3ef552ba67c238128",1,29,9,21,0;0121829150086978,1
"04a3667c9485c3355291145664a59e1f",5,25,2,28,0;42380990998297,1
"04a93b99fd7eba4924f6f878d1c0a0c1",7,23,7,23,1,1
"04aa8ccb61a99c4f06baeeae81dcf3e8",4,26,5,25,1,1
"04ae02c16f711447c1d796f9ba207b07",12,18,12,18,1,1
"04af1b64175014b2c8f7d16a041e8687",3,27,2,28,1,1
"04b033906beeb2b1cf3e607322ab5baf",18,12,17,13,1,1
"04b983a9022cf0a1155b8f0486b74750",4,26,5,25,1,1
"04d29295b7d3cf5680ff972efcb37be6",4,26,4,26,1,1
"04d2d32ee04daecae267f2bb19bb29f1",4,26,1,29,0;353256021409456,1
"04d62aa27d23c86646a379f756bf5d65",10,20,9,21,1,1
"04fdd8cb8783506e13d9257866fca81e",11,19,9,21,0;784652573562777,1
"04fe393283d635db32399c37499143f8",26,4,26,4,1,1
"0518a24ce544cf896e65a51562020029",9,21,10,20,1,1
"0518de9a345f49ce11f09b317c356545",6,24,8,22,0;761068496728027,1
"052f0a09f6b5d0f590cb4215f67088fd",21,9,18,12,0;588882185892575,1
"053c00a37390fb8ce6b170b9bd7403a5",16,14,20,10,0;429569193194763,1
"055031d006eba8c5f042f48eef311393",26,4,25,5,1,1
"055c9137115ba904d45d5b1abc6a71c2",14,16,14,16,1,1
"0564068f62952f801dd86d5075289e5f",12,18,12,18,1,1
"05797992c59549162a48fdda1fd155e3",8,22,7,23,1,1
"0581fa663e906bf1914efa6cec7418f5",7,23,4,26,0;506177594327247,1
"0582ffbb0508709e34544ab086f1eb1b",5,25,7,23,0;748049793024105,1
"059e004eee8e9d0649abbf7bb734424e",0,30,1,29,1,1
"05a89523b2a457e0ae5c094a63e9de72",4,26,3,27,1,1
"05a9525759e6882c8bfa01029b336524",3,27,7,23,0;298979382156861,1
"05af81f6d02f34159754812b66c69370",9,21,8,22,1,1
"05b22cf5f8905d540b7c4fbf90b0fa1b",15,15,11,19,0;434815558704739,1
"05bedef77e7102a14ca9a3fa15798d3a",8,22,12,18,0;411756597048106,1
"05c6cadac2a6e5e503b5f42602d8c90f",30,0,29,1,1,1
"05c9247328e362f743631596d30f160d",14,16,11,19,0;600950466520637,1
"05cb7aeedfc0aeda3f49d6e6b822b9b0",3,27,0,30,0;23728813559322,1
"05cddda3effad4eea58c7e78f19fcf00",14,16,6,24,0;053897205782829,1
"05d8c79141d9d558f584275cbb0a3bb6",5,25,3,27,0;706469199425287,1
"05f86c7e86b7a87825bc36194e67b6bd",16,14,10,20,0;192316886243639,1
"0607e0496b5dfd712f5feb4f3f5e9656",1,29,0,30,1,1
