ID	contribution	stdev	pval	padj	method
76dc3809d214159c017b2f987364f7e0	0.000	0.000	0.531	1	Simper
369977194325fa77afd733d37c92c63d	0.000	0.001	0.548	1	Simper
4be810915c915c3f6f34bb4fedab9ad0	0.104	0.156	0.579	1	Simper
872b2757f7ef15b1ef26b3f9936bcf31	0.001	0.002	0.579	1	Simper
22358af799b12718b2413db582b1a6af	0.021	0.091	0.582	1	Simper
e74ee435c566d594cc9526383adf5792	0.020	0.075	0.602	1	Simper
273881ea7601aa7c034c59b7f40b5736	0.010	0.039	0.608	1	Simper
dfaaa901a526111d492d3d2f61435275	0.000	0.000	0.609	1	Simper
c10027370c67bc9ee9b945c53d20ab5c	0.000	0.000	0.634	1	Simper
319412737efae4ec36f93f4db011de0e	0.012	0.062	0.667	1	Simper
97e3be015d0ad3c9c56ccbd57f9c0feb	0.000	0.000	0.670	1	Simper
9bfd7d6705ff77f170d74bd7d21e15c7	0.000	0.001	0.691	1	Simper
fe1557e7eea603d3e9a1356de4c894f1	0.000	0.000	0.715	1	Simper
17211eba768f47a1041935f3ee102e20	0.000	0.000	0.725	1	Simper
a4e3412f19bae543184b7ee353711e30	0.000	0.000	0.726	1	Simper
4bdc300e2a73d2456d8f5f301cd79b24	0.000	0.000	0.730	1	Simper
a135d244d0364d5d06535e56882a84a5	0.000	0.000	0.732	1	Simper
b5f3ca43eee20152738a029642f31149	0.006	0.029	0.733	1	Simper
c8d5fdc244ae17e9558f5025b812d6eb	0.003	0.013	0.736	1	Simper
cca78c21045111a15b3ccadddf52b971	0.005	0.021	0.739	1	Simper
de7864dafea9b68a565a62c31bc8339e	0.005	0.015	0.739	1	Simper
5bf5a35fbf5c2c129b31a4aaa02679bd	0.000	0.001	0.743	1	Simper
a4bbfb428c8d35739d668a60656037fc	0.014	0.069	0.749	1	Simper
60ae902a3e046edce4cc5f9cc1ac73ea	0.003	0.014	0.749	1	Simper
3d0a205de99f5295bc4b374649c57575	0.001	0.003	0.750	1	Simper
22c4ee4deafd2a50e123031f9e973ddd	0.017	0.087	0.760	1	Simper
b53ede99325c8616840fa8e938464d7e	0.000	0.001	0.782	1	Simper
3a12705bdb700b87026ea27254e8fa89	0.000	0.000	0.810	1	Simper
78e3be9fa222d3a314799a1a883f6b66	0.023	0.065	0.840	1	Simper
9e58e4736ae679b38ae8de9b3fc3d7ee	0.029	0.106	0.850	1	Simper
511bd796069111a3a3e99c2d13907211	0.001	0.002	0.863	1	Simper
2ffde79d725e60b058bde836132af683	0.003	0.009	0.873	1	Simper
8d3e983e728259a88863f948e5dbe94b	0.001	0.002	0.900	1	Simper
abb48f98cc76cbfd884b85cb99cf2af1	0.001	0.006	0.923	1	Simper
e3eb7f52eef0ad7aec4db88af12eb3cd	0.004	0.018	0.931	1	Simper
d40cb52e5d7086fee99ae0907fd334f9	0.039	0.074	0.936	1	Simper
96e8d503a1148ba899683ec5ab9b05d9	0.000	0.000	0.940	1	Simper
4673065a2d04c05374a89d2cfdcf68c2	0.001	0.001	0.943	1	Simper
542b8274cc0abe38ef023b02b57dbf9b	0.019	0.096	1	1	Simper
a767696bf9e2e1a5f9e63fd6d39e88f3	0.015	0.076	1	1	Simper
efef4e897400bf9054e9c2a7eda09a78	0.015	0.054	1	1	Simper
b2b2ae51b868a14c0e2efb9693ed8f75	0.013	0.065	1	1	Simper
ccba5d69de041201ee8e163c1c4b23bb	0.012	0.061	1	1	Simper
4a1a4c83702a6c44562e2daa13bf3514	0.009	0.045	1	1	Simper
b77627ad049c7569beb5e5bb351b9a50	0.008	0.041	1	1	Simper
18922236506583e7320e776be6c2463a	0.008	0.031	1	1	Simper
8e6ecb2cb834391984e82c3a076e43c2	0.005	0.027	1	1	Simper
fb4b6d91dda35da5c766e6747c71efdb	0.005	0.027	1	1	Simper
45c35d69f417bd7d4cbe61dd5a0f083e	0.005	0.025	1	1	Simper
53c621cb35a1c35186d82a7c60de1bf0	0.004	0.022	1	1	Simper
e87dc9cc994d0c5c48a42ee91aae6eae	0.004	0.019	1	1	Simper
b6d488bfbf30ff5ee3e75bbefccb6032	0.002	0.007	1	1	Simper
7d2ea1f51c60d58d0660446d4774a59a	0.001	0.006	1	1	Simper
9e6878f45a5eb2ea642bc92e840afdf7	0.001	0.005	1	1	Simper
d3ab276830b02edd6977f850f0ef8caa	0.001	0.004	1	1	Simper
ea4f3d7471d698fb962e28a5f213caf2	0.001	0.005	1	1	Simper
d8fc54bcadbf7fcc5cd3d7c2bf678f8f	0.001	0.005	1	1	Simper
e36a239a30b387e78c09e274444e016c	0.001	0.004	1	1	Simper
409649957a882957ee87339338a7c07f	0.001	0.004	1	1	Simper
a4977746f215ec32e61883e81da46126	0.001	0.003	1	1	Simper
adba26ac34bc5a82de3fd3fb5efbd33e	0.001	0.003	1	1	Simper
75e58ea69a10ad870d4811cf0d4fdb61	0.001	0.003	1	1	Simper
299a98fef4b37a7f125b41049760c6d7	0.001	0.003	1	1	Simper
c1c7dac2c6665e89f90cda95c53e086e	0.001	0.003	1	1	Simper
7ff01134216b54c40a3d44f59c565338	0.000	0.002	1	1	Simper
175a157b503cdbac0149f491726d55a0	0.000	0.002	1	1	Simper
5ae8bbf464d292ab3b75086ef4ff2fb1	0.000	0.002	1	1	Simper
e71fb4db708f786a39f0bf2bd9b6e50b	0.000	0.002	1	1	Simper
31415f8d3595a43846a89317548511ce	0.000	0.002	1	1	Simper
6915ce702b5bac12f5018e69a2bca72e	0.000	0.002	1	1	Simper
187ab8462b8b440e1def5212412d9e06	0.000	0.001	1	1	Simper
59788ef0375e4756a83b5a60f29a3303	0.000	0.001	1	1	Simper
08d77d3861ee0c24205b9a999144495f	0.000	0.001	1	1	Simper
93dc6bb121df4cf4164c024ac00012b4	0.000	0.001	1	1	Simper
ca8c1cc094272e70ff21f563a2af81c3	0.000	0.001	1	1	Simper
99bf847cdf4b42889ec796b79dff8c25	0.000	0.001	1	1	Simper
1760e66b93ff7aa728b6898fa572bc2d	0.000	0.001	1	1	Simper
5d5ed43144a7e9922f567567cca6edb7	0.000	0.000	1	1	Simper
450fb80a8aa341cdf33eee2dac5fe23b	0.000	0.000	1	1	Simper
135cd9f50ac1631b9e504edeb830d683	0.000	0.000	1	1	Simper
30526a7a4d826edd9b043b56bd8e847a	0.000	0.000	1	1	Simper
79a7291065adc3f595551e420369acde	0.000	0.000	1	1	Simper
c50d9f53af04313b5497bb9c55275c7c	0.000	0.000	1	1	Simper
5efce6b21a9c05541f7e777341156e96	0.000	0.000	1	1	Simper
c2cf452e2e4b142723e0654f167ee870	0.000	0.000	1	1	Simper
8c6d27c2bc40b12979bd9d5544237b81	0.000	0.000	1	1	Simper
543d211dd0ff4f6d0066ec3850ed5082	0.000	0.000	1	1	Simper
f9fd90420aaf24633adee0901df06f08	0.000	0.000	1	1	Simper
7be672ff862684f33384d4e038bb89c0	0.000	0.000	1	1	Simper
e5750ae962ff61732a057356b169fd21	0.000	0.000	1	1	Simper
3123b5aa3c0f158260f64b2832af8167	0.000	0.000	1	1	Simper
92e7c471bf50233a39a459ff5b204b3e	0.000	0.000	1	1	Simper
596153e78a4c251da43033285b61a7b3	0.000	0.000	1	1	Simper
54936af7fc659bb8a76615f1ae6f6993	0.000	0.000	1	1	Simper
7e3a3bdd9958e1b458ec4e0db97683ea	0.000	0.000	1	1	Simper
223bd77c5c34f4e9e40c3dfd53dffafc	0.000	0.000	1	1	Simper
