ID	meandiff	sterr	pval	qval	struczero	method
c10027370c67bc9ee9b945c53d20ab5c	NA	NA	NA	NA	NA	ANCOM
f9fd90420aaf24633adee0901df06f08	NA	NA	NA	NA	NA	ANCOM
6915ce702b5bac12f5018e69a2bca72e	NA	NA	NA	NA	NA	ANCOM
1760e66b93ff7aa728b6898fa572bc2d	NA	NA	NA	NA	NA	ANCOM
3a12705bdb700b87026ea27254e8fa89	NA	NA	NA	NA	NA	ANCOM
08d77d3861ee0c24205b9a999144495f	NA	NA	NA	NA	NA	ANCOM
9d066026ffeef60c8c0e44158075b186	NA	NA	NA	NA	NA	ANCOM
0c0cca5bec99fb78e2bb61c3935b025d	NA	NA	NA	NA	NA	ANCOM
299a98fef4b37a7f125b41049760c6d7	NA	NA	NA	NA	NA	ANCOM
a692aae1c416358d582103d64b3774f2	NA	NA	NA	NA	NA	ANCOM
fd7880a6988b84aaaf0c433708c2efa6	NA	NA	NA	NA	NA	ANCOM
33be679a5c7b7bff076243989c33712f	NA	NA	NA	NA	NA	ANCOM
da513503b2ff56009fc8a578c819ebcb	NA	NA	NA	NA	NA	ANCOM
31415f8d3595a43846a89317548511ce	NA	NA	NA	NA	NA	ANCOM
542b8274cc0abe38ef023b02b57dbf9b	NA	NA	NA	NA	NA	ANCOM
fd6ff46f1b85f9ed17f80fe98868119c	NA	NA	NA	NA	NA	ANCOM
939f95ffa67d45b18f810411c9e35571	NA	NA	NA	NA	NA	ANCOM
1b0539acdc7399feee3aaebdd5e61067	NA	NA	NA	NA	NA	ANCOM
e71fb4db708f786a39f0bf2bd9b6e50b	NA	NA	NA	NA	NA	ANCOM
187ab8462b8b440e1def5212412d9e06	NA	NA	NA	NA	NA	ANCOM
ccba5d69de041201ee8e163c1c4b23bb	NA	NA	NA	NA	NA	ANCOM
f5a2b8967fd8d135803af8c0601cd4e0	NA	NA	NA	NA	NA	ANCOM
526fa77d5328b0a41df33317dfe135e2	NA	NA	NA	NA	NA	ANCOM
e36a239a30b387e78c09e274444e016c	NA	NA	NA	NA	NA	ANCOM
2e3c54c72de596f4c4009971b90895d7	NA	NA	NA	NA	NA	ANCOM
5ae8bbf464d292ab3b75086ef4ff2fb1	NA	NA	NA	NA	NA	ANCOM
2130ca17584e2024351e25847b07de48	NA	NA	NA	NA	NA	ANCOM
ee121b5310faf3d1c9e119e3ac6048ba	NA	NA	NA	NA	NA	ANCOM
c0c4bc43d1ba371268726299b45b754a	NA	NA	NA	NA	NA	ANCOM
e0db0916d5f4bc79913c096d6f7f23e0	NA	NA	NA	NA	NA	ANCOM
b6d488bfbf30ff5ee3e75bbefccb6032	NA	NA	NA	NA	NA	ANCOM
fb4b6d91dda35da5c766e6747c71efdb	NA	NA	NA	NA	NA	ANCOM
175a157b503cdbac0149f491726d55a0	NA	NA	NA	NA	NA	ANCOM
f159675a1296aa9d383e4ab3f9407619	NA	NA	NA	NA	NA	ANCOM
adba26ac34bc5a82de3fd3fb5efbd33e	NA	NA	NA	NA	NA	ANCOM
325f464ad49685c1e5420d17aa147d15	NA	NA	NA	NA	NA	ANCOM
7d2ea1f51c60d58d0660446d4774a59a	NA	NA	NA	NA	NA	ANCOM
d75885b537a312c667e41d5afe3bee27	NA	NA	NA	NA	NA	ANCOM
de3ca8116321fa3b3ecaa5fc40c08cc5	NA	NA	NA	NA	NA	ANCOM
c1c7dac2c6665e89f90cda95c53e086e	NA	NA	NA	NA	NA	ANCOM
2bf8231073721bfc54aa8ebeb6912a20	NA	NA	NA	NA	NA	ANCOM
18ff3ee57c402652b7156ed14071d0ab	NA	NA	NA	NA	NA	ANCOM
a4977746f215ec32e61883e81da46126	NA	NA	NA	NA	NA	ANCOM
ea4f3d7471d698fb962e28a5f213caf2	NA	NA	NA	NA	NA	ANCOM
53c621cb35a1c35186d82a7c60de1bf0	NA	NA	NA	NA	NA	ANCOM
efef4e897400bf9054e9c2a7eda09a78	NA	NA	NA	NA	NA	ANCOM
ee0d28cca895e4a213be07178c2fefba	NA	NA	NA	NA	NA	ANCOM
8e2824f6a1b188b220b9361c612674b6	NA	NA	NA	NA	NA	ANCOM
633743f58b6a9fabc8612a844746d9aa	NA	NA	NA	NA	NA	ANCOM
8c6d27c2bc40b12979bd9d5544237b81	NA	NA	NA	NA	NA	ANCOM
344a99c4890ae9d218c68b7173d0389c	NA	NA	NA	NA	NA	ANCOM
9e6878f45a5eb2ea642bc92e840afdf7	NA	NA	NA	NA	NA	ANCOM
c2cf452e2e4b142723e0654f167ee870	NA	NA	NA	NA	NA	ANCOM
450fb80a8aa341cdf33eee2dac5fe23b	NA	NA	NA	NA	NA	ANCOM
75e58ea69a10ad870d4811cf0d4fdb61	NA	NA	NA	NA	NA	ANCOM
7ff01134216b54c40a3d44f59c565338	NA	NA	NA	NA	NA	ANCOM
45c35d69f417bd7d4cbe61dd5a0f083e	NA	NA	NA	NA	NA	ANCOM
0fa5da88bc26c3d497597b2ecbf33634	NA	NA	NA	NA	NA	ANCOM
99bf847cdf4b42889ec796b79dff8c25	NA	NA	NA	NA	NA	ANCOM
6b6c4cf41b7f49acaa5081bc5f234029	NA	NA	NA	NA	NA	ANCOM
f5dfda847d1a6546186467acbca7459a	NA	NA	NA	NA	NA	ANCOM
